Orders.Region,Orders.Segment,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Profit)
West,Consumer,Storage,575,3828.2964000000006
West,Consumer,Art,519,1211.2211000000002
West,Consumer,Accessories,567,8964.1511
West,Consumer,Chairs,345,1380.0006999999987
West,Consumer,Appliances,238,4293.513599999998
West,Consumer,Labels,259,1167.3532999999995
West,Consumer,Tables,226,521.9716999999994
West,Consumer,Fasteners,155,185.2087
West,Consumer,Envelopes,118,966.4405999999999
West,Consumer,Bookcases,176,-1966.457000000001
West,Consumer,Supplies,120,226.3173999999996
West,Consumer,Machines,76,2193.6159999999986
West,Consumer,Copiers,46,12158.871299999995
West,Corporate,Binders,565,5468.5415
West,Corporate,Paper,488,3883.294800000001
West,Corporate,Furnishings,307,1673.4023
West,Corporate,Phones,325,2565.1096000000016
West,Corporate,Storage,299,3491.4869
West,Corporate,Art,229,830.2524999999998
West,Corporate,Accessories,335,5225.477999999998
West,Corporate,Chairs,250,1233.2304999999983
West,Corporate,Appliances,173,2738.0168000000003
West,Corporate,Labels,133,904.5902000000003
West,Corporate,Tables,165,1074.2003999999995
West,Corporate,Fasteners,50,69.3064
West,Corporate,Envelopes,79,780.5997999999998
West,Corporate,Bookcases,93,-12.167300000000452
West,Corporate,Supplies,81,361.6118999999998
West,Corporate,Machines,40,960.0389999999994
West,Corporate,Copiers,18,3190.4365999999995
West,Home Office,Binders,344,2789.5821
West,Home Office,Paper,320,2618.6028000000015
West,Home Office,Furnishings,210,1572.7154999999996
West,Home Office,Phones,197,2076.7033
West,Home Office,Storage,165,1325.5388999999993
West,Home Office,Art,178,332.6234
West,Home Office,Accessories,130,2294.9692
West,Home Office,Chairs,139,1414.3530999999994
West,Home Office,Appliances,81,1229.7395
West,Home Office,Labels,88,231.17880000000002
West,Home Office,Tables,90,-113.56480000000028
West,Home Office,Fasteners,58,20.675600000000003
West,Home Office,Envelopes,30,161.72199999999998
West,Home Office,Bookcases,37,332.11260000000004
West,Home Office,Supplies,37,38.117199999999976
West,Home Office,Machines,31,-3772.581400000001
West,Home Office,Copiers,24,3977.927199999999
