Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Profit),CountNonNull(Orders.Country),
2014,Qtr 3,August,12,357.593,11,"357.593,17731.503699999997,18089.0967"
2014,Qtr 3,August,17,193.1836,5,"193.1836,17979.788099999998,18172.9717"
2014,Qtr 3,August,22,4.8787,3,"4.8787,18918.324099999998,18923.2028"
2014,Qtr 3,August,24,20.133200000000002,4,"20.133200000000002,19083.6044,19103.7376"
2014,Qtr 3,August,25,118.84230000000002,14,"118.84230000000002,19103.7376,19222.5799"
2014,Qtr 3,August,29,-376.4695,5,"-376.4695,19828.4011,19451.9316"
2014,Qtr 3,September,3,-4.4639999999999995,2,"-4.4639999999999995,20494.112,20489.648"
2014,Qtr 3,September,5,21.823,2,"21.823,20489.648,20511.471"
2014,Qtr 3,September,6,39.6308,2,"39.6308,20511.471,20551.1018"
2014,Qtr 3,September,7,-481.24629999999996,25,"-481.24629999999996,20551.1018,20069.8555"
2014,Qtr 3,September,9,16.361600000000003,13,"16.361600000000003,18617.167800000003,18633.529400000003"
2014,Qtr 3,September,10,259.62080000000003,5,"259.62080000000003,18633.529400000003,18893.150200000004"
2014,Qtr 3,September,11,21.7515,1,"21.7515,18893.150200000004,18914.901700000002"
2014,Qtr 3,September,13,243.82370000000006,15,"243.82370000000006,19515.785300000003,19759.609000000004"
2014,Qtr 3,September,14,1530.7599,19,"1530.7599,19759.609000000004,21290.368900000005"
2014,Qtr 3,September,15,30.1722,3,"30.1722,21290.368900000005,21320.541100000006"
2014,Qtr 3,September,16,12.582,1,"12.582,21320.541100000006,21333.123100000004"
2014,Qtr 3,September,19,-1539.144100000001,9,"-1539.144100000001,21566.651800000003,20027.507700000002"
2014,Qtr 3,September,20,670.1013999999999,18,"670.1013999999999,20027.507700000002,20697.6091"
2014,Qtr 3,September,21,877.4457,16,"877.4457,20697.6091,21575.0548"
2014,Qtr 3,September,23,4808.597499999999,12,"4808.597499999999,21662.5305,26471.128"
2014,Qtr 3,September,26,230.72660000000002,13,"230.72660000000002,26392.047000000002,26622.773600000004"
2014,Qtr 3,September,27,123.1064,3,"123.1064,26622.773600000004,26745.880000000005"
2014,Qtr 3,September,28,64.3686,4,"64.3686,26745.880000000005,26810.248600000006"
2014,Qtr 3,September,30,119.4905,6,"119.4905,27700.529500000008,27820.020000000008"
2014,Qtr 3,September,1,85.9402,5,"85.9402,19491.9206,19577.860800000002"
2014,Qtr 3,September,2,916.2512,9,"916.2512,19577.860800000002,20494.112"
2014,Qtr 3,September,8,-1452.6877000000002,27,"-1452.6877000000002,20069.8555,18617.167800000003"
2014,Qtr 3,September,12,600.8836,11,"600.8836,18914.901700000002,19515.785300000003"
2014,Qtr 3,September,17,233.52870000000004,14,"233.52870000000004,21333.123100000004,21566.651800000003"
2014,Qtr 3,September,22,87.47569999999999,8,"87.47569999999999,21575.0548,21662.5305"
2014,Qtr 3,September,24,8.47839999999999,1,"8.47839999999999,26471.128,26479.6064"
2014,Qtr 3,September,25,-87.5594,5,"-87.5594,26479.6064,26392.047000000002"
2014,Qtr 3,September,29,890.2809000000001,19,"890.2809000000001,26810.248600000006,27700.529500000008"
2014,Qtr 4,October,3,-65.42790000000001,13,"-65.42790000000001,27953.783199999998,27888.3553"
2014,Qtr 4,October,4,45.07089999999995,4,"45.07089999999995,27888.3553,27933.426199999998"
2014,Qtr 4,October,5,46.483000000000004,2,"46.483000000000004,27933.426199999998,27979.9092"
2014,Qtr 4,October,6,50.039500000000004,4,"50.039500000000004,27979.9092,28029.948699999997"
2014,Qtr 4,October,7,31.855999999999998,2,"31.855999999999998,28029.948699999997,28061.804699999997"
2014,Qtr 4,October,9,70.0043,3,"70.0043,28122.5565,28192.5608"
2014,Qtr 4,October,10,169.9526,10,"169.9526,28192.5608,28362.5134"
2014,Qtr 4,October,11,110.6138,9,"110.6138,28362.5134,28473.1272"
2014,Qtr 4,October,13,454.10329999999993,11,"454.10329999999993,28486.0043,28940.1076"
2014,Qtr 4,October,14,1059.3591999999999,10,"1059.3591999999999,28940.1076,29999.4668"
2014,Qtr 4,October,15,-0.9321000000000002,3,"-0.9321000000000002,29999.4668,29998.534699999997"
2014,Qtr 4,October,16,91.4088,2,"91.4088,29998.534699999997,30089.943499999998"
2014,Qtr 4,October,18,606.1102000000001,9,"606.1102000000001,30053.105499999998,30659.215699999997"
2014,Qtr 4,October,19,124.54769999999999,7,"124.54769999999999,30659.215699999997,30783.763399999996"
2014,Qtr 4,October,20,-65.98380000000002,8,"-65.98380000000002,30783.763399999996,30717.779599999994"
2014,Qtr 4,October,21,26.062299999999993,6,"26.062299999999993,30717.779599999994,30743.841899999996"
2014,Qtr 4,October,26,41.592,2,"41.592,30795.153399999996,30836.745399999996"
2014,Qtr 4,October,27,7.6626,2,"7.6626,30836.745399999996,30844.407999999996"
2014,Qtr 4,October,28,93.42819999999999,6,"93.42819999999999,30844.407999999996,30937.836199999994"
2014,Qtr 4,October,31,-48.10750000000006,19,"-48.10750000000006,31316.384799999993,31268.277299999994"
2014,Qtr 4,October,1,0,1,"0,27820.019999999997,27820.019999999997"
2014,Qtr 4,October,2,133.7632,7,"133.7632,27820.019999999997,27953.783199999998"
2014,Qtr 4,October,8,60.7518,2,"60.7518,28061.804699999997,28122.5565"
2014,Qtr 4,October,12,12.877099999999999,3,"12.877099999999999,28473.1272,28486.0043"
2014,Qtr 4,October,17,-36.838,3,"-36.838,30089.943499999998,30053.105499999998"
2014,Qtr 4,October,22,23.303199999999997,2,"23.303199999999997,30743.841899999996,30767.145099999994"
2014,Qtr 4,October,24,18.5592,3,"18.5592,30767.145099999994,30785.704299999994"
2014,Qtr 4,October,25,9.4491,3,"9.4491,30785.704299999994,30795.153399999996"
2014,Qtr 4,October,29,378.5486,3,"378.5486,30937.836199999994,31316.384799999993"
2014,Qtr 4,November,3,-108.22129999999994,14,"-108.22129999999994,32218.2168,32109.995499999997"
2014,Qtr 4,November,4,2443.392,15,"2443.392,32109.995499999997,34553.3875"
2014,Qtr 4,November,5,-61.611599999999996,8,"-61.611599999999996,34553.3875,34491.7759"
2014,Qtr 4,November,6,20.9664,1,"20.9664,34491.7759,34512.7423"
2014,Qtr 4,November,7,155.4863,14,"155.4863,34512.7423,34668.228599999995"
2014,Qtr 4,November,9,222.68859999999987,7,"222.68859999999987,34693.24679999999,34915.935399999995"
2014,Qtr 4,November,10,436.63309999999996,12,"436.63309999999996,34915.935399999995,35352.568499999994"
2014,Qtr 4,November,11,-449.5311000000002,26,"-449.5311000000002,35352.568499999994,34903.037399999994"
2014,Qtr 4,November,14,308.90680000000003,8,"308.90680000000003,34982.67139999999,35291.57819999999"
2014,Qtr 4,November,15,400.07809999999995,8,"400.07809999999995,35291.57819999999,35691.65629999999"
2014,Qtr 4,November,16,137.5582,10,"137.5582,35691.65629999999,35829.21449999999"
2014,Qtr 4,November,18,-347.5227,20,"-347.5227,37783.349099999985,37435.82639999998"
2014,Qtr 4,November,19,1979.1982000000003,13,"1979.1982000000003,37435.82639999998,39415.02459999998"
2014,Qtr 4,November,20,251.172,4,"251.172,39415.02459999998,39666.19659999998"
2014,Qtr 4,November,21,378.1699,9,"378.1699,39666.19659999998,40044.36649999998"
2014,Qtr 4,November,23,-105.23839999999998,12,"-105.23839999999998,40506.25859999998,40401.02019999998"
2014,Qtr 4,November,26,-62.16119999999999,14,"-62.16119999999999,40452.28999999998,40390.12879999998"
2014,Qtr 4,November,27,41.296,2,"41.296,40390.12879999998,40431.42479999998"
2014,Qtr 4,November,28,12.47320000000001,13,"12.47320000000001,40431.42479999998,40443.89799999998"
2014,Qtr 4,November,30,11.828999999999997,4,"11.828999999999997,40548.57519999998,40560.404199999975"
2014,Qtr 4,November,1,663.3640999999999,20,"663.3640999999999,31268.277299999998,31931.641399999997"
2014,Qtr 4,November,2,286.5754,11,"286.5754,31931.641399999997,32218.2168"
2014,Qtr 4,November,8,25.0182,1,"25.0182,34668.228599999995,34693.24679999999"
2014,Qtr 4,November,12,79.634,11,"79.634,34903.037399999994,34982.67139999999"
2014,Qtr 4,November,17,1954.1346,13,"1954.1346,35829.21449999999,37783.349099999985"
2014,Qtr 4,November,22,461.89209999999997,8,"461.89209999999997,40044.36649999998,40506.25859999998"
2014,Qtr 4,November,24,-97.35739999999994,19,"-97.35739999999994,40401.02019999998,40303.66279999998"
2014,Qtr 4,November,25,148.62720000000002,16,"148.62720000000002,40303.66279999998,40452.28999999998"
2014,Qtr 4,November,29,104.6772,5,"104.6772,40443.89799999998,40548.57519999998"
2014,Qtr 4,December,3,146.8304,2,"146.8304,41546.9239,41693.7543"
2014,Qtr 4,December,4,62.3904,1,"62.3904,41693.7543,41756.1447"
2014,Qtr 4,December,5,425.04079999999993,16,"425.04079999999993,41756.1447,42181.1855"
2014,Qtr 4,December,6,-19.018999999999973,11,"-19.018999999999973,42181.1855,42162.1665"
2014,Qtr 4,December,7,201.7832,4,"201.7832,42162.1665,42363.9497"
2014,Qtr 4,December,9,125.75130000000001,8,"125.75130000000001,42489.877,42615.628300000004"
2014,Qtr 4,December,10,101.14259999999997,5,"101.14259999999997,42615.628300000004,42716.7709"
2014,Qtr 4,December,13,8.731399999999994,6,"8.731399999999994,42644.6701,42653.4015"
2014,Qtr 4,December,14,2220.5215000000003,9,"2220.5215000000003,42653.4015,44873.923"
2014,Qtr 4,December,15,-144.73199999999997,5,"-144.73199999999997,44873.923,44729.191000000006"
2014,Qtr 4,December,16,415.6423999999998,15,"415.6423999999998,44729.191000000006,45144.8334"
2014,Qtr 4,December,19,356.9568999999999,12,"356.9568999999999,45152.0258,45508.9827"
2014,Qtr 4,December,20,1557.0102000000002,24,"1557.0102000000002,45508.9827,47065.9929"
2014,Qtr 4,December,21,178.26479999999998,4,"178.26479999999998,47065.9929,47244.257699999995"
2014,Qtr 4,December,23,67.37939999999999,9,"67.37939999999999,47427.37879999999,47494.75819999999"
2014,Qtr 4,December,26,-3.5974000000000697,15,"-3.5974000000000697,47759.06619999999,47755.46879999999"
2014,Qtr 4,December,27,-336.32509999999996,16,"-336.32509999999996,47755.46879999999,47419.143699999986"
2014,Qtr 4,December,28,706.8574000000001,6,"706.8574000000001,47419.143699999986,48126.00109999999"
2014,Qtr 4,December,30,-594.5495999999999,13,"-594.5495999999999,48694.01059999999,48099.46099999999"
2014,Qtr 4,December,31,1444.5131000000001,14,"1444.5131000000001,48099.46099999999,49543.97409999999"
2014,Qtr 4,December,1,875.1448000000003,12,"875.1448000000003,40560.4042,41435.549"
2014,Qtr 4,December,2,111.3749,14,"111.3749,41435.549,41546.9239"
2014,Qtr 4,December,8,125.92729999999999,13,"125.92729999999999,42363.9497,42489.877"
