Orders.City,Sum(Orders.Sales),
Spokane,2027.9180000000001,
Lorain,2015.1109999999999,
Sandy Springs,1997.0300000000002,
Chester,1968.479,
Redondo Beach,1959.803,
Wheeling,1946.966,
Riverside,1944.2459999999999,
Belleville,1891.6000000000001,
Peoria,1842.832,
Las Vegas,1834.0200000000002,
Georgetown,1786.4200000000003,
Trenton,1765.1950000000002,
Evanston,1753.799,
Orlando,1740.0800000000006,
Hattiesburg,1722.8400000000001,
Muskogee,1721.7,
Athens,1720.81,
Perth Amboy,1717.0800000000002,
Pembroke Pines,1714.3755000000003,
Kent,1697.5560000000003,
Saint Petersburg,1690.7920000000001,
Bethlehem,1689.6340000000002,
Dubuque,1687.3,
Pueblo,1686.938,
Appleton,1671.31,
Greenwood,1665.0500000000002,
Saint Charles,1659.6500000000003,
Eau Claire,1645.65,
Lake Forest,1625.536,
Cincinnati,1611.976,
Lansing,1610.286,
Dearborn,1603.31,
Cheyenne,1603.1360000000002,
Suffolk,1597.9000000000003,
Bloomington,1567.7400000000002,
Passaic,1562.0860000000002,
Oxnard,1558.1000000000001,
Meriden,1550.68,
Pharr,1540.7079999999999,
Miramar,1531.192,
Lehi,1516.726,
Costa Mesa,1497.67,
Des Plaines,1493.212,
Pomona,1482.5020000000002,
Asheville,1475.3760000000002,
Camarillo,1467.5175,
Scottsdale,1466.3070000000002,
Eugene,1465.032,
Hackensack,1456.16,
Southaven,1455.3899999999999,
Plantation,1436.836,
Bossier City,1417.18,
Tamarac,1413.5100000000002,
Tigard,1393.782,
Bakersfield,1377.2900000000004,
Norman,1351.3300000000002,
Pocatello,1344.942,
Saint Cloud,1331.8200000000002,
Waterbury,1326.0599999999997,
Carol Stream,1305.81,
Superior,1299.7299999999998,
Brownsville,1292.2268,
Richardson,1288.4640000000004,
Naperville,1288.3029999999999,
Quincy,1276.4589999999998,
Moreno Valley,1262.4660000000001,
New Rochelle,1255.228,
Bristol,1251.182,
Renton,1242.6319999999998,
South Bend,1238.3300000000002,
Stockton,1227.6000000000001,
Vallejo,1221.4099999999999,
Hesperia,1213.1715,
Danville,1202.2540000000001,
Bangor,1164.45,
Middletown,1154.61,
Twin Falls,1148.8059999999998,
Woodstock,1143.9,
Sioux Falls,1137.4199999999998,
Fremont,1119.01,
Rio Rancho,1114.192,
Redmond,1098.257,
Boise,1094.47,
Chandler,1076.747,
Hollywood,1070.474,
Tempe,1070.302,
Parker,1067.942,
Lawton,1057.49,
La Porte,1051.732,
Dearborn Heights,1051.57,
Chula Vista,1041.62,
Laredo,1024.3400000000001,
Olympia,1020.448,
Grand Prairie,1012.4860000000001,
Chattanooga,988.803,
San Bernardino,979.3000000000001,
Odessa,976.1239999999998,
Milford,961.7400000000001,
Edmond,959.5500000000001,
Avondale,946.808,
Fort Collins,935.2520000000001,
Fargo,919.91,
Longmont,915.0880000000001,
Apopka,904.5540000000002,
Olathe,895.79,
Gastonia,895.0600000000001,
Deltona,893.2399999999999,
Elmhurst,891.6279999999999,
Ann Arbor,889.2729999999999,
Maple Grove,882.8700000000001,
Durham,879.9599999999999,
League City,875.3679999999999,
Reading,873.712,
Mcallen,866.7159999999999,
El Cajon,865.616,
Allentown,853.252,
Yuma,840.8650000000002,
Revere,833.26,
Buffalo Grove,831.399,
La Crosse,830.41,
Wichita,825.27,
Coral Springs,824.9920000000001,
Canton,818.1300000000001,
York,817.9780000000001,
Temecula,808.6660000000002,
Salt Lake City,802.7760000000001,
Broomfield,793.504,
Texas City,790.972,
Mishawaka,776.24,
Mission Viejo,775.986,
Johnson City,765.8480000000002,
Thornton,765.248,
Kissimmee,751.984,
Freeport,739.1500000000001,
Port Arthur,737.0528,
Salinas,728.8910000000001,
Farmington,718.72,
Saint Peters,697.16,
Mentor,693.13,
Vancouver,686.836,
Park Ridge,685.0000000000001,
Utica,655.04,
Texarkana,654.24,
San Angelo,650.636,
Vineland,647.9660000000001,
Reno,644.062,
Sunnyvale,636.21,
Bryan,616.656,
Woodbury,607.65,
Overland Park,606.91,
Waco,606.1071999999999,
Irving,605.5,
Lubbock,592.5640000000002,
Encinitas,591.9810000000001,
Oak Park,591.0519999999999,
Skokie,568.832,
Mount Pleasant,563.0799999999999,
Mansfield,558.8770000000001,
Lake Charles,547.41,
Morgan Hill,545.01,
Moorhead,543.86,
Rome,534.8520000000001,
Green Bay,527.32,
Grand Rapids,526.1299999999999,
Hoover,525.85,
Westfield,519.72,
Cary,505.208,
Arvada,503.4000000000001,
Coon Rapids,503.13,
Cambridge,502.09000000000003,
Pearland,494.9960000000001,
Lebanon,488.8960000000001,
Missoula,487.98400000000004,
Murrieta,484.65000000000003,
Beaumont,472.116,
Harlingen,471.404,
Rockville,469.77000000000004,
Boynton Beach,469.5850000000001,
Caldwell,455.63199999999995,
Manteca,452.1819999999999,
Whittier,444.76800000000003,
Helena,443.84000000000003,
Andover,435.85,
Warner Robins,434.79999999999995,
Vacaville,423.28,
Carlsbad,419.34000000000003,
Norwich,414.03999999999996,
Covington,413.67999999999995,
Murray,410.938,
Summerville,406.93999999999994,
Gaithersburg,405.91999999999996,
Saginaw,395.86,
Lincoln Park,387.602,
East Orange,377.27,
Wilson,368.732,
La Mesa,367.53,
Normal,366.74399999999997,
Macon,364.01000000000005,
Taylor,353.69999999999993,
Tyler,347.20599999999996,
Orland Park,339.96000000000004,
Murfreesboro,337.333,
Clifton,336.82,
Redding,333.576,
Meridian,329.052,
Hamilton,328.22400000000005,
Modesto,326.15,
Oswego,321.97799999999995,
Hendersonville,319.53800000000007,
Visalia,318.78000000000003,
Wausau,317.47999999999996,
Garden City,312.38000000000005,
West Jordan,311.85,
Conway,301.96,
Holyoke,301.96,
College Station,291.04200000000003,
Laguna Niguel,290.98299999999995,
Allen,290.20599999999996,
Saint Louis,285.96,
North Charleston,284.25,
Lake Elsinore,283.92,
Ontario,283.92,
Logan,280.27600000000007,
Cedar Rapids,278.4,
Palm Coast,274.42800000000005,
Manhattan,273.96,
Daytona Beach,272.3315,
Haltom City,269.32800000000003,
East Point,268.4,
Woodland,264.66200000000003,
Draper,263.65,
West Allis,250.48000000000002,
Port Saint Lucie,248.95000000000002,
Hot Springs,245.82999999999998,
Delray Beach,242.536,
Kirkwood,241.34,
Thousand Oaks,238.804,
New Bedford,235.97000000000003,
Rancho Cucamonga,231.85199999999998,
Malden,228.38,
Bedford,226.25600000000003,
Sanford,225.54600000000002,
Santa Clara,222.192,
Corpus Christi,220.544,
Bolingbrook,218.308,
Leominster,217.49,
Eagan,214.28,
Pine Bluff,212.91000000000003,
Orange,211.10999999999999,
New Albany,209.54999999999998,
Marlborough,206.64,
Niagara Falls,199.842,
Woonsocket,195.55,
Saint Paul,192.82999999999998,
Bayonne,183.4,
Tuscaloosa,175.70000000000002,
Elkhart,171.43,
Gulfport,166.5,
Gladstone,164.34,
Coachella,163.55,
Glenview,158.376,
Rapid City,152.64000000000001,
Laurel,152.59,
Champaign,151.96,
Thomasville,151.292,
Urbandale,149.12,
Commerce City,146.352,
Pico Rivera,145.9,
Cottage Grove,144.35999999999999,
The Colony,142.16,
West Palm Beach,141.32800000000003,
Holland,137.86,
Lodi,136.98,
Coppell,135.936,
Homestead,132.55200000000002,
Rochester Hills,132.52,
Citrus Heights,129.39000000000001,
Englewood,124.056,
Grove City,123.58799999999998,
Cedar Hill,122.376,
Longview,119.21000000000001,
Palatine,116.312,
Lewiston,115.66400000000002,
Santa Maria,115.44,
Linden,115.36,
Conroe,111.67200000000001,
Clovis,111.42,
Sterling Heights,110.03999999999999,
San Marcos,108.44399999999999,
Bellevue,103.622,
Charlottesville,102.61,
Marysville,102.18,
Santa Fe,100.92,
Las Cruces,98.77,
Frankfort,97.632,
Melbourne,95.616,
Escondido,94.548,
Mason,94.26400000000001,
Pompano Beach,90.44,
Medford,90.21800000000002,
San Clemente,90.05799999999999,
Kenner,89.32000000000001,
Bartlett,88.96000000000001,
Edinburg,88.276,
Hillsboro,87.83800000000001,
Jefferson City,86.62,
New Castle,84.61,
Sheboygan,79.74,
Sierra Vista,76.072,
San Mateo,75.17999999999999,
Shelton,73.33,
Littleton,72.29400000000001,
Owensboro,71.18,
Garland,67.704,
Coral Gables,64.24799999999999,
Boca Raton,63.00800000000001,
Frisco,57.504000000000005,
Lindenhurst,55.48,
Waukesha,54.5,
Bridgeton,52.410000000000004,
Mesquite,52.147999999999996,
Yucaipa,50.8,
La Quinta,46.32,
Hagerstown,43.8,
Bozeman,43.66,
Redwood City,41.904,
Grapevine,41.528000000000006,
Hickory,40.764,
Rogers,40.410000000000004,
Nashua,35.94,
Royal Oak,35.34,
Goldsboro,34.944,
Davis,32.400000000000006,
Greeley,30.352,
Waterloo,30.32,
Cuyahoga Falls,29.094,
Montebello,27.88,
Danbury,27.46,
Aberdeen,25.5,
Atlantic City,23.36,
Bullhead City,22.288000000000004,
Tinley Park,22.288,
North Miami,22.128000000000004,
Loveland,20.964,
Altoona,20.451,
Antioch,19.44,
Norfolk,17.43,
Portage,16.28,
Grand Island,15.96,
Margate,15.552000000000003,
New Brunswick,14.77,
Arlington Heights,14.111999999999998,
Chapel Hill,14.015999999999998,
Rock Hill,11.850000000000001,
Baytown,10.368000000000002,
Iowa City,9.99,
Romeoville,8.951999999999998,
Billings,8.288,
Port Orange,7.824,
Deer Park,6.923999999999998,
Missouri City,6.369999999999998,
Keller,6,
Layton,4.96,
Springdale,4.3,
San Luis Obispo,3.62,
Ormond Beach,2.8080000000000007,
Pensacola,2.2140000000000004,
Jupiter,2.064,
Elyria,1.8240000000000003,
Abilene,1.3919999999999997,
