financials.Month Name,financials.Discount Band,financials.Country,Sum(financials. Sales),Sum(financials.Profit)
October,High,Germany,385798.12,34406.119999999995
October,High,Mexico,1088669.88,47219.88000000002
October,Low,United States of America,244804.5,40944.5
October,Low,Canada,555958.3400000001,37518.340000000004
October,Low,France,1462944,330904
October,Low,Germany,5571230.66,1177714.6600000001
October,Low,Mexico,1889178,330038
October,Medium,United States of America,715368.1000000001,107628.1
October,Medium,Canada,1729620.44,389606.43999999994
October,Medium,France,3630380.98,567670.98
October,Medium,Germany,20001.100000000002,4811.1
October,Medium,Mexico,43778.979999999996,14686.979999999996
October,None,United States of America,16002,4572
October,None,Canada,86250,3450
September,High,United States of America,219378.09999999998,-3351.9000000000015
September,High,Canada,743703.92,73060.92
September,High,France,230345.25,-24.75
September,High,Germany,16303.8,5283.8
September,High,Mexico,256378.6,13073.599999999999
September,Low,United States of America,980706.2999999999,196138.3
September,Low,Canada,110929.8,57214.799999999996
September,Low,France,35425.24,24692.239999999998
September,Low,Germany,1554768.45,337758.45
September,Low,Mexico,11950.4,3150.3999999999996
September,Medium,United States of America,1210191.95,175671.95
September,Medium,Canada,1023209.1,89174.1
September,Medium,France,1121037.09,239370.09
September,Medium,Germany,764555.8099999999,71315.81
September,Medium,Mexico,1127326.46,200430.45999999996
September,None,France,1187985,247725
September,None,Germany,15022,4292
September,None,Mexico,273480,51760
