501.County,501.Invoice/Item Number,501.City,Sum(501.Sale (Dollars)),,Sum(501.State Bottle Cost),Sum(501.State Bottle Retail),Sum(501.Store Number)
Buchanan,S29050500001,OSKALOOSA,28.8,"9.6,123.57000000000001,133.17000000000002",6.4,9.6,3735
Buena Vista,S05230600007,STORM LAKE,42.74,"21.37,40.75,62.120000000000005",14.25,21.37,4163
Buena Vista,S11436200019,STORM LAKE,940.2,"15.67,0,15.67",10.45,15.67,2290
Buena Vista,S15029400021,STORM LAKE,94.08,"7.84,15.67,23.509999999999998",5.23,7.84,2576
Buena Vista,S16977300096,STORM LAKE,51.72,"17.24,23.509999999999998,40.75",11.49,17.24,2290
Butler,S14739200020,ALLISON,17,"4.25,36.58,40.83",2.84,4.25,4700
Butler,S16168900009,PARKERSBURG,159.72,"26.62,0,26.62",17.75,26.62,4110
Butler,S20480800009,CLARKSVILLE,119.52,"9.96,26.62,36.58",6.64,9.96,4538
Calhoun,S18458300006,ROCKWELL CITY,132.72,"22.12,0,22.12",14.75,22.12,4905
Carroll,S07527800127,CARROLL,143.28,"11.94,0,11.94",7.96,11.94,2593
Carroll,S28867200001,COON RAPIDS,17.43,"17.43,11.94,29.369999999999997",11.62,17.43,4881
Cass,S11539700018,ATLANTIC,87.06,"14.51,110.81,125.32000000000001",9.67,14.51,2591
Cass,S13601200006,ATLANTIC,103.92,"17.32,93.49000000000001,110.81",11.55,17.32,3833
Cass,S23538400002,ATLANTIC,9.26,"9.26,135.82,145.07999999999998",6.17,9.26,2591
Cass,S24057000039,ATLANTIC,31.5,"10.5,125.32000000000001,135.82",7,10.5,5081
Cass,S25028600099,ATLANTIC,156.12,"13.01,80.48,93.49000000000001",8.67,13.01,2591
Cass,S28869600001,ATLANTIC,160.02,"53.34,27.14,80.48",35.55,53.34,4114
Cass,S29196200002,ATLANTIC,651.36,"27.14,0,27.14",18.09,27.14,2591
Cedar,S12536100031,DURANT,47.04,"7.84,11.82,19.66",5.23,7.84,4564
Cedar,S24009000053,TIPTON,59.1,"11.82,0,11.82",7.88,11.82,4269
Cerro Gordo,S08982800159,CLEAR LAKE,17.7,"17.7,275.54,293.24",11.8,17.7,3456
Cerro Gordo,S10647900049,CLEAR LAKE,33.12,"11.04,264.5,275.54",7.36,11.04,3456
Cerro Gordo,S13095400056,MASON CITY,269.76,"22.48,27.14,49.620000000000005",14.99,22.48,2515
Cerro Gordo,S13344600034,MASON CITY,265.44,"22.12,49.620000000000005,71.74000000000001",14.75,22.12,3713
Cerro Gordo,S14980700053,MASON CITY,128.64,"10.72,197.76,208.48",7.14,10.72,2515
Cerro Gordo,S16546200058,MASON CITY,73.8,"6.15,225.23999999999998,231.39",4.1,6.15,2652
Cerro Gordo,S19153100167,MASON CITY,66.22,"33.11,231.39,264.5",22.07,33.11,2515
Cerro Gordo,S19693800025,MASON CITY,100.56,"16.76,208.48,225.23999999999998",11.18,16.76,4615
Cerro Gordo,S21049400056,CLEAR LAKE,258.24,"43.04,71.74000000000001,114.78",28.69,43.04,4969
Cerro Gordo,S23530700064,CLEAR LAKE,135.33,"45.11,130.52,175.63",30.07,45.11,4969
Cerro Gordo,S24016900001,CLEAR LAKE,132.78,"22.13,175.63,197.76",14.75,22.13,4091
Cerro Gordo,S28612300046,MASON CITY,188.88,"15.74,114.78,130.52",10.49,15.74,3713
Cerro Gordo,S29196100002,MASON CITY,1628.4,"27.14,0,27.14",18.09,27.14,2582
Cherokee,S13145600027,CHEROKEE,17.32,"8.66,0,8.66",5.77,8.66,4310
Chickasaw,S22385600010,NASHUA,90,"22.5,0,22.5",15,22.5,4924
Clay,S12175200011,SPENCER,128.4,"10.7,13.5,24.2",7.13,10.7,2565
Clay,S24673100035,SPENCER,243,"13.5,0,13.5",9,13.5,3626
Clay,S28869700001,SPENCER,106.68,"53.34,24.2,77.54",35.55,53.34,4234
Clayton,S03688600022,MONONA,25.49,"25.49,18.08,43.56999999999999",16.99,25.49,3679
Clayton,S20828800013,MONONA,36.16,"18.08,0,18.08",12.05,18.08,4972
Clinton,S06963100024,CLINTON,180,"15,9.6,24.6",10,15,3647
Clinton,S10918800007,CAMANCHE,67.14,"11.19,63.14,74.33",7.46,11.19,4132
Clinton,S14667700042,CLINTON,58.44,"9.74,74.33,84.07",6.49,9.74,3647
Clinton,S26656700011,CLINTON,166.68,"27.78,24.6,52.38",18.52,27.78,3647
Clinton,S27967500007,GRAND MOUND,129.12,"10.76,52.38,63.14",7.17,10.76,4813
Clinton,S29050100001,CLINTON,192,"9.6,0,9.6",6.4,9.6,2806
Crawford,S29196300002,DENISON,162.84,"27.14,0,27.14",18.09,27.14,2595
Dallas,S20728800019,WAUKEE,38.96,"9.74,80.48,90.22",6.49,9.74,4137
Dallas,S28869000001,WAUKEE,106.68,"53.34,27.14,80.48",35.55,53.34,2665
Dallas,S29197200002,WAUKEE,325.68,"27.14,0,27.14",18.09,27.14,2665
Delaware,S10762000011,MANCHESTER,486,"40.5,0,40.5",27,40.5,4019
Des Moines,S04197400002,BURLINGTON,58.56,"4.88,52.86,57.74",3.25,4.88,3906
Des Moines,S10699400047,BURLINGTON,130,"32.5,0,32.5",21.67,32.5,4794
Des Moines,S12714100030,BURLINGTON,16.42,"8.21,61.870000000000005,70.08000000000001",5.47,8.21,4258
Des Moines,S19542700128,BURLINGTON,15.54,"5.18,70.08000000000001,75.26000000000002",3.45,5.18,2506
Des Moines,S26834100056,BURLINGTON,82.5,"8.25,32.5,40.75",5.5,8.25,4794
Des Moines,S27469700099,BURLINGTON,72.66,"12.11,40.75,52.86",8.07,12.11,2506
Des Moines,S27849800035,WEST BURLINGTON,7.34,"7.34,75.26000000000002,82.60000000000002",4.89,7.34,4857
Des Moines,S27992700007,BURLINGTON,41.3,"4.13,57.74,61.870000000000005",2.75,4.13,4898
Dickinson,S06021200082,MILFORD,71.88,"5.99,92.05999999999999,98.04999999999998",4,5.99,3390
Dickinson,S06855800032,SPIRIT LAKE,135.6,"11.3,57.879999999999995,69.17999999999999",7.53,11.3,2522
Dickinson,S12585300015,MILFORD,809.28,"22.48,0,22.48",14.99,22.48,3390
Dickinson,S14871800069,SPIRIT LAKE,245.4,"20.45,22.48,42.93",13.63,20.45,2522
Dickinson,S15524500034,SPIRIT LAKE,60.12,"5.01,98.04999999999998,103.05999999999999",3.34,5.01,2233
Dickinson,S18541900027,ARNOLDS PARK,12.08,"3.02,103.05999999999999,106.07999999999998",2.01,3.02,4117
Dickinson,S20967300001,ARNOLDS PARK,179.4,"14.95,42.93,57.879999999999995",9.7,14.95,4576
Dickinson,S25318300075,MILFORD,76.68,"6.39,85.66999999999999,92.05999999999999",4.26,6.39,3390
Dickinson,S27887300040,SPIRIT LAKE,98.94,"16.49,69.17999999999999,85.66999999999999",10.99,16.49,2522
Dubuque,S04067900001,DUBUQUE,103.92,"17.32,84.18,101.5",11.55,17.32,3738
Dubuque,S04196400096,DUBUQUE,41.68,"20.84,278.71000000000004,299.55",13.89,20.84,4167
Dubuque,S04408700074,DUBUQUE,62.5,"31.25,173.74,204.99",20.83,31.25,2624
Dubuque,S06245900192,DUBUQUE,47.22,"15.74,240.36,256.1",10.16,15.74,2524
Dubuque,S07934900009,DUBUQUE,152.88,"12.74,47.300000000000004,60.040000000000006",8.5,12.74,3774
Dubuque,S10919700010,DUBUQUE,60.36,"5.03,225.58,230.61",3.35,5.03,2649
Dubuque,S12219300026,DUBUQUE,61.77,"20.59,204.99,225.58",13.73,20.59,3774
Dubuque,S14464200006,DUBUQUE,14.88,"7.44,363.02000000000004,370.46000000000004",4.96,7.44,3959
Dubuque,S14633400014,DUBUQUE,19.48,"9.74,345.53000000000003,355.27000000000004",6.49,9.74,3841
Dubuque,S18205200042,DUBUQUE,99.12,"8.26,101.5,109.76",5.51,8.26,4167
Dubuque,S19348900006,DYERSVILLE,141.12,"11.76,72.42,84.18",7.84,11.76,4182
Dubuque,S20226000015,DUBUQUE,18.12,"3.02,360.00000000000006,363.02000000000004",2.01,3.02,4106
Dubuque,S21231400112,DUBUQUE,148.56,"12.38,60.040000000000006,72.42",8.25,12.38,2624
Dubuque,S22463000145,DUBUQUE,48.75,"9.75,230.61,240.36",6.5,9.75,4167
Dubuque,S22994400050,DUBUQUE,477.6,"9.95,27.75,37.7",6.63,9.95,4167
Dubuque,S22996900012,DUBUQUE,666,"27.75,0,27.75",18.5,27.75,2413
Dubuque,S24207400035,DUBUQUE,95.98,"47.99,109.76,157.75",31.99,47.99,2465
Dubuque,S24435200011,DYERSVILLE,95.94,"15.99,157.75,173.74",10.49,15.99,3744
Dubuque,S26491000003,DUBUQUE,25.73,"25.73,319.8,345.53000000000003",17.15,25.73,3872
Dubuque,S26841700070,DUBUQUE,18.92,"4.73,355.27000000000004,360.00000000000006",3.15,4.73,2649
Dubuque,S28018100055,DUBUQUE,40.5,"20.25,299.55,319.8",13.5,20.25,2649
Dubuque,S28184800058,DUBUQUE,45.22,"22.61,256.1,278.71000000000004",15.07,22.61,2465
Dubuque,S29049600001,DUBUQUE,192,"9.6,37.7,47.300000000000004",6.4,9.6,2624
Emmet,S16817200015,ESTHERVILLE,49.32,"4.11,27.14,31.25",2.74,4.11,4774
Emmet,S29195900002,ESTHERVILLE,325.68,"27.14,0,27.14",18.09,27.14,2556
Fayette,S09922700017,OELWEIN,116.88,"9.74,0,9.74",6.5,9.74,4156
Floyd,S08748300063,CHARLES CITY,110.4,"4.6,10.79,15.389999999999999",3.07,4.6,2578
Floyd,S11615400004,NORA SPRINGS,194.22,"10.79,0,10.79",7.2,10.79,4524
Franklin,S13459400039,HAMPTON,13.77,"4.59,0,4.59",3.06,4.59,4306
Greene,S04704600011,SCRANTON,97.98,"16.33,0,16.33",10.89,16.33,4539
Greene,S15428100066,JEFFERSON,7.5,"7.5,29.83,37.33",5,7.5,3791
Greene,S29143800013,JEFFERSON,40.5,"13.5,16.33,29.83",9,13.5,4653
Grundy,S23424900021,CONRAD,11.21,"11.21,0,11.21",7.47,11.21,4659
Guthrie,S08792800017,GUTHRIE CENTER,30.72,"10.24,6.74,16.98",6.82,10.24,2459
Guthrie,S12344300033,PANORA,40.44,"6.74,0,6.74",4.5,6.74,3465
Hancock,S29268400030,BRITT,82.26,"13.71,0,13.71",9.14,13.71,3045
Hardin,S28865800001,IOWA FALLS,104.58,"17.43,27.14,44.57",11.62,17.43,2539
Hardin,S29199300001,IOWA FALLS,325.68,"27.14,0,27.14",18.09,27.14,2539
Harrison,S19947000016,MISSOURI VALLEY,13.32,"4.44,38.97,43.41",2.96,4.44,4152
Harrison,S29050900001,DUNLAP,19.2,"9.6,29.37,38.97",6.4,9.6,4307
Harrison,S29331500076,MISSOURI VALLEY,29.37,"29.37,0,29.37",19.58,29.37,4152
Henry,S29199600001,MOUNT PLEASANT,488.52,"27.14,0,27.14",18.09,27.14,2558
Howard,S29198900001,CRESCO,651.36,"27.14,0,27.14",18.09,27.14,2353
Humboldt,S04084600008,HUMBOLDT,0,"0,8.66,8.66",0,0,4319
Humboldt,S13871400001,DAKOTA CITY,103.92,"8.66,0,8.66",5.77,8.66,4775
Ida,S28458300015,IDA GROVE,116.88,"9.74,27.14,36.88",6.49,9.74,5151
Ida,S28866900001,HOLSTEIN,17.43,"17.43,99.82000000000001,117.25",11.62,17.43,3650
Ida,S28869200001,HOLSTEIN,53.34,"53.34,46.480000000000004,99.82000000000001",35.55,53.34,3650
Ida,S29050400001,HOLSTEIN,76.8,"9.6,36.88,46.480000000000004",6.4,9.6,3650
Ida,S29197800002,HOLSTEIN,488.52,"27.14,0,27.14",18.09,27.14,3650
Iowa,S05233900074,MARENGO,10.18,"5.09,37,42.09",3.39,5.09,3417
Iowa,S09405700004,NORTH ENGLISH,67.14,"11.19,13.43,24.619999999999997",7.46,11.19,3976
Iowa,S11449100031,NORTH LIBERTY,161.16,"13.43,0,13.43",8.95,13.43,3925
Iowa,S26919400055,MARENGO,49.52,"12.38,24.619999999999997,37",8.25,12.38,3417
Jackson,S06847200026,BELLEVUE,212.88,"17.74,0,17.74",11.82,17.74,3488
Jackson,S23056400067,MAQUOKETA,8.07,"8.07,17.74,25.81",5.38,8.07,3612
Jasper,S07282800084,NEWTON,6.81,"6.81,51.13,57.940000000000005",4.54,6.81,2517
Jasper,S13750400014,COLFAX,58.62,"9.77,0,9.77",6.51,9.77,4429
Jasper,S27349300151,NEWTON,30.39,"10.13,36.5,46.63",6.75,10.13,2517
Jasper,S28784500116,NEWTON,22.5,"4.5,46.63,51.13",3,4.5,2517
Jasper,S28867100001,NEWTON,34.86,"17.43,19.07,36.5",11.62,17.43,4604
Jasper,S29033400013,COLFAX,37.2,"9.3,9.77,19.07",6.2,9.3,3041
Jefferson,S23536800084,FAIRFIELD,37.14,"12.38,0,12.38",8.25,12.38,2601
Johnson,S03642100028,NORTH LIBERTY,5.2,"2.6,455.25999999999993,457.85999999999996",1.74,2.6,3928
Johnson,S04148800022,IOWA CITY,90.54,"15.09,298.08,313.16999999999996",10.06,15.09,2622
Johnson,S04910600123,IOWA CITY,81.84,"6.82,340.90999999999997,347.72999999999996",4.55,6.82,2512
Johnson,S05954400023,SOLON,283.44,"47.24,0,47.24",31.5,47.24,4126
Johnson,S06096900108,IOWA CITY,144.24,"6.01,270.14,276.15",4.01,6.01,2512
Johnson,S06589500068,IOWA CITY,39.34,"19.67,424.38999999999993,444.05999999999995",13.11,19.67,2285
Johnson,S07729600031,IOWA CITY,11.2,"11.2,444.05999999999995,455.25999999999993",7.47,11.2,2545
Johnson,S12541300092,IOWA CITY,137.16,"11.43,276.15,287.58",7.62,11.43,2512
Johnson,S13924200030,IOWA CITY,78.96,"6.58,354.33,360.90999999999997",4.16,6.58,2545
Johnson,S14244900059,CORALVILLE,63.9,"10.65,393.85999999999996,404.50999999999993",7.1,10.65,2599
Johnson,S14802700099,IOWA CITY,65.4,"21.8,372.05999999999995,393.85999999999996",14.53,21.8,2512
Johnson,S21143400018,NORTH LIBERTY,252.72,"21.06,47.24,68.3",14.04,21.06,4112
Johnson,S21639200006,SWISHER,79.2,"6.6,347.72999999999996,354.33",4.4,6.6,3822
Johnson,S22308800085,IOWA CITY,59.64,"19.88,404.50999999999993,424.38999999999993",13.25,19.88,2622
Johnson,S23255600012,CORALVILLE,66.9,"11.15,360.90999999999997,372.05999999999995",7.43,11.15,4705
Johnson,S25952700069,IOWA CITY,126,"10.5,287.58,298.08",7,10.5,2512
Johnson,S27812700031,IOWA CITY,83.22,"27.74,313.16999999999996,340.90999999999997",18.49,27.74,2622
Johnson,S28867700001,IOWA CITY,160.02,"53.34,68.3,121.64",35.55,53.34,2513
Johnson,S29161800004,IOWA CITY,148.5,"148.5,121.64,270.14",99,148.5,2622
Jones,S04404400009,ANAMOSA,159.3,"26.55,0,26.55",17.37,26.55,3886
Jones,S04854100048,ANAMOSA,31.68,"10.56,42.28,52.84",7.04,10.56,2487
Jones,S05101300107,MONTICELLO,28.08,"2.34,52.84,55.18000000000001",1.56,2.34,3495
Jones,S06988900150,MONTICELLO,47.19,"15.73,26.55,42.28",10.49,15.73,3495
Kossuth,S11431800028,ALGONA,8.58,"8.58,127.63,136.21",5.72,8.58,3987
Kossuth,S13776400040,ALGONA,150,"6.25,94.35,100.6",4.17,6.25,2585
Kossuth,S18956900038,ALGONA,166.44,"13.87,27.14,41.01",9.25,13.87,2585
Kossuth,S28867000001,BANCROFT,52.29,"17.43,110.19999999999999,127.63",11.62,17.43,3842
Kossuth,S28869400001,BANCROFT,160.02,"53.34,41.01,94.35",35.55,53.34,3842
Kossuth,S29050700001,BANCROFT,96,"9.6,100.6,110.19999999999999",6.4,9.6,3842
Kossuth,S29197900002,BANCROFT,488.52,"27.14,0,27.14",18.09,27.14,3842
Lee,S09160200004,KEOKUK,179.94,"29.99,45.11,75.1",20,29.99,2555
Lee,S11040100109,FORT MADISON,14.86,"7.43,238.88,246.31",4.95,7.43,2584
Lee,S13206600042,FORT MADISON,135,"11.25,209.58,220.83",7.5,11.25,3908
Lee,S19274200084,FORT MADISON,33.8,"8.45,220.83,229.28",5.3,8.45,2584
Lee,S21721200051,KEOKUK,216,"4.5,40.61,45.11",3,4.5,2555
Lee,S24892500005,WEST POINT,323.28,"13.47,27.14,40.61",8.98,13.47,4673
Lee,S28774900013,FORT MADISON,173.76,"14.48,75.1,89.58",9.65,14.48,4689
Lee,S28868100001,KEOKUK,160.02,"53.34,143.86,197.20000000000002",35.55,53.34,2555
Lee,S29048900001,KEOKUK,9.6,"9.6,246.31,255.91",6.4,9.6,2191
Lee,S29050300001,FORT MADISON,19.2,"9.6,229.28,238.88",6.4,9.6,3549
Lee,S29065400007,KEOKUK,148.56,"12.38,197.20000000000002,209.58",8.25,12.38,2555
Lee,S29197600002,FORT MADISON,325.68,"27.14,0,27.14",18.09,27.14,3549
Lee,S29198800001,KEOKUK,162.84,"27.14,89.58,116.72",18.09,27.14,2191
Lee,S29199500001,KEOKUK,162.84,"27.14,116.72,143.86",18.09,27.14,2555
Linn,S03558800021,CEDAR RAPIDS,162.78,"27.13,280.2,307.33",18.08,27.13,2568
Linn,S04692900036,MARION,20.76,"10.38,618.19,628.57",6.92,10.38,4180
Linn,S04958400027,CEDAR RAPIDS,65.32,"16.33,442.99,459.32",10.89,16.33,4488
Linn,S05487200004,MT VERNON,608.88,"25.37,79.91,105.28",16.92,25.37,3692
Linn,S05702000043,CEDAR RAPIDS,21.74,"21.74,596.45,618.19",14.5,21.74,3912
Linn,S05799500024,CEDAR RAPIDS,571.2,"9.52,105.28,114.8",6.01,9.52,2605
Linn,S05984500004,MT VERNON,959.4,"26.65,53.260000000000005,79.91",17.76,26.65,3692
Linn,S06687700025,MT VERNON,469.56,"39.13,114.8,153.93",26.08,39.13,3692
Linn,S07153200063,CEDAR RAPIDS,225,"18.75,153.93,172.68",12.5,18.75,2508
Linn,S07441800045,CEDAR RAPIDS,116.88,"9.74,352.89,362.63",6.49,9.74,2529
Linn,S07453700018,CEDAR RAPIDS,134.82,"22.47,320.07,342.53999999999996",14.98,22.47,2647
Linn,S08262100013,CEDAR RAPIDS,73.74,"12.29,430.7,442.99",7.79,12.29,3666
Linn,S08845700025,CEDAR RAPIDS,62.28,"5.19,459.32,464.51",3.46,5.19,2508
Linn,S08894500006,PALO,152.88,"12.74,307.33,320.07",8.5,12.74,4443
Linn,S09706900021,CEDAR RAPIDS,42,"7,579.71,586.71",4.67,7,2510
Linn,S09979300008,CEDAR RAPIDS,79.08,"6.59,424.11,430.7",4.4,6.59,2529
Linn,S10622000024,CEDAR RAPIDS,180.12,"15.01,181.23000000000002,196.24",10.01,15.01,3618
Linn,S11460200054,CEDAR RAPIDS,12.5,"6.25,628.57,634.82",4.17,6.25,2529
Linn,S11795800034,CEDAR RAPIDS,49.5,"9.9,525.23,535.13",6.6,9.9,3894
Linn,S13468400032,MARION,5.45,"5.45,640.4100000000001,645.8600000000001",3.64,5.45,4180
Linn,S13955300010,CEDAR RAPIDS,180,"15,196.24,211.24",10,15,2647
Linn,S14846000014,CEDAR RAPIDS,50.22,"8.37,516.86,525.23",5.41,8.37,4489
Linn,S15979000005,CEDAR RAPIDS,1253.76,"26.12,27.14,53.260000000000005",17.41,26.12,3773
Linn,S18876900008,CEDAR RAPIDS,124.2,"10.35,342.53999999999996,352.89",6.9,10.35,3707
Linn,S19955900152,CEDAR RAPIDS,11.18,"5.59,634.82,640.4100000000001",3.73,5.59,2590
Linn,S20413900092,MT VERNON,50.4,"16.8,483.26,500.06",11.2,16.8,3692
Linn,S21688800125,MT VERNON,50.4,"16.8,500.06,516.86",11.2,16.8,3692
Linn,S24580900002,CEDAR RAPIDS,101.22,"33.74,390.37,424.11",22.49,33.74,2568
Linn,S24742300137,MOUNT VERNON,56.25,"18.75,464.51,483.26",12.5,18.75,5102
Linn,S25865900045,CEDAR RAPIDS,44.58,"44.58,535.13,579.71",29.72,44.58,4860
Linn,S25940400007,CEDAR RAPIDS,205.2,"8.55,172.68,181.23000000000002",5.7,8.55,5025
Linn,S28271800008,PALO,176.16,"14.68,211.24,225.92000000000002",9.45,14.68,4443
Linn,S28330000037,CEDAR RAPIDS,38.96,"9.74,586.71,596.45",6.49,9.74,5172
Linn,S29107200150,CEDAR RAPIDS,110.96,"27.74,362.63,390.37",18.49,27.74,2508
Linn,S29195800002,CEDAR RAPIDS,2442.6,"27.14,0,27.14",18.09,27.14,2552
Linn,S29198100002,CEDAR RAPIDS,162.84,"27.14,225.92000000000002,253.06",18.09,27.14,4162
Linn,S29199100001,CEDAR RAPIDS,162.84,"27.14,253.06,280.2",18.09,27.14,2509
Louisa,S15364700018,WAPELLO,15.78,"5.26,0,5.26",3.5,5.26,4121
Lucas,S15983300014,CHARITON,98.82,"16.47,15.74,32.21",10.98,16.47,2551
Lucas,S26793300054,CHARITON,17.82,"17.82,32.21,50.03",11.88,17.82,2551
Lucas,S27944500031,CHARITON,188.88,"15.74,0,15.74",10.49,15.74,2551
Lyon,S13727900013,LARCHWOOD,78.75,"26.25,0,26.25",17.5,26.25,4337
Madison,S13241100020,WINTERSET,64.2,"10.7,0,10.7",7.13,10.7,2228
Mahaska,S11716100038,OSKALOOSA,37.3,"18.65,0,18.65",12.1,18.65,3990
Mahaska,S15322300091,OSKALOOSA,14.88,"7.44,18.65,26.09",4.96,7.44,3990
Marion,S05796100019,KNOXVILLE,74.28,"12.38,98.53999999999999,110.91999999999999",8.25,12.38,3660
Marion,S06175800029,KNOXVILLE,33,"5.5,119.54999999999998,125.04999999999998",3.67,5.5,3660
Marion,S13794700012,KNOXVILLE,43.15,"8.63,110.91999999999999,119.54999999999998",5.75,8.63,3818
Marion,S19096000040,PELLA,279.72,"23.31,0,23.31",15.54,23.31,2642
Marion,S20089700004,KNOXVILLE,177.36,"14.78,40.739999999999995,55.519999999999996",9.85,14.78,3660
Marion,S21679800033,PELLA,97.92,"8.16,90.38,98.53999999999999",5.44,8.16,2642
Marion,S28865900001,KNOXVILLE,104.58,"17.43,55.519999999999996,72.94999999999999",11.62,17.43,2566
Marion,S29137200001,KNOXVILLE,209.16,"17.43,23.31,40.739999999999995",11.62,17.43,2566
Marion,S29282800048,PELLA,104.58,"17.43,72.94999999999999,90.38",11.62,17.43,2642
Marshall,S06441700180,MARSHALLTOWN,16.77,"5.59,49.43,55.019999999999996",3.73,5.59,2544
Marshall,S20240000025,MARSHALLTOWN,180,"7.5,9.6,17.1",5,7.5,4426
Marshall,S29049200001,MARSHALLTOWN,192,"9.6,0,9.6",6.4,9.6,2544
