Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales),Sum(Orders.Discount),Sum(Orders.Quantity),
June,Paper,3387.342200000002,7889.798,0,507,"507,486,993"
June,Binders,3458.790199999999,12934.128,51,435,"435,993,1428"
June,Chairs,2379.654499999999,22660.734,0,147,"147,1428,1575"
June,Storage,1383.4845999999995,16081.666,0,220,"220,1575,1795"
June,Appliances,1882.2951,8888.828,7,129,"129,1795,1924"
June,Furnishings,347.0391000000001,5619.636,14,248,"248,1924,2172"
June,Envelopes,232.4454,540.308,0,47,"47,2172,2219"
June,Art,451.48029999999983,1803.186,0,210,"210,2219,2429"
June,Labels,564.8333999999998,1225.388,0,125,"125,2429,2554"
June,Machines,2518.9106,12740.925,1,39,"39,2554,2593"
June,Fasteners,30.525699999999993,107.918,0,40,"40,2593,2633"
June,Supplies,64.69160000000001,1235.898,0,31,"31,2633,2664"
June,Bookcases,196.22829999999985,8050.4967,0,58,"58,2664,2722"
June,Tables,-912.4094,18949.968,0,114,"114,2722,2836"
July,Copiers,2761.9453000000003,9779.792,0,27,"27,0,27"
July,Phones,2371.7454,22876.342,0,265,"265,27,292"
July,Accessories,3932.7228999999998,15021.934,0,203,"203,292,495"
July,Paper,1940.3985,4641.18,0,356,"356,495,851"
July,Binders,-3429.238599999999,8515.795,43,430,"430,851,1281"
July,Chairs,521.0705999999998,24178.63,0,179,"179,1281,1460"
July,Storage,1576.2803,14514.142,0,257,"257,1460,1717"
July,Appliances,322.10090000000014,2859.066,5,76,"76,1717,1793"
July,Furnishings,1188.6073999999999,8097.46,8,285,"285,1793,2078"
July,Envelopes,466.4857,1032.22,0,55,"55,2078,2133"
July,Art,681.5839000000002,2717.604,0,259,"259,2133,2392"
July,Labels,741.6982999999999,1565.544,0,88,"88,2392,2480"
July,Machines,37.886400000000016,4064.768,1,16,"16,2480,2496"
July,Fasteners,65.232,196.868,0,66,"66,2496,2562"
July,Supplies,418.3021000000001,8794.016,0,52,"52,2562,2614"
July,Bookcases,381.24319999999994,9929.802,1,85,"85,2614,2699"
July,Tables,-645.1797000000004,9385.478,0,63,"63,2699,2762"
August,Copiers,1129.9773,2929.94,0,7,"7,0,7"
August,Phones,3351.463899999999,27684.588,0,236,"236,7,243"
August,Accessories,2989.905699999999,13166.308,0,233,"233,243,476"
August,Paper,2580.6492000000003,5999.062,0,346,"346,476,822"
August,Binders,4847.432199999998,20551.967,39,461,"461,822,1283"
August,Chairs,857.8722000000002,18741.474,0,124,"124,1283,1407"
August,Storage,1183.2280999999998,17385.196,0,212,"212,1407,1619"
August,Appliances,3022.8967000000002,13658.457,3,173,"173,1619,1792"
August,Furnishings,441.19,4579.654,9,204,"204,1792,1996"
August,Envelopes,357.6198,839.132,0,43,"43,1996,2039"
August,Art,454.6105999999999,1708.342,0,187,"187,2039,2226"
August,Labels,432.4669000000002,933.864,0,126,"126,2226,2352"
August,Machines,1293.1271000000004,6021.534,0,21,"21,2352,2373"
August,Fasteners,82.4791,235.946,0,70,"70,2373,2443"
August,Supplies,77.86600000000001,722.582,0,65,"65,2443,2508"
August,Bookcases,82.58719999999998,5080.968,0,51,"51,2508,2559"
August,Tables,-1142.1715000000004,13914.1415,0,93,"93,2559,2652"
September,Copiers,4557.896699999999,12639.726,0,31,"31,0,31"
September,Phones,5302.664900000002,37453.298,0,375,"375,31,406"
September,Accessories,6707.497600000001,25363.51,0,421,"421,406,827"
September,Paper,4542.946400000002,10238.44,0,770,"770,827,1597"
September,Binders,7184.091,37781.289,86,794,"794,1597,2391"
September,Chairs,5710.3209,50236.546,0,315,"315,2391,2706"
September,Storage,3072.6529000000032,27004.134,0,448,"448,2706,3154"
September,Appliances,984.0412000000001,9832.178,7,198,"198,3154,3352"
September,Furnishings,2215.9927,11149.456,13,427,"427,3352,3779"
September,Envelopes,814.9358999999997,1983.666,0,121,"121,3779,3900"
September,Art,867.8841000000003,3538.93,0,383,"383,3900,4283"
September,Labels,621.5819999999999,1466.068,0,208,"208,4283,4491"
September,Machines,-2381.6409000000012,24972.873,4,63,"63,4491,4554"
September,Fasteners,121.04980000000003,353.662,0,119,"119,4554,4673"
September,Supplies,-1161.1589000000001,6487.262,0,90,"90,4673,4763"
September,Bookcases,-1630.2256000000007,23491.3654,2,108,"108,4763,4871"
September,Tables,-1384.2693000000002,20638.7525,0,129,"129,4871,5000"
October,Copiers,15860.892900000003,37059.74,0,29,"29,0,29"
October,Phones,4858.578200000001,28172.734,0,290,"290,29,319"
October,Accessories,2862.1819,13446.86,0,231,"231,319,550"
October,Paper,2405.9479999999994,5639.816,0,385,"385,550,935"
October,Binders,3934.5394000000006,18185.224,54,478,"478,935,1413"
October,Chairs,479.65559999999954,21741.705,0,205,"205,1413,1618"
October,Storage,556.4535999999994,18377.732,0,279,"279,1618,1897"
October,Appliances,1939.4918,8098.277,5,115,"115,1897,2012"
October,Furnishings,752.4636999999999,6137.764,11,308,"308,2012,2320"
October,Envelopes,396.468,970.036,0,91,"91,2320,2411"
October,Art,474.9687999999999,1843.192,0,204,"204,2411,2615"
October,Labels,325.86269999999996,762.688,0,127,"127,2615,2742"
October,Machines,1557.9449000000004,12205.859,3,58,"58,2742,2800"
October,Fasteners,109.58619999999999,393.474,0,85,"85,2800,2885"
October,Supplies,84.64810000000001,855.442,0,41,"41,2885,2926"
October,Bookcases,-446.0724,9952.5055,3,69,"69,2926,2995"
October,Tables,-3528.8677,20884.0045,0,127,"127,2995,3122"
November,Copiers,6211.964300000001,14989.886,0,15,"15,0,15"
November,Phones,7078.694300000003,50348.12,0,484,"484,15,499"
November,Accessories,6141.470800000001,25422.868,0,469,"469,499,968"
November,Paper,5214.8939999999975,11881.576,0,764,"764,968,1732"
November,Binders,-898.6065000000007,19810.651,91,910,"910,1732,2642"
November,Chairs,3082.3271,46731.326,0,322,"322,2642,2964"
November,Storage,3853.5672000000004,36201.916,0,512,"512,2964,3476"
November,Appliances,4385.719799999999,20333.066,6,268,"268,3476,3744"
November,Furnishings,2178.2545,12212.316,19,488,"488,3744,4232"
November,Envelopes,1238.7154,2972.272,0,152,"152,4232,4384"
November,Art,942.1233000000005,3768.202,0,410,"410,4384,4794"
November,Labels,1022.0808,2433.366,0,200,"200,4794,4994"
November,Machines,2426.4826000000003,28368.458,5,73,"73,4994,5067"
November,Fasteners,167.1449,485.136,0,132,"132,5067,5199"
November,Supplies,-91.47459999999998,1429.306,0,98,"98,5199,5297"
November,Bookcases,464.69029999999947,22758.0245,1,123,"123,5297,5420"
November,Tables,-1281.2585999999997,30535.253,0,182,"182,5420,5602"
December,Copiers,7228.8736,19399.64,0,42,"42,0,42"
December,Phones,6194.852899999999,44704.456,0,431,"431,42,473"
December,Accessories,6649.8135999999995,26583.094,0,476,"476,473,949"
December,Paper,5067.6626000000015,11659.374,0,753,"753,949,1702"
December,Binders,3614.2747000000004,31100.366,67,774,"774,1702,2476"
December,Chairs,6745.667400000002,59286.651,0,437,"437,2476,2913"
December,Storage,3827.819700000001,32002.578,0,396,"396,2913,3309"
December,Appliances,2631.6893000000005,15027.413,11,270,"270,3309,3579"
December,Furnishings,2090.5460000000003,18345.164,25,595,"595,3579,4174"
December,Envelopes,1146.3127999999997,2715.004,0,131,"131,4174,4305"
December,Art,794.8668000000005,3862.582,0,431,"431,4305,4736"
December,Labels,452.19780000000003,1005.348,0,157,"157,4736,4893"
December,Machines,-7820.1544,17122.177,4,34,"34,4893,4927"
December,Fasteners,163.93050000000002,455.8,0,140,"140,4927,5067"
December,Supplies,-36.802200000000035,4300.23,0,76,"76,5067,5143"
December,Bookcases,-1565.0876,9501.9437,4,112,"112,5143,5255"
December,Tables,-2146.2251,43445.4715,0,234,"234,5255,5489"
