Orders.Ship Mode,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales),
Second Class,Chairs,6766.249999999999,489,0,74872.058,"74872.058,164076.63400000002,238948.69200000004"
Second Class,Storage,5434.313199999993,670,0,48469.372,"48469.372,238948.69200000004,287418.064"
Second Class,Appliances,4906.695699999998,324,12,26538.239,"26538.239,287418.064,313956.303"
Second Class,Furnishings,1808.7125999999998,648,33,15416.006,"15416.006,313956.303,329372.309"
Second Class,Envelopes,1280.4035000000006,186,0,2847.608,"2847.608,329372.309,332219.917"
Second Class,Art,1299.1289,585,0,5270.03,"5270.03,332219.917,337489.94700000004"
Second Class,Labels,1466.7880999999993,252,0,3352.534,"3352.534,337489.94700000004,340842.481"
Second Class,Machines,2157.029899999999,43,2,22493.7,"22493.7,340842.481,363336.18100000004"
Second Class,Fasteners,158.0298,168,0,478.018,"478.018,363336.18100000004,363814.199"
Second Class,Supplies,-505.56239999999974,152,0,29378.41,"29378.41,363814.199,393192.609"
Second Class,Bookcases,-1028.0213000000006,175,3,22307.2129,"22307.2129,393192.609,415499.8219"
Second Class,Tables,-3320.6798999999996,257,0,43693.7475,"43693.7475,415499.8219,459193.5694"
Standard Class,Copiers,31354.62040000001,129,0,83698.904,"83698.904,0,83698.904"
Standard Class,Phones,25953.350599999987,1987,0,197147.722,"197147.722,83698.904,280846.626"
Standard Class,Accessories,23428.860799999988,1720,0,93803.416,"93803.416,280846.626,374650.042"
Standard Class,Paper,19478.8185,2984,0,45160.262,"45160.262,374650.042,419810.304"
Standard Class,Binders,19491.99669999999,3777,396,134320.073,"134320.073,419810.304,554130.377"
Standard Class,Chairs,16043.0579,1372,0,184210.857,"184210.857,554130.377,738341.2339999999"
Standard Class,Storage,11852.0534,1851,0,140250.752,"140250.752,738341.2339999999,878591.9859999999"
Standard Class,Appliances,8595.79090000001,1075,47,58997.306,"58997.306,878591.9859999999,937589.2919999999"
Standard Class,Furnishings,8758.772699999994,2186,78,58257.068,"58257.068,937589.2919999999,995846.3599999999"
Standard Class,Envelopes,4333.362299999999,548,0,10274.862,"10274.862,995846.3599999999,1006121.2219999998"
Standard Class,Art,4074.864999999998,1868,0,16941.198,"16941.198,1006121.2219999998,1023062.4199999998"
Standard Class,Labels,3029.1865000000003,830,0,6731.35,"6731.35,1023062.4199999998,1029793.7699999998"
Standard Class,Machines,2392.4552,286,10,119792.993,"119792.993,1029793.7699999998,1149586.7629999998"
Standard Class,Fasteners,618.2950999999999,587,0,2048.912,"2048.912,1149586.7629999998,1151635.6749999998"
Standard Class,Supplies,-875.5834999999996,387,0,13216.524,"13216.524,1151635.6749999998,1164852.1989999998"
Standard Class,Bookcases,-2531.1028000000006,487,8,68536.8825,"68536.8825,1164852.1989999998,1233389.0814999999"
Standard Class,Tables,-11910.012200000003,723,0,124826.6615,"124826.6615,1233389.0814999999,1358215.7429999998"
