World Food Price.Food Group,Table3.Date.Variation.Date Hierarchy.Year,Sum(World Food Price.Price),
FAO DAIRY FOOD PRICE INDEX,2012,1339.8807229616025,"1339.8807229616025,10350.334397728988,11690.215120690591"
FAO DAIRY FOOD PRICE INDEX,2013,1690.8829560237364,"1690.8829560237364,11690.215120690591,13381.098076714326"
FAO DAIRY FOOD PRICE INDEX,2008,1588.0394159079283,"1588.0394159079283,4763.9501891618365,6351.989605069764"
FAO DAIRY FOOD PRICE INDEX,2014,1562.478293440139,"1562.478293440139,13381.098076714326,14943.576370154466"
FAO DAIRY FOOD PRICE INDEX,2010,1342.787605999047,"1342.787605999047,7448.85836885652,8791.645974855568"
FAO DAIRY FOOD PRICE INDEX,2017,1296.135266280479,"1296.135266280479,16981.098076714326,18277.233342994805"
FAO DAIRY FOOD PRICE INDEX,2020,1221.9862139921834,"1221.9862139921834,20798.282977723757,22020.26919171594"
FAO DAIRY FOOD PRICE INDEX,2009,1096.868763786756,"1096.868763786756,6351.989605069764,7448.85836885652"
FAO DAIRY FOOD PRICE INDEX,2016,991.7799211342852,"991.7799211342852,15989.31815558004,16981.098076714326"
FAO DAIRY FOOD PRICE INDEX,2007,1468.7935516610116,"1468.7935516610116,3295.156637500825,4763.9501891618365"
FAO DAIRY FOOD PRICE INDEX,2018,1287.260250398562,"1287.260250398562,18277.233342994805,19564.493593393367"
FAO DAIRY FOOD PRICE INDEX,2019,1233.7893843303914,"1233.7893843303914,19564.493593393367,20798.282977723757"
FAO DAIRY FOOD PRICE INDEX,2015,1045.7417854255752,"1045.7417854255752,14943.576370154466,15989.31815558004"
FAO DAIRY FOOD PRICE INDEX,2006,876.6403820509265,"876.6403820509265,2418.5162554498984,3295.156637500825"
FAO DAIRY FOOD PRICE INDEX,2005,926.5207515716613,"926.5207515716613,1491.9955038782368,2418.5162554498984"
FAO DAIRY FOOD PRICE INDEX,2004,838.1865707107798,"838.1865707107798,653.808933167457,1491.9955038782368"
FAO DAIRY FOOD PRICE INDEX,2003,653.808933167457,"653.808933167457,0,653.808933167457"
FAO DAIRY FOOD PRICE INDEX,2022,419.3484097857,"419.3484097857,23449.630216005247,23868.978625790947"
FAO MEAT PRICE INDEX,2011,1264.17634909241,"1264.17634909241,7289.523777915313,8553.700127007723"
FAO MEAT PRICE INDEX,2021,1292.6449234280478,"1292.6449234280478,19345.25694873297,20637.90187216102"
FAO MEAT PRICE INDEX,2012,1259.602873547556,"1259.602873547556,8553.700127007723,9813.30300055528"
FAO MEAT PRICE INDEX,2013,1273.917214802535,"1273.917214802535,9813.30300055528,11087.220215357815"
FAO MEAT PRICE INDEX,2008,1081.9488420491948,"1081.9488420491948,4140.866866702632,5222.815708751827"
FAO MEAT PRICE INDEX,2014,1346.961196754899,"1346.961196754899,11087.220215357815,12434.181412112714"
FAO MEAT PRICE INDEX,2010,1092.032677902527,"1092.032677902527,6197.491100012786,7289.523777915313"
FAO MEAT PRICE INDEX,2017,1172.9047439485753,"1172.9047439485753,14687.220215357815,15860.12495930639"
FAO MEAT PRICE INDEX,2020,1146.4880527894943,"1146.4880527894943,18198.768895943478,19345.25694873297"
FAO MEAT PRICE INDEX,2009,974.6753912609595,"974.6753912609595,5222.815708751827,6197.491100012786"
FAO MEAT PRICE INDEX,2016,1092.2538348889284,"1092.2538348889284,13594.966380468886,14687.220215357815"
FAO MEAT PRICE INDEX,2007,922.3958048533091,"922.3958048533091,3218.4710618493236,4140.866866702632"
FAO MEAT PRICE INDEX,2018,1138.7210550508723,"1138.7210550508723,15860.12495930639,16998.846014357263"
FAO MEAT PRICE INDEX,2019,1199.9228815862166,"1199.9228815862166,16998.846014357263,18198.768895943478"
FAO MEAT PRICE INDEX,2015,1160.7849683561733,"1160.7849683561733,12434.181412112714,13594.966380468886"
FAO MEAT PRICE INDEX,2006,846.2793227374641,"846.2793227374641,2372.1917391118595,3218.4710618493236"
FAO MEAT PRICE INDEX,2005,861.237587441069,"861.237587441069,1510.9541516707905,2372.1917391118595"
FAO MEAT PRICE INDEX,2004,810.7797897599514,"810.7797897599514,700.1743619108391,1510.9541516707905"
FAO MEAT PRICE INDEX,2003,700.1743619108391,"700.1743619108391,0,700.1743619108391"
FAO MEAT PRICE INDEX,2022,346.51897971223946,"346.51897971223946,20637.90187216102,20984.42085187326"
FAO SUGAR PRICE INDEX,2011,1930.8068858725253,"1930.8068858725253,7515.6433068551705,9446.450192727696"
FAO SUGAR PRICE INDEX,2021,1312.015715162241,"1312.015715162241,19975.60983738619,21287.62555254843"
FAO SUGAR PRICE INDEX,2012,1599.823610947482,"1599.823610947482,9446.450192727696,11046.273803675178"
FAO SUGAR PRICE INDEX,2013,1313.440154298722,"1313.440154298722,11046.273803675178,12359.7139579739"
FAO SUGAR PRICE INDEX,2008,950.3444286651021,"950.3444286651021,3637.9043539828544,4588.248782647956"
FAO SUGAR PRICE INDEX,2014,1262.3446715656473,"1262.3446715656473,12359.7139579739,13622.058629539548"
FAO SUGAR PRICE INDEX,2010,1580.6887255852503,"1580.6887255852503,5934.95458126992,7515.6433068551705"
FAO SUGAR PRICE INDEX,2017,1189.3464500914952,"1189.3464500914952,15959.713957973901,17149.060408065397"
FAO SUGAR PRICE INDEX,2020,954.344611656637,"954.344611656637,19021.265225729552,19975.60983738619"
FAO SUGAR PRICE INDEX,2009,1346.705798621963,"1346.705798621963,4588.248782647956,5934.95458126992"
FAO SUGAR PRICE INDEX,2016,1339.4811067648852,"1339.4811067648852,14620.232851209015,15959.713957973901"
FAO SUGAR PRICE INDEX,2007,748.429715654858,"748.429715654858,2889.474638327996,3637.9043539828544"
FAO SUGAR PRICE INDEX,2018,928.8246378688252,"928.8246378688252,17149.060408065397,18077.88504593422"
FAO SUGAR PRICE INDEX,2019,943.3801797953324,"943.3801797953324,18077.88504593422,19021.265225729552"
FAO SUGAR PRICE INDEX,2015,998.1742216694677,"998.1742216694677,13622.058629539548,14620.232851209015"
FAO SUGAR PRICE INDEX,2006,1096.7177274320204,"1096.7177274320204,1792.7569108959758,2889.474638327996"
FAO SUGAR PRICE INDEX,2005,734.3490127672651,"734.3490127672651,1058.4078981287107,1792.7569108959758"
FAO SUGAR PRICE INDEX,2004,532.1520067351864,"532.1520067351864,526.2558913935242,1058.4078981287107"
FAO SUGAR PRICE INDEX,2003,526.2558913935242,"526.2558913935242,0,526.2558913935242"
FAO SUGAR PRICE INDEX,2022,341.11261370374746,"341.11261370374746,21287.62555254843,21628.738166252177"
FAO VEGETABLE OIL PRICE INDEX,2011,1877.7586692179366,"1877.7586692179366,8783.41996672695,10661.178635944885"
FAO VEGETABLE OIL PRICE INDEX,2021,1978.2135907779355,"1978.2135907779355,21823.096873979986,23801.31046475792"
FAO VEGETABLE OIL PRICE INDEX,2012,1659.67938547549,"1659.67938547549,10661.178635944885,12320.858021420376"
FAO VEGETABLE OIL PRICE INDEX,2013,1433.998476042866,"1433.998476042866,12320.858021420376,13754.856497463243"
FAO VEGETABLE OIL PRICE INDEX,2008,1692.8742832147714,"1692.8742832147714,4494.015167583944,6186.889450798715"
FAO VEGETABLE OIL PRICE INDEX,2014,1327.3951379631287,"1327.3951379631287,13754.856497463243,15082.251635426372"
FAO VEGETABLE OIL PRICE INDEX,2010,1463.4022023748796,"1463.4022023748796,7320.017764352069,8783.41996672695"
FAO VEGETABLE OIL PRICE INDEX,2017,1222.9137101132394,"1222.9137101132394,17354.856497463243,18577.770207576483"
FAO VEGETABLE OIL PRICE INDEX,2020,1193.3224281572702,"1193.3224281572702,20629.774445822717,21823.096873979986"
FAO VEGETABLE OIL PRICE INDEX,2009,1133.1283135533545,"1133.1283135533545,6186.889450798715,7320.017764352069"
FAO VEGETABLE OIL PRICE INDEX,2016,1193.3117337832591,"1193.3117337832591,16161.544763679984,17354.856497463243"
FAO VEGETABLE OIL PRICE INDEX,2007,1287.777672464977,"1287.777672464977,3206.237495118967,4494.015167583944"
FAO VEGETABLE OIL PRICE INDEX,2018,1053.1329242717175,"1053.1329242717175,18577.770207576483,19630.9031318482"
FAO VEGETABLE OIL PRICE INDEX,2019,998.8713139745154,"998.8713139745154,19630.9031318482,20629.774445822717"
FAO VEGETABLE OIL PRICE INDEX,2015,1079.2931282536122,"1079.2931282536122,15082.251635426372,16161.544763679984"
FAO VEGETABLE OIL PRICE INDEX,2006,846.5414060665333,"846.5414060665333,2359.6960890524338,3206.237495118967"
FAO VEGETABLE OIL PRICE INDEX,2005,772.7847534369774,"772.7847534369774,1586.9113356154562,2359.6960890524338"
FAO VEGETABLE OIL PRICE INDEX,2004,835.339563079222,"835.339563079222,751.5717725362343,1586.9113356154562"
FAO VEGETABLE OIL PRICE INDEX,2003,751.5717725362343,"751.5717725362343,0,751.5717725362343"
FAO VEGETABLE OIL PRICE INDEX,2022,636.2468241918848,"636.2468241918848,23801.31046475792,24437.557288949803"
FOOD PRICE INDEX,2011,1582.6129942041416,"1582.6129942041416,8081.471086201429,9664.08408040557"
FOOD PRICE INDEX,2021,1508.737347296663,"1508.737347296663,20825.755568219174,22334.49291551584"
FOOD PRICE INDEX,2012,1474.0899031429583,"1474.0899031429583,9664.08408040557,11138.173983548528"
FOOD PRICE INDEX,2013,1441.5020312284114,"1441.5020312284114,11138.173983548528,12579.676014776938"
FOOD PRICE INDEX,2008,1410.1277047509316,"1410.1277047509316,4290.481479696526,5700.609184447458"
FOOD PRICE INDEX,2014,1380.343986453576,"1380.343986453576,12579.676014776938,13960.020001230514"
FOOD PRICE INDEX,2010,1280.9260373298903,"1280.9260373298903,6800.545048871539,8081.471086201429"
FOOD PRICE INDEX,2017,1176.2743124050019,"1176.2743124050019,16179.67601477694,17355.95032718194"
FOOD PRICE INDEX,2020,1177.55752052617,"1177.55752052617,19648.198047693004,20825.755568219174"
FOOD PRICE INDEX,2009,1099.9358644240808,"1099.9358644240808,5700.609184447458,6800.545048871539"
FOOD PRICE INDEX,2016,1103.0930609958825,"1103.0930609958825,15076.582953781057,16179.67601477694"
FOOD PRICE INDEX,2007,1131.042587282041,"1131.042587282041,3159.438892414484,4290.481479696526"
FOOD PRICE INDEX,2018,1151.0002534487573,"1151.0002534487573,17355.95032718194,18506.9505806307"
FOOD PRICE INDEX,2019,1141.2474670623035,"1141.2474670623035,18506.9505806307,19648.198047693004"
FOOD PRICE INDEX,2015,1116.562952550542,"1116.562952550542,13960.020001230514,15076.582953781057"
FOOD PRICE INDEX,2006,870.757847087342,"870.757847087342,2288.681045327142,3159.438892414484"
FOOD PRICE INDEX,2005,808.5255448992991,"808.5255448992991,1480.155500427843,2288.681045327142"
FOOD PRICE INDEX,2004,786.64296377329,"786.64296377329,693.512536654553,1480.155500427843"
FOOD PRICE INDEX,2003,693.512536654553,"693.512536654553,0,693.512536654553"
FOOD PRICE INDEX,2022,436.3050461168982,"436.3050461168982,22334.49291551584,22770.797961632736"
