Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Profit),,CountNonNull(Orders.Country),Min(Orders.Segment)
2017,Qtr 3,September,28,-46.377900000000004,"10,8737,8747",10,Consumer
2017,Qtr 3,September,21,97.2069,"8,8642,8650",8,Consumer
2017,Qtr 3,September,11,1032.8846999999996,"22,8489,8511",22,Consumer
2017,Qtr 3,September,18,501.5420999999999,"20,8593,8613",20,Consumer
2017,Qtr 3,September,23,115.18559999999994,"20,8672,8692",20,Consumer
2017,Qtr 3,September,8,-510.9671,"14,8428,8442",14,Consumer
2017,Qtr 3,September,7,1248.2396999999999,"23,8405,8428",23,Consumer
2017,Qtr 3,September,29,39.56069999999988,"21,8747,8768",21,Consumer
2017,Qtr 3,September,15,1934.9693,"26,8537,8563",26,Consumer
2017,Qtr 3,September,30,207.35469999999998,"7,8768,8775",7,Consumer
2017,Qtr 3,September,14,474.3417,"18,8519,8537",18,Consumer
2017,Qtr 3,September,22,-145.57789999999983,"22,8650,8672",22,Consumer
2017,Qtr 3,September,12,219.39099999999996,"7,8511,8518",7,Consumer
2017,Qtr 3,September,25,228.99779999999998,"13,8717,8730",13,Consumer
2017,Qtr 3,September,10,-977.3219,"18,8471,8489",18,Consumer
2017,Qtr 3,September,13,2.785999999999998,"1,8518,8519",1,Consumer
2017,Qtr 3,September,19,53.989900000000034,"15,8613,8628",15,Consumer
2017,Qtr 3,September,4,224.42510000000001,"28,8372,8400",28,Consumer
2017,Qtr 3,August,17,605.8984999999994,"17,8186,8203",17,Consumer
2017,Qtr 3,August,26,-14.764999999999986,"3,8270,8273",3,Consumer
2017,Qtr 3,August,24,77.40599999999998,"4,8261,8265",4,Consumer
2017,Qtr 3,August,3,40.30090000000001,"7,8104,8111",7,Consumer
2017,Qtr 3,August,27,1008.8821,"19,8273,8292",19,Consumer
2017,Qtr 3,August,6,419.7761999999999,"7,8119,8126",7,Consumer
2017,Qtr 3,August,20,183.61779999999996,"7,8224,8231",7,Consumer
2017,Qtr 3,August,16,-12.029200000000003,"2,8184,8186",2,Consumer
2017,Qtr 3,August,5,170.4234,"5,8114,8119",5,Consumer
2017,Qtr 3,August,1,-159.40620000000024,"6,8098,8104",6,Consumer
2017,Qtr 3,August,28,345.30090000000007,"8,8292,8300",8,Consumer
2017,Qtr 3,August,21,2245.6487999999995,"23,8231,8254",23,Consumer
2017,Qtr 3,August,11,235.90439999999995,"6,8147,8153",6,Corporate
2017,Qtr 3,August,18,1971.9706,"17,8203,8220",17,Consumer
2017,Qtr 3,August,23,358.54600000000005,"5,8256,8261",5,Consumer
2017,Qtr 3,August,7,705.8854000000001,"17,8126,8143",17,Consumer
2017,Qtr 3,August,29,57.12820000000002,"5,8300,8305",5,Corporate
2017,Qtr 3,August,15,-289.18360000000007,"3,8181,8184",3,Consumer
2017,Qtr 3,August,14,12.387900000000002,"3,8178,8181",3,Consumer
2017,Qtr 3,August,22,-81.25010000000006,"2,8254,8256",2,Consumer
2017,Qtr 3,August,12,888.6844999999998,"12,8153,8165",12,Consumer
2017,Qtr 3,August,25,-17.110800000000012,"5,8265,8270",5,Consumer
2017,Qtr 3,August,10,521.9644000000001,"4,8143,8147",4,Consumer
2017,Qtr 3,August,13,-1071.7151999999996,"13,8165,8178",13,Consumer
2017,Qtr 3,August,19,225.0193,"4,8220,8224",4,Consumer
2017,Qtr 3,August,4,0.4319999999999995,"3,8111,8114",3,Corporate
2017,Qtr 3,August,31,611.2384999999998,"11,8305,8316",11,Consumer
2017,Qtr 3,July,17,477.3141999999999,"9,7985,7994",9,Consumer
2017,Qtr 3,July,26,705.274,"2,8058,8060",2,Corporate
2017,Qtr 3,July,9,164.11139999999995,"9,7935,7944",9,Consumer
2017,Qtr 3,July,24,839.9860000000001,"1,8049,8050",1,Corporate
2017,Qtr 3,July,2,51.3259,"2,7875,7877",2,Home Office
2017,Qtr 3,July,3,1488.1451000000002,"20,7877,7897",20,Consumer
2017,Qtr 3,July,27,211.57549999999998,"8,8060,8068",8,Consumer
2017,Qtr 3,July,6,13.745400000000012,"4,7903,7907",4,Consumer
2017,Qtr 3,July,20,727.2774,"12,8002,8014",12,Consumer
2017,Qtr 3,July,16,15.037400000000005,"3,7982,7985",3,Consumer
2017,Qtr 3,July,5,-337.40990000000005,"6,7897,7903",6,Corporate
2017,Qtr 3,July,1,103.95460000000003,"3,7872,7875",3,Home Office
2017,Qtr 3,July,28,108.05360000000007,"3,8068,8071",3,Corporate
2017,Qtr 3,July,21,144.22859999999983,"23,8014,8037",23,Consumer
2017,Qtr 3,July,11,336.16809999999987,"7,7947,7954",7,Consumer
2017,Qtr 3,July,18,-425.6398,"8,7994,8002",8,Consumer
2017,Qtr 3,July,23,258.41179999999997,"10,8039,8049",10,Consumer
2017,Qtr 3,July,8,817.1375999999999,"19,7916,7935",19,Consumer
2017,Qtr 3,July,7,37.402899999999846,"9,7907,7916",9,Consumer
2017,Qtr 3,July,29,367.46059999999994,"12,8071,8083",12,Consumer
2017,Qtr 3,July,15,285.20519999999993,"10,7972,7982",10,Consumer
2017,Qtr 3,July,30,87.9368,"4,8083,8087",4,Consumer
2017,Qtr 3,July,14,-46.04390000000001,"13,7959,7972",13,Consumer
2017,Qtr 3,July,22,-61.106099999999984,"2,8037,8039",2,Consumer
2017,Qtr 3,July,12,1.1924999999999997,"1,7954,7955",1,Consumer
2017,Qtr 3,July,25,-39.79680000000003,"8,8050,8058",8,Consumer
2017,Qtr 3,July,10,44.92500000000002,"3,7944,7947",3,Consumer
2017,Qtr 3,July,13,112.01669999999999,"4,7955,7959",4,Consumer
2017,Qtr 3,July,31,464.73139999999995,"11,8087,8098",11,Consumer
2017,Qtr 1,March,17,129.72739999999996,"13,7050,7063",13,Consumer
2017,Qtr 1,March,26,426.5697000000001,"11,7129,7140",11,Consumer
2017,Qtr 1,March,9,139.62849999999995,"3,6994,6997",3,Consumer
2017,Qtr 1,March,24,340.27239999999995,"7,7110,7117",7,Consumer
2017,Qtr 1,March,2,244.0397,"11,6944,6955",11,Consumer
2017,Qtr 1,March,3,528.1881,"7,6955,6962",7,Consumer
2017,Qtr 1,March,27,128.52319999999978,"14,7140,7154",14,Consumer
2017,Qtr 1,March,6,235.126,"10,6977,6987",10,Consumer
2017,Qtr 1,March,20,253.0645,"6,7084,7090",6,Consumer
2017,Qtr 1,March,16,182.3024999999999,"13,7037,7050",13,Consumer
2017,Qtr 1,March,5,480.4513,"9,6968,6977",9,Consumer
2017,Qtr 1,March,28,58.86419999999997,"8,7154,7162",8,Corporate
2017,Qtr 1,March,21,912.2595999999999,"12,7090,7102",12,Consumer
2017,Qtr 1,March,11,224.69839999999994,"7,7006,7013",7,Consumer
2017,Qtr 1,March,18,-250.11810000000014,"10,7063,7073",10,Consumer
2017,Qtr 1,March,23,6818.627599999998,"8,7102,7110",8,Consumer
2017,Qtr 1,March,8,243.448,"4,6990,6994",4,Consumer
2017,Qtr 1,March,7,56.1114,"3,6987,6990",3,Consumer
2017,Qtr 1,March,29,21.164000000000005,"1,7162,7163",1,Consumer
2017,Qtr 1,March,30,222.0362,"6,7163,7169",6,Consumer
2017,Qtr 1,March,14,4.961599999999999,"1,7036,7037",1,Corporate
2017,Qtr 1,March,12,60.47399999999999,"3,7013,7016",3,Consumer
2017,Qtr 1,March,25,730.5125999999998,"12,7117,7129",12,Consumer
2017,Qtr 1,March,10,-165.0196,"9,6997,7006",9,Consumer
2017,Qtr 1,March,13,827.2756,"20,7016,7036",20,Consumer
2017,Qtr 1,March,19,130.40929999999994,"11,7073,7084",11,Consumer
2017,Qtr 1,March,4,-33.9224,"6,6962,6968",6,Consumer
2017,Qtr 1,March,31,1802.2157999999997,"13,7169,7182",13,Consumer
2017,Qtr 1,January,26,803.9555,"6,6797,6803",6,Consumer
2017,Qtr 1,January,9,-228.74250000000006,"1,6711,6712",1,Consumer
2017,Qtr 1,January,24,105.06819999999999,"4,6793,6797",4,Consumer
2017,Qtr 1,January,2,-207.04730000000006,"8,6692,6700",8,Consumer
2017,Qtr 1,January,3,704.2800000000001,"3,6700,6703",3,Consumer
2017,Qtr 1,January,27,1.623899999999999,"4,6803,6807",4,Consumer
2017,Qtr 1,January,6,15.5204,"1,6703,6704",1,Home Office
2017,Qtr 1,January,20,156.03199999999998,"6,6760,6766",6,Consumer
2017,Qtr 1,January,16,2595.2029999999995,"5,6746,6751",5,Consumer
2017,Qtr 1,January,1,-181.4109,"10,6682,6692",10,Consumer
2017,Qtr 1,January,28,333.8478,"4,6807,6811",4,Consumer
2017,Qtr 1,January,21,619.2186999999999,"14,6766,6780",14,Consumer
2017,Qtr 1,January,23,60.54999999999998,"7,6786,6793",7,Corporate
2017,Qtr 1,January,8,80.3682,"1,6710,6711",1,Corporate
2017,Qtr 1,January,7,758.7191999999997,"6,6704,6710",6,Consumer
2017,Qtr 1,January,29,86.90309999999997,"10,6811,6821",10,Consumer
2017,Qtr 1,January,15,297.2059999999999,"8,6738,6746",8,Consumer
2017,Qtr 1,January,30,308.4440999999998,"16,6821,6837",16,Consumer
2017,Qtr 1,January,14,208.80790000000002,"18,6720,6738",18,Consumer
2017,Qtr 1,January,22,1461.3510999999999,"6,6780,6786",6,Corporate
2017,Qtr 1,January,12,-1101.516,"4,6712,6716",4,Corporate
2017,Qtr 1,January,13,206.65240000000009,"4,6716,6720",4,Corporate
2017,Qtr 1,January,19,55.404300000000006,"9,6751,6760",9,Consumer
2017,Qtr 1,February,17,-383.54780000000017,"13,6892,6905",13,Consumer
2017,Qtr 1,February,26,447.3532,"9,6933,6942",9,Consumer
2017,Qtr 1,February,9,-411.97260000000017,"6,6864,6870",6,Consumer
2017,Qtr 1,February,24,249.3928999999998,"3,6927,6930",3,Consumer
2017,Qtr 1,February,2,170.67699999999994,"9,6837,6846",9,Consumer
2017,Qtr 1,February,3,215.56999999999994,"8,6846,6854",8,Consumer
2017,Qtr 1,February,6,204.31579999999994,"5,6859,6864",5,Consumer
2017,Qtr 1,February,20,-107.5121,"11,6912,6923",11,Corporate
2017,Qtr 1,February,16,95.97559999999993,"8,6884,6892",8,Consumer
2017,Qtr 1,February,5,74.88199999999978,"4,6855,6859",4,Consumer
2017,Qtr 1,February,28,8.2242,"2,6942,6944",2,Consumer
2017,Qtr 1,February,21,-2.9940000000000015,"1,6923,6924",1,Consumer
2017,Qtr 1,February,11,130.10179999999986,"5,6872,6877",5,Consumer
2017,Qtr 1,February,18,62.40820000000001,"3,6905,6908",3,Corporate
2017,Qtr 1,February,23,42.36999999999999,"3,6924,6927",3,Consumer
2017,Qtr 1,February,25,-19.37980000000001,"3,6930,6933",3,Consumer
2017,Qtr 1,February,10,28.12739999999998,"2,6870,6872",2,Consumer
2017,Qtr 1,February,13,424.3345000000001,"7,6877,6884",7,Consumer
2017,Qtr 1,February,19,377.05149999999986,"4,6908,6912",4,Consumer
2017,Qtr 1,February,4,8.494200000000001,"1,6854,6855",1,Consumer
2017,Qtr 2,June,17,1696.4658999999997,"9,7761,7770",9,Consumer
2017,Qtr 2,June,26,705.2893999999999,"16,7825,7841",16,Consumer
2017,Qtr 2,June,9,2.227299999999971,"5,7684,7689",5,Consumer
2017,Qtr 2,June,24,-28.52340000000018,"10,7809,7819",10,Consumer
2017,Qtr 2,June,2,38.5265,"6,7638,7644",6,Consumer
2017,Qtr 2,June,3,384.1454,"17,7644,7661",17,Consumer
2017,Qtr 2,June,27,335.5358999999999,"5,7841,7846",5,Consumer
2017,Qtr 2,June,6,2.1780000000000004,"2,7671,7673",2,Home Office
2017,Qtr 2,June,20,263.752,"9,7789,7798",9,Consumer
2017,Qtr 2,June,16,521.3649999999999,"13,7748,7761",13,Consumer
2017,Qtr 2,June,5,60.17489999999995,"2,7669,7671",2,Consumer
2017,Qtr 2,June,1,1295.5061,"11,7627,7638",11,Consumer
2017,Qtr 2,June,21,230.9592,"5,7798,7803",5,Consumer
2017,Qtr 2,June,11,274.9411999999999,"14,7702,7716",14,Consumer
2017,Qtr 2,June,18,117.87989999999989,"3,7770,7773",3,Consumer
2017,Qtr 2,June,8,134.16190000000003,"11,7673,7684",11,Consumer
2017,Qtr 2,June,29,889.2002,"15,7846,7861",15,Consumer
2017,Qtr 2,June,15,404.4218,"16,7732,7748",16,Consumer
2017,Qtr 2,June,30,135.66729999999984,"11,7861,7872",11,Consumer
2017,Qtr 2,June,22,123.27859999999998,"6,7803,7809",6,Consumer
2017,Qtr 2,June,12,314.91439999999994,"11,7716,7727",11,Consumer
2017,Qtr 2,June,25,185.0874999999999,"6,7819,7825",6,Consumer
2017,Qtr 2,June,10,186.4922999999999,"13,7689,7702",13,Consumer
2017,Qtr 2,June,13,-95.02220000000005,"5,7727,7732",5,Consumer
2017,Qtr 2,June,19,-22.034600000000083,"16,7773,7789",16,Consumer
2017,Qtr 2,June,4,66.74519999999998,"8,7661,7669",8,Consumer
2017,Qtr 2,May,26,76.44959999999999,"4,7583,7587",4,Consumer
2017,Qtr 2,May,9,273.96239999999995,"7,7446,7453",7,Corporate
2017,Qtr 2,May,2,110.39439999999999,"5,7391,7396",5,Consumer
2017,Qtr 2,May,3,-80.10020000000006,"9,7396,7405",9,Consumer
2017,Qtr 2,May,27,384.45779999999996,"11,7587,7598",11,Consumer
2017,Qtr 2,May,6,84.1947999999999,"13,7422,7435",13,Consumer
2017,Qtr 2,May,20,273.21039999999977,"12,7551,7563",12,Consumer
2017,Qtr 2,May,16,-55.256,"1,7513,7514",1,Consumer
2017,Qtr 2,May,5,-122.5625,"6,7416,7422",6,Consumer
2017,Qtr 2,May,1,-453.8578,"6,7385,7391",6,Consumer
2017,Qtr 2,May,28,169.19639999999993,"12,7598,7610",12,Consumer
2017,Qtr 2,May,21,78.01830000000002,"2,7563,7565",2,Corporate
2017,Qtr 2,May,11,-319.42490000000004,"9,7453,7462",9,Consumer
2017,Qtr 2,May,18,407.8936,"17,7514,7531",17,Consumer
2017,Qtr 2,May,23,-66.07770000000004,"5,7572,7577",5,Consumer
2017,Qtr 2,May,8,1061.3635999999997,"5,7441,7446",5,Consumer
2017,Qtr 2,May,7,649.4174999999998,"6,7435,7441",6,Consumer
2017,Qtr 2,May,29,110.42989999999999,"8,7610,7618",8,Consumer
2017,Qtr 2,May,15,73.97469999999998,"8,7505,7513",8,Consumer
2017,Qtr 2,May,30,75.15969999999997,"9,7618,7627",9,Consumer
2017,Qtr 2,May,14,1077.8877999999995,"21,7484,7505",21,Consumer
2017,Qtr 2,May,22,-6.969500000000004,"7,7565,7572",7,Consumer
2017,Qtr 2,May,12,36.53099999999995,"13,7462,7475",13,Consumer
2017,Qtr 2,May,25,230.33169999999993,"6,7577,7583",6,Consumer
2017,Qtr 2,May,13,809.8532,"9,7475,7484",9,Corporate
2017,Qtr 2,May,19,1171.7753,"20,7531,7551",20,Consumer
2017,Qtr 2,May,4,292.32929999999993,"11,7405,7416",11,Consumer
2017,Qtr 2,April,17,-3403.495000000001,"13,7283,7296",13,Consumer
2017,Qtr 2,April,26,27.162300000000002,"3,7352,7355",3,Consumer
2017,Qtr 2,April,9,411.28209999999996,"12,7224,7236",12,Consumer
2017,Qtr 2,April,24,-12.036100000000028,"9,7335,7344",9,Consumer
2017,Qtr 2,April,2,215.89819999999997,"5,7194,7199",5,Consumer
2017,Qtr 2,April,3,9.846600000000002,"2,7199,7201",2,Consumer
2017,Qtr 2,April,27,60.0206,"6,7355,7361",6,Consumer
2017,Qtr 2,April,6,44.03039999999999,"2,7207,7209",2,Corporate
2017,Qtr 2,April,20,22.754299999999905,"13,7296,7309",13,Consumer
2017,Qtr 2,April,16,-45.439,"10,7273,7283",10,Consumer
2017,Qtr 2,April,1,542.9407999999995,"12,7182,7194",12,Consumer
2017,Qtr 2,April,28,91.36719999999987,"4,7361,7365",4,Consumer
2017,Qtr 2,April,21,27.604100000000017,"8,7309,7317",8,Consumer
2017,Qtr 2,April,11,18.41699999999998,"7,7246,7253",7,Consumer
2017,Qtr 2,April,23,199.31719999999996,"15,7320,7335",15,Consumer
2017,Qtr 2,April,8,2276.8183,"8,7216,7224",8,Corporate
2017,Qtr 2,April,7,-341.1727000000001,"7,7209,7216",7,Home Office
2017,Qtr 2,April,29,-67.48409999999998,"2,7365,7367",2,Consumer
2017,Qtr 2,April,15,109.89509999999999,"6,7267,7273",6,Consumer
2017,Qtr 2,April,30,-68.12500000000004,"18,7367,7385",18,Consumer
2017,Qtr 2,April,14,33.600499999999954,"8,7259,7267",8,Consumer
2017,Qtr 2,April,22,93.973,"3,7317,7320",3,Consumer
2017,Qtr 2,April,12,31.347,"2,7253,7255",2,Consumer
2017,Qtr 2,April,25,104.58490000000002,"8,7344,7352",8,Consumer
2017,Qtr 2,April,10,171.78419999999997,"10,7236,7246",10,Consumer
2017,Qtr 2,April,13,268.2203999999999,"4,7255,7259",4,Corporate
2017,Qtr 2,April,4,110.17770000000002,"6,7201,7207",6,Consumer
2016,Qtr 4,November,17,28.9717,"4,6162,6166",4,Consumer
2016,Qtr 4,November,26,1776.8757,"16,6282,6298",16,Consumer
2016,Qtr 4,November,9,177.58890000000002,"1,6055,6056",1,Consumer
2016,Qtr 4,November,24,1246.1060999999995,"27,6243,6270",27,Consumer
2016,Qtr 4,November,3,696.3602000000001,"24,5964,5988",24,Consumer
2016,Qtr 4,November,27,209.4244,"14,6298,6312",14,Consumer
2016,Qtr 4,November,6,60.87819999999997,"7,6027,6034",7,Consumer
2016,Qtr 4,November,20,508.7925999999999,"22,6196,6218",22,Consumer
2016,Qtr 4,November,16,16.156,"2,6160,6162",2,Consumer
2016,Qtr 4,November,5,62.05509999999984,"19,6008,6027",19,Consumer
2016,Qtr 4,November,1,149.30419999999998,"4,5960,5964",4,Consumer
2016,Qtr 4,November,28,320.303,"11,6312,6323",11,Consumer
2016,Qtr 4,November,21,150.9536,"12,6218,6230",12,Consumer
2016,Qtr 4,November,11,496.01790000000005,"19,6091,6110",19,Consumer
2016,Qtr 4,November,18,781.102,"12,6166,6178",12,Consumer
2016,Qtr 4,November,23,18.649599999999985,"3,6240,6243",3,Corporate
2016,Qtr 4,November,8,261.49559999999997,"2,6053,6055",2,Consumer
2016,Qtr 4,November,7,635.1252000000001,"19,6034,6053",19,Consumer
2016,Qtr 4,November,29,-285.9254,"2,6323,6325",2,Corporate
2016,Qtr 4,November,15,262.9901,"5,6155,6160",5,Consumer
2016,Qtr 4,November,30,85.66429999999995,"5,6325,6330",5,Consumer
2016,Qtr 4,November,14,424.11100000000005,"16,6139,6155",16,Consumer
2016,Qtr 4,November,22,80.365,"10,6230,6240",10,Consumer
2016,Qtr 4,November,12,170.32519999999974,"16,6110,6126",16,Consumer
2016,Qtr 4,November,25,-6247.396900000002,"12,6270,6282",12,Consumer
2016,Qtr 4,November,10,1081.5284,"35,6056,6091",35,Consumer
2016,Qtr 4,November,13,789.1702000000002,"13,6126,6139",13,Consumer
2016,Qtr 4,November,19,111.75049999999999,"18,6178,6196",18,Consumer
2016,Qtr 4,November,4,-57.334900000000346,"20,5988,6008",20,Consumer
2016,Qtr 4,October,17,1160.7310000000002,"6,5864,5870",6,Consumer
2016,Qtr 4,October,9,-34.40839999999999,"5,5807,5812",5,Corporate
2016,Qtr 4,October,24,314.03589999999997,"6,5911,5917",6,Consumer
2016,Qtr 4,October,2,8738.797099999998,"7,5772,5779",7,Consumer
2016,Qtr 4,October,3,224.53379999999987,"7,5779,5786",7,Consumer
2016,Qtr 4,October,27,237.81499999999994,"9,5918,5927",9,Consumer
2016,Qtr 4,October,6,-947.1071,"5,5793,5798",5,Consumer
2016,Qtr 4,October,20,127.66129999999997,"10,5871,5881",10,Consumer
2016,Qtr 4,October,16,-37.91520000000003,"1,5863,5864",1,Corporate
2016,Qtr 4,October,1,-42.78950000000006,"8,5764,5772",8,Consumer
2016,Qtr 4,October,28,255.01780000000008,"17,5927,5944",17,Consumer
2016,Qtr 4,October,21,1763.4705999999994,"21,5881,5902",21,Consumer
2016,Qtr 4,October,11,4.132999999999999,"2,5819,5821",2,Consumer
2016,Qtr 4,October,18,-34.64100000000002,"1,5870,5871",1,Consumer
