financials.Discount Band,financials.Country,financials.COGS,Sum(financials. Sales),
High,United States of America,7192.5,8760.465,"8760.465,11113555.995,11122316.459999999"
High,United States of America,1158,8337.6,"8337.6,11122316.459999999,11130654.059999999"
High,United States of America,6490,7904.82,"7904.82,11130654.059999999,11138558.879999999"
High,United States of America,1900,2367.4,"2367.4,11138558.879999999,11140926.28"
High,Canada,17430,44969.4,"44969.4,0,44969.4"
High,Canada,684320,1602888,"1602888,44969.4,1647857.4"
High,Canada,374000,771936,"771936,1647857.4,2419793.4"
High,Canada,582400,705600,"705600,2419793.4,3125393.4"
High,Canada,579150,670477.5,"670477.5,3125393.4,3795870.9"
High,Canada,547170,655551.75,"655551.75,3795870.9,4451422.65"
High,Canada,341500,364722,"364722,4451422.65,4816144.65"
High,Canada,189960,344302.5,"344302.5,4816144.65,5160447.15"
High,Canada,354480,313862.5,"313862.5,5160447.15,5474309.65"
High,Canada,303480,284512.5,"284512.5,5474309.65,5758822.15"
High,Canada,239980,281053.5,"281053.5,5758822.15,6039875.65"
High,Canada,289920,265760,"265760,6039875.65,6305635.65"
High,Canada,218250,233091,"233091,6305635.65,6538726.65"
High,Canada,222000,229104,"229104,6538726.65,6767830.65"
High,Canada,183820,222705,"222705,6767830.65,6990535.65"
High,Canada,229920,215550,"215550,6990535.65,7206085.65"
High,Canada,182000,210700,"210700,7206085.65,7416785.65"
High,Canada,161980,191884,"191884,7416785.65,7608669.65"
High,Canada,199080,180416.25,"180416.25,7608669.65,7789085.9"
High,Canada,67250,138804,"138804,7789085.9,7927889.9"
High,Canada,52000,60200,"60200,7927889.9,7988089.9"
High,Canada,23000,59340,"59340,7988089.9,8047429.9"
High,Canada,29350,52243,"52243,8047429.9,8099672.9"
High,Canada,12490,43465.2,"43465.2,8099672.9,8143138.100000001"
High,Canada,12078,42997.68,"42997.68,8143138.100000001,8186135.78"
High,Canada,23940,42613.2,"42613.2,8186135.78,8228748.98"
High,Canada,24280,41761.6,"41761.6,8228748.98,8270510.58"
High,Canada,15650,40846.5,"40846.5,8270510.58,8311357.08"
High,Canada,10561.5,38021.399999999994,"38021.399999999994,8311357.08,8349378.48"
High,Canada,26890,35494.8,"35494.8,8349378.48,8384873.28"
High,Canada,13670,33682.88,"33682.88,8384873.28,8418556.16"
High,Canada,25590,32627.25,"32627.25,8418556.16,8451183.41"
High,Canada,24700,31863,"31863,8451183.41,8483046.41"
High,Canada,8283,29156.16,"29156.16,8483046.41,8512202.57"
High,Canada,6666,22931.04,"22931.04,8512202.57,8535133.61"
High,Canada,6327,22271.04,"22271.04,8535133.61,8557404.649999999"
High,Canada,15600,20826,"20826,8557404.649999999,8578230.649999999"
High,Canada,5811,20687.16,"20687.16,8578230.649999999,8598917.809999999"
High,Canada,16140,20578.5,"20578.5,8598917.809999999,8619496.309999999"
High,Canada,8655,14713.5,"14713.5,8619496.309999999,8634209.809999999"
High,Canada,9040,11263.84,"11263.84,8634209.809999999,8645473.649999999"
High,Canada,3840,5126.4,"5126.4,8645473.649999999,8650600.049999999"
High,Canada,3615,4301.85,"4301.85,8650600.049999999,8654901.899999999"
High,Canada,1940,2335.76,"2335.76,8654901.899999999,8657237.659999998"
High,France,79560,70443.75,"70443.75,0,70443.75"
High,France,8655,20841.239999999998,"20841.239999999998,70443.75,91284.98999999999"
High,France,618750,631125,"631125,91284.98999999999,722409.99"
High,France,499720,578522,"578522,722409.99,1300931.99"
High,France,465400,545055,"545055,1300931.99,1845986.99"
High,France,292920,543122.5,"543122.5,1845986.99,2389109.49"
High,France,414440,490952,"490952,2389109.49,2880061.49"
High,France,443250,468072,"468072,2880061.49,3348133.49"
High,France,213250,460620,"460620,3348133.49,3808753.49"
High,France,333060,385581,"385581,3808753.49,4194334.49"
High,France,296500,313104,"313104,4194334.49,4507438.49"
High,France,166140,201285,"201285,4507438.49,4708723.49"
High,France,177840,166725,"166725,4708723.49,4875448.49"
High,France,171960,159421.25,"159421.25,4875448.49,5034869.74"
High,France,140880,124737.5,"124737.5,5034869.74,5159607.24"
High,France,122760,109972.5,"109972.5,5159607.24,5269579.74"
High,France,21670,58509,"58509,5269579.74,5328088.74"
High,France,20720,55944,"55944,5328088.74,5384032.74"
High,France,39975,52167.375,"52167.375,5384032.74,5436200.115"
High,France,38745,51143.399999999994,"51143.399999999994,5436200.115,5487343.515000001"
High,France,28050,49929,"49929,5487343.515000001,5537272.515000001"
High,France,25215,44378.399999999994,"44378.399999999994,5537272.515000001,5581650.915000001"
High,France,28260,36031.5,"36031.5,5581650.915000001,5617682.415000001"
High,France,19540,35172,"35172,5617682.415000001,5652854.415000001"
High,France,4179,28751.52,"28751.52,5652854.415000001,5681605.9350000005"
High,France,7276.5,25904.340000000004,"25904.340000000004,5681605.9350000005,5707510.275"
High,France,3594,25589.28,"25589.28,5707510.275,5733099.555000001"
High,France,7425,25542,"25542,5733099.555000001,5758641.555000001"
High,France,17107.5,21076.44,"21076.44,5758641.555000001,5779717.995000001"
High,France,5202,18519.12,"18519.12,5779717.995000001,5798237.115000001"
High,France,13480,16418.64,"16418.64,5798237.115000001,5814655.755000001"
High,France,12660,15774.36,"15774.36,5814655.755000001,5830430.115000001"
High,France,5950,14494.2,"14494.2,5830430.115000001,5844924.315000001"
High,France,2930,9962,"9962,5844924.315000001,5854886.315000001"
High,France,7455,9184.56,"9184.56,5854886.315000001,5864070.875000001"
High,France,1465,1763.8600000000001,"1763.8600000000001,5864070.875000001,5865834.735000001"
High,Germany,702750,750537,"750537,0,750537"
High,Germany,634000,654288,"654288,750537,1404825"
High,Germany,486200,589050,"589050,1404825,1993875"
High,Germany,311740,360899,"360899,1993875,2354774"
High,Germany,339750,358776,"358776,2354774,2713550"
High,Germany,379800,352106.25,"352106.25,2713550,3065656.25"
High,Germany,332040,293993.75,"293993.75,3065656.25,3359650"
High,Germany,205920,246708,"246708,3359650,3606358"
High,Germany,199160,238609,"238609,3606358,3844967"
High,Germany,130200,230562.5,"230562.5,3844967,4075529.5"
High,Germany,201750,210627,"210627,4075529.5,4286156.5"
High,Germany,92820,108706.5,"108706.5,4286156.5,4394863"
High,Germany,29920,106515.2,"106515.2,4394863,4501378.2"
High,Germany,66240,58650,"58650,4501378.2,4560028.2"
High,Germany,15310,53891.2,"53891.2,4560028.2,4613919.4"
High,Germany,27080,47119.2,"47119.2,4613919.4,4661038.600000001"
High,Germany,11750,29962.5,"29962.5,4661038.600000001,4691001.100000001"
High,Germany,7722,27799.2,"27799.2,4691001.100000001,4718800.300000001"
High,Germany,3039,21151.44,"21151.44,4718800.300000001,4739951.740000001"
High,Germany,11580,19686,"19686,4739951.740000001,4759637.740000001"
High,Germany,15130,19517.7,"19517.7,4759637.740000001,4779155.440000001"
High,Germany,5310,18478.8,"18478.8,4779155.440000001,4797634.240000001"
High,Germany,13325,16789.5,"16789.5,4797634.240000001,4814423.740000001"
High,Germany,1416,10081.92,"10081.92,4814423.740000001,4824505.660000001"
High,Germany,6810,9193.5,"9193.5,4824505.660000001,4833699.160000001"
High,Germany,2410,8676,"8676,4833699.160000001,4842375.160000001"
High,Germany,6600,8613,"8613,4842375.160000001,4850988.160000001"
High,Germany,4420,7690.8,"7690.8,4850988.160000001,4858678.960000001"
High,Germany,5100,6885,"6885,4858678.960000001,4865563.960000001"
High,Germany,4920,6273,"6273,4865563.960000001,4871836.960000001"
High,Germany,2780,3586.2,"3586.2,4871836.960000001,4875423.160000001"
High,Germany,1400,3371.2,"3371.2,4875423.160000001,4878794.360000001"
High,Mexico,338520,303257.5,"303257.5,0,303257.5"
High,Mexico,741260,848172.5,"848172.5,303257.5,1151430"
High,Mexico,651250,679905,"679905,1151430,1831335"
High,Mexico,559260,639922.5,"639922.5,1831335,2471257.5"
High,Mexico,537500,567600,"567600,2471257.5,3038857.5"
High,Mexico,230360,545776,"545776,3038857.5,3584633.5"
High,Mexico,258720,474320,"474320,3584633.5,4058953.5"
High,Mexico,362700,429660,"429660,4058953.5,4488613.5"
High,Mexico,311220,368676,"368676,4488613.5,4857289.5"
High,Mexico,136500,278460,"278460,4857289.5,5135749.5"
High,Mexico,89440,214312,"214312,5135749.5,5350061.5"
High,Mexico,200250,206658,"206658,5350061.5,5556719.5"
High,Mexico,189000,169312.5,"169312.5,5556719.5,5726032"
High,Mexico,147750,159570,"159570,5726032,5885602"
High,Mexico,108000,116640,"116640,5885602,6002242"
High,Mexico,113640,105353.75,"105353.75,6002242,6107595.75"
High,Mexico,66480,61632.5,"61632.5,6107595.75,6169228.25"
High,Mexico,17150,60368,"60368,6169228.25,6229596.25"
High,Mexico,21570,57591.9,"57591.9,6229596.25,6287188.15"
High,Mexico,26290,46796.2,"46796.2,6287188.15,6333984.350000001"
High,Mexico,25790,44358.8,"44358.8,6333984.350000001,6378343.15"
High,Mexico,12330,43401.6,"43401.6,6378343.15,6421744.75"
High,Mexico,22550,39237,"39237,6421744.75,6460981.75"
High,Mexico,40920,38362.5,"38362.5,6460981.75,6499344.25"
High,Mexico,20390,36702,"36702,6499344.25,6536046.25"
High,Mexico,9050,31856,"31856,6536046.25,6567902.25"
High,Mexico,7983,28100.16,"28100.16,6567902.25,6596002.41"
High,Mexico,19840,26486.4,"26486.4,6596002.41,6622488.8100000005"
High,Mexico,18700,24123,"24123,6622488.8100000005,6646611.8100000005"
High,Mexico,8635,20793.08,"20793.08,6646611.8100000005,6667404.890000001"
High,Mexico,11220,19971.6,"19971.6,6667404.890000001,6687376.49"
High,Mexico,14515,17476.06,"17476.06,6687376.49,6704852.55"
High,Mexico,13530,16858.38,"16858.38,6704852.55,6721710.93"
High,Mexico,12675,15083.25,"15083.25,6721710.93,6736794.18"
High,Mexico,12100,14907.2,"14907.2,6736794.18,6751701.38"
High,Mexico,1812,12611.52,"12611.52,6751701.38,6764312.899999999"
High,Mexico,3015,10733.4,"10733.4,6764312.899999999,6775046.3"
High,Mexico,6550,8744.25,"8744.25,6775046.3,6783790.55"
High,Mexico,6410,8653.5,"8653.5,6783790.55,6792444.05"
High,Mexico,1230,8560.8,"8560.8,6792444.05,6801004.85"
High,Mexico,6840,8139.6,"8139.6,6801004.85,6809144.449999999"
High,Mexico,1713,5961.24,"5961.24,6809144.449999999,6815105.6899999995"
High,Mexico,1500,5100,"5100,6815105.6899999995,6820205.6899999995"
High,Mexico,3800,5016,"5016,6820205.6899999995,6825221.6899999995"
High,Mexico,2600,4472,"4472,6825221.6899999995,6829693.6899999995"
