financials.Discount Band,financials.Country,financials.COGS,Sum(financials. Sales),Sum(financials.Profit),
High,Canada,582400,705600,123200,"123200,895033.5,1018233.5"
High,Canada,579150,670477.5,91327.5,"91327.5,1046888.5,1138216"
High,Canada,547170,655551.75,108381.75,"108381.75,1171414,1279795.75"
High,Canada,341500,364722,23222,"23222,2176055,2199277"
High,Canada,189960,344302.5,-35617.5,"-35617.5,2288025.25,2252407.75"
High,Canada,354480,313862.5,-40617.5,"-40617.5,2252407.75,2211790.25"
High,Canada,303480,284512.5,-18967.5,"-18967.5,2163256.75,2144289.25"
High,Canada,239980,281053.5,41073.5,"41073.5,2144289.25,2185362.75"
High,Canada,289920,265760,-24160,
High,Canada,218250,233091,14841,
High,Canada,222000,229104,7104,
High,Canada,183820,222705,38885,
High,Canada,229920,215550,-14370,
High,Canada,182000,210700,28700,
High,Canada,161980,191884,29904,
High,Canada,199080,180416.25,-18663.75,
High,Canada,67250,138804,4304,
High,Canada,52000,60200,8200,
High,Canada,23000,59340,13340,
High,Canada,29350,52243,22893,
High,Canada,12490,43465.2,18485.199999999997,
High,Canada,12078,42997.68,30919.68,
High,Canada,23940,42613.2,18673.199999999997,
High,Canada,24280,41761.6,17481.6,
High,Canada,15650,40846.5,9546.5,
High,Canada,10561.5,38021.399999999994,27459.899999999998,
High,Canada,26890,35494.8,8604.800000000003,
High,Canada,13670,33682.88,6342.879999999997,
High,Canada,25590,32627.25,7037.25,
High,Canada,24700,31863,7163,
High,Canada,8283,29156.16,20873.16,
High,Canada,6666,22931.04,16265.04,
High,Canada,6327,22271.04,15944.04,
High,Canada,15600,20826,5226,
High,Canada,5811,20687.16,14876.16,
High,Canada,16140,20578.5,4438.5,
High,Canada,8655,14713.5,6058.5,
High,Canada,9040,11263.84,2223.84,
High,Canada,3840,5126.4,1286.3999999999999,
High,Canada,3615,4301.85,686.8500000000001,
High,Canada,1940,2335.76,395.7600000000002,
High,France,79560,70443.75,-9116.25,
High,France,8655,20841.239999999998,3531.239999999998,
High,France,618750,631125,12375,"12375,1400426.25,1412801.25"
High,France,499720,578522,78802,"78802,1685569.75,1764371.75"
High,France,465400,545055,79655,"79655,1879527.75,1959182.75"
High,France,292920,543122.5,-42717.5,"-42717.5,1959182.75,1916465.25"
High,France,414440,490952,76512,"76512,1932625.25,2009137.25"
High,France,443250,468072,24822,"24822,1966017.25,1990839.25"
High,France,213250,460620,34120,"34120,1990839.25,2024959.25"
High,France,333060,385581,52521,"52521,2066078,2118599"
High,France,296500,313104,16604,"16604,2211790.25,2228394.25"
High,France,166140,201285,35145,
High,France,177840,166725,-11115,
High,France,171960,159421.25,-12538.75,
High,France,140880,124737.5,-16142.5,
High,France,122760,109972.5,-12787.5,
High,France,21670,58509,15169,
High,France,20720,55944,14504,
High,France,39975,52167.375,12192.375,
High,France,38745,51143.399999999994,12398.399999999998,
High,France,28050,49929,21879,
High,France,25215,44378.399999999994,19163.399999999998,
High,France,28260,36031.5,7771.5,
High,France,19540,35172,15632,
High,France,4179,28751.52,20393.52,
High,France,7276.5,25904.340000000004,18627.840000000004,
High,France,3594,25589.28,18401.28,
High,France,7425,25542,18117,
High,France,17107.5,21076.44,3968.9399999999987,
High,France,5202,18519.12,13317.119999999999,
High,France,13480,16418.64,2938.6399999999994,
High,France,12660,15774.36,3114.3599999999997,
High,France,5950,14494.2,2594.2000000000007,
High,France,2930,9962,4102,
High,France,7455,9184.56,1729.5599999999995,
High,France,1465,1763.8600000000001,298.8600000000001,
High,Germany,702750,750537,47787,"47787,720031.5,767818.5"
High,Germany,634000,654288,20288,"20288,1279795.75,1300083.75"
High,Germany,486200,589050,102850,"102850,1582719.75,1685569.75"
High,Germany,311740,360899,49159,"49159,2199277,2248436"
High,Germany,339750,358776,19026,"19026,2248436,2267462"
High,Germany,379800,352106.25,-27693.75,"-27693.75,2315719,2288025.25"
High,Germany,332040,293993.75,-38046.25,"-38046.25,2201303,2163256.75"
High,Germany,205920,246708,40788,
High,Germany,199160,238609,39449,
High,Germany,130200,230562.5,-29837.5,
High,Germany,201750,210627,8877,
High,Germany,92820,108706.5,15886.5,
High,Germany,29920,106515.2,46675.2,
High,Germany,66240,58650,-7590,
High,Germany,15310,53891.2,23271.199999999997,
High,Germany,27080,47119.2,20039.199999999997,
High,Germany,11750,29962.5,6462.5,
High,Germany,7722,27799.2,20077.2,
High,Germany,3039,21151.44,15073.439999999999,
High,Germany,11580,19686,8106,
High,Germany,15130,19517.7,4387.700000000001,
High,Germany,5310,18478.8,13168.8,
High,Germany,13325,16789.5,3464.5,
High,Germany,1416,10081.92,7249.92,
High,Germany,6810,9193.5,2383.5,
High,Germany,2410,8676,3856,
High,Germany,6600,8613,2013,
High,Germany,4420,7690.8,3270.8,
High,Germany,5100,6885,1785,
High,Germany,4920,6273,1353,
High,Germany,2780,3586.2,806.1999999999998,
High,Germany,1400,3371.2,571.1999999999998,
High,Mexico,338520,303257.5,-35262.5,"-35262.5,2192844.25,2157581.75"
High,Mexico,741260,848172.5,106912.5,"106912.5,529323,636235.5"
High,Mexico,651250,679905,28655,"28655,1018233.5,1046888.5"
High,Mexico,559260,639922.5,80662.5,"80662.5,1300083.75,1380746.25"
High,Mexico,537500,567600,30100,"30100,1764371.75,1794471.75"
High,Mexico,230360,545776,85056,"85056,1794471.75,1879527.75"
High,Mexico,258720,474320,-43120,"-43120,2009137.25,1966017.25"
High,Mexico,362700,429660,66960,"66960,2024959.25,2091919.25"
High,Mexico,311220,368676,57456,"57456,2118599,2176055"
High,Mexico,136500,278460,5460,
High,Mexico,89440,214312,35432,
High,Mexico,200250,206658,6408,
High,Mexico,189000,169312.5,-19687.5,
High,Mexico,147750,159570,11820,
High,Mexico,108000,116640,8640,
High,Mexico,113640,105353.75,-8286.25,
High,Mexico,66480,61632.5,-4847.5,
High,Mexico,17150,60368,26068,
High,Mexico,21570,57591.9,14451.900000000001,
High,Mexico,26290,46796.2,20506.199999999997,
High,Mexico,25790,44358.8,18568.800000000003,
High,Mexico,12330,43401.6,18741.6,
High,Mexico,22550,39237,16687,
High,Mexico,40920,38362.5,-2557.5,
High,Mexico,20390,36702,16312,
High,Mexico,9050,31856,13756,
High,Mexico,7983,28100.16,20117.16,
High,Mexico,19840,26486.4,6646.4000000000015,
High,Mexico,18700,24123,5423,
High,Mexico,8635,20793.08,3523.0800000000017,
High,Mexico,11220,19971.6,8751.599999999999,
High,Mexico,14515,17476.06,2961.0600000000013,
High,Mexico,13530,16858.38,3328.380000000001,
High,Mexico,12675,15083.25,2408.25,
High,Mexico,12100,14907.2,2807.2000000000007,
High,Mexico,1812,12611.52,8987.52,
High,Mexico,3015,10733.4,7718.4,
High,Mexico,6550,8744.25,2194.25,
High,Mexico,6410,8653.5,2243.5,
High,Mexico,1230,8560.8,6100.799999999999,
High,Mexico,6840,8139.6,1299.6000000000004,
High,Mexico,1713,5961.24,4248.24,
High,Mexico,1500,5100,3600,
High,Mexico,3800,5016,1216,
High,Mexico,2600,4472,1872,
Low,United States of America,897000,1159200,262200,"262200,2300685,2562885"
Low,United States of America,726250,862785,136535,"136535,2973174,3109709"
Low,United States of America,729500,840384,110884,"110884,3109709,3220593"
Low,United States of America,711000,827604,116604,"116604,3220593,3337197"
Low,United States of America,624500,741906,117406,"117406,3337197,3454603"
Low,United States of America,575250,683397,108147,"108147,3554417.5,3662564.5"
Low,United States of America,71240,184128,41648,"41648,5301919.375,5343567.375"
Low,United States of America,87240,179932.5,5452.5,"5452.5,5343567.375,5349019.875"
Low,United States of America,79560,164092.5,4972.5,
Low,United States of America,90740,117264,26524,
Low,United States of America,69160,91238,22078,
Low,United States of America,15660,61387.2,30067.199999999997,
Low,United States of America,39600,40837.5,1237.5,
Low,United States of America,22462.5,31133.024999999998,8670.524999999998,
Low,United States of America,19250,28297.5,9047.5,
Low,United States of America,3426,26859.84,20007.84,
Low,United States of America,12360,24225.6,11865.599999999999,
Low,United States of America,5967,23629.32,17662.32,
Low,United States of America,5841,22663.08,16822.08,
Low,United States of America,15140,22482.9,7342.9000000000015,
Low,United States of America,5574,22073.04,16499.04,
Low,United States of America,10560,20275.2,9715.2,
Low,United States of America,6710,19324.8,5904.799999999999,
Low,United States of America,12645,17525.97,4880.969999999999,
Low,United States of America,4395,16876.8,12481.8,
Low,United States of America,4108.5,15940.98,11832.48,
Low,United States of America,7360,14131.2,6771.200000000001,
Low,United States of America,10065,13809.18,3744.1800000000003,
Low,Canada,741520,1956472,473432,"473432,969938,1443370"
Low,Canada,479000,1126608,168608,"168608,2562885,2731493"
Low,Canada,327480,668605,13645,"13645,3662564.5,3676209.5"
Low,Canada,462280,597408,135128,"135128,4266763,4401891"
Low,Canada,468500,545334,76834,"76834,4532430,4609264"
Low,Canada,241080,487182.5,5022.5,"5022.5,4771967.375,4776989.875"
Low,Canada,245310,326922.75,81612.75,"81612.75,5000093.875,5081706.625"
Low,Canada,212880,215097.5,2217.5,"2217.5,5285604.375,5287821.875"
Low,Canada,110760,114221.25,3461.25,
Low,Canada,89100,90956.25,1856.25,
Low,Canada,38505,74699.70000000001,36194.700000000004,
Low,Canada,26460,50803.2,24343.199999999997,
Low,Canada,20740,39820.8,19080.800000000003,
Low,Canada,14255,38317.44,9807.440000000002,
Low,Canada,23630,34736.1,11106.099999999999,
Low,Canada,3885,30458.4,22688.4,
Low,Canada,21255,28566.72,7311.719999999999,
Low,Canada,19670,28324.8,8654.8,
Low,Canada,4335,17166.6,12831.599999999999,
Low,Canada,8310,16121.4,7811.4,
Low,Canada,10460,14497.56,4037.5599999999995,
Low,Canada,9150,12681.9,3531.8999999999996,
Low,Canada,2724,10569.12,7845.120000000001,
Low,Canada,6630,9189.18,2559.1800000000003,
Low,Canada,2180,3139.2,959.1999999999998,
Low,France,560300,1493415,372815,"372815,1443370,1816185"
Low,France,566020,1462944,330904,"330904,1816185,2147089"
Low,France,608625,708439.5,99814.5,"99814.5,3454603,3554417.5"
Low,France,509220,514524.375,5304.375,"5304.375,4690631,4695935.375"
Low,France,358560,358560,0,"0,5000093.875,5000093.875"
Low,France,154440,312097.5,3217.5,"3217.5,5130150.625,5133368.125"
Low,France,229500,269892,40392,"40392,5231836.125,5272228.125"
Low,France,209280,215820,6540,"6540,5279064.375,5285604.375"
Low,France,94440,194782.5,5902.5,"5902.5,5296016.875,5301919.375"
Low,France,38640,76507.20000000001,37867.200000000004,
Low,France,5703,44255.28,32849.28,
Low,France,22960,34095.6,11135.599999999999,
Low,France,22610,32558.4,9948.400000000001,
Low,France,8013,31731.48,23718.48,
Low,France,19725,27338.850000000002,7613.850000000002,
Low,France,13755,27234.899999999998,13479.899999999998,
Low,France,3165,24813.6,18483.6,
Low,France,5355,20991.6,15636.599999999999,
Low,France,9410,18443.6,9033.599999999999,
Low,France,10725,14714.7,3989.7000000000007,
Low,France,2598,9976.32,7378.32,
Low,France,5150,7137.9,1987.8999999999996,
Low,France,3210,4766.85,1556.8500000000004,
Low,France,3195,4428.27,1233.2700000000004,
Low,France,2720,3693.76,973.7600000000002,
Low,Germany,1315,1822.59,507.5899999999999,
Low,Germany,771160,2034676,492356,"492356,0,492356"
Low,Germany,748020,1973622,477582,"477582,492356,969938"
Low,Germany,505250,1164096,153596,"153596,2147089,2300685"
Low,Germany,495820,640752,144932,"144932,3837229.5,3982161.5"
Low,Germany,467220,610081.5,142861.5,"142861.5,4123901.5,4266763"
Low,Germany,464750,535392,70642,"70642,4609264,4679906"
Low,Germany,432000,508032,76032,"76032,4695935.375,4771967.375"
Low,Germany,204720,413705,4265,"4265,4881654.875,4885919.875"
Low,Germany,353625,407376,53751,"53751,4885919.875,4939670.875"
Low,Germany,172250,400998,56498,"56498,4939670.875,4996168.875"
Low,Germany,188400,380725,3925,"3925,4996168.875,5000093.875"
Low,Germany,246500,292842,46342,"46342,5179804.125,5226146.125"
Low,Germany,273120,278810,5690,"5690,5226146.125,5231836.125"
Low,Germany,97080,198205,4045,"4045,5291971.875,5296016.875"
Low,Germany,53500,125832,18832,
Low,Germany,95400,95400,0,
Low,Germany,64750,76146,11396,
Low,Germany,19450,56599.5,17699.5,
Low,Germany,25800,50052,24252,
Low,Germany,7437,28855.56,21418.56,
Low,Germany,2298,18200.16,13604.16,
Low,Germany,9790,13294.82,3504.8199999999997,
Low,Germany,7470,11092.95,3622.9500000000007,
Low,Mexico,15140,43603.2,13323.199999999997,
Low,Mexico,363220,968121,241681,"241681,2731493,2973174"
Low,Mexico,504400,665420,161020,"161020,3676209.5,3837229.5"
Low,Mexico,484900,626640,141740,"141740,3982161.5,4123901.5"
Low,Mexico,426920,557459,130539,"130539,4401891,4532430"
Low,Mexico,257400,525525,10725,"10725,4679906,4690631"
Low,Mexico,314600,419265,104665,"104665,4776989.875,4881654.875"
Low,Mexico,275250,323694,48444,"48444,5081706.625,5130150.625"
Low,Mexico,123500,293436,46436,"46436,5133368.125,5179804.125"
Low,Mexico,136560,273120,0,"0,5231836.125,5231836.125"
Low,Mexico,218760,225596.25,6836.25,"6836.25,5272228.125,5279064.375"
Low,Mexico,199200,203350,4150,"4150,5287821.875,5291971.875"
Low,Mexico,79440,162190,3310,
Low,Mexico,128880,128880,0,
Low,Mexico,20310,58492.8,17872.800000000003,
Low,Mexico,22140,32877.9,10737.900000000001,
Low,Mexico,3252,25495.68,18991.68,
Low,Mexico,5748,22302.24,16554.24,
Low,Mexico,8800,11950.4,3150.3999999999996,
Low,Mexico,5440,10662.4,5222.4,
Low,Mexico,2070,8114.4,6044.4,
Low,Mexico,1810,2508.66,698.6599999999999,
Medium,United States of America,343000,765576,79576,"79576,1826918.5,1906494.5"
Medium,United States of America,538460,659613.5,121153.5,"121153.5,2403294.5,2524448"
Medium,United States of America,335640,636317.5,-34962.5,"-34962.5,2524448,2489485.5"
Medium,United States of America,457860,573205.5,115345.5,"115345.5,2595293.5,2710639"
Medium,United States of America,247750,564870,69370,"69370,2710639,2780009"
Medium,United States of America,466750,509691,42941,"42941,2993321,3036262"
Medium,United States of America,189020,478366,100326,"100326,3137002,3237328"
Medium,United States of America,435240,430706.25,-4533.75,"-4533.75,3629905.25,3625371.5"
Medium,United States of America,351390,430452.75,79062.75,"79062.75,3625371.5,3704434.25"
Medium,United States of America,156520,400330,87290,"87290,3767720,3855010"
Medium,United States of America,359040,355300,-3740,"-3740,3926178,3922438"
Medium,United States of America,330600,323712.5,-6887.5,"-6887.5,3988816,3981928.5"
Medium,United States of America,202000,223008,21008,
Medium,United States of America,103320,204487.5,-2152.5,
Medium,United States of America,26630,101194,47934,
Medium,United States of America,28320,53808,25488,
Medium,United States of America,36750,50163.75,13413.75,
Medium,United States of America,12820,47177.6,21537.6,
Medium,United States of America,29310,40887.45,11577.449999999997,
Medium,United States of America,14535,37442.16,8372.160000000003,
Medium,United States of America,11530,32514.6,9454.599999999999,
Medium,United States of America,21980,30991.8,9011.8,
Medium,United States of America,8169,30715.44,22546.44,
Medium,United States of America,20300,28623,8323,
Medium,United States of America,14210,26430.6,12220.599999999999,
Medium,United States of America,12650,24035,11385,
Medium,United States of America,5868,21359.52,15491.52,
Medium,United States of America,11175,21009,9834,
Medium,United States of America,9730,17708.6,7978.5999999999985,
Medium,United States of America,11635,15474.55,3839.5499999999993,
Medium,United States of America,4365,8031.599999999999,3666.5999999999995,
Medium,United States of America,5550,7908.75,2358.75,
Medium,United States of America,2850,7581,1881,
Medium,United States of America,3390,4366.32,976.3199999999997,
Medium,United States of America,2735,3560.9700000000003,825.9700000000003,
Medium,United States of America,1315,1730.54,415.53999999999996,
Medium,Canada,950625,1038082.5,87457.5,"87457.5,540906,628363.5"
Medium,Canada,948375,1035625.5,87250.5,"87250.5,628363.5,715614"
Medium,Canada,319280,816620,178060,"178060,1279328,1457388"
Medium,Canada,329940,808353,148473,"148473,1457388,1605861"
Medium,Canada,609000,686952,77952,"77952,2325342.5,2403294.5"
Medium,Canada,273500,597324,50324,"50324,2489485.5,2539809.5"
Medium,Canada,533500,588984,55484,"55484,2539809.5,2595293.5"
Medium,Canada,425500,474858,49358,"49358,3237328,3286686"
Medium,Canada,351000,391716,40716,"40716,3855010,3895726"
Medium,Canada,320750,354108,33358,"33358,3922438,3955796"
Medium,Canada,197400,191231.25,-6168.75,
Medium,Canada,143520,183540,40020,
Medium,Canada,114240,111860,-2380,
Medium,Canada,28440,80200.8,23320.800000000003,
Medium,Canada,68040,64496.25,-3543.75,
Medium,Canada,7293,55426.8,40840.8,
Medium,Canada,13890,52782,25002,
Medium,Canada,6897,51865.44,38071.44,
Medium,Canada,9733.5,36208.62,26475.120000000003,
Medium,Canada,18020,34238,16218,
Medium,Canada,7080,26054.4,11894.400000000001,
Medium,Canada,6963,25345.32,18382.32,
Medium,Canada,16305,22256.324999999997,5951.324999999999,
Medium,Canada,5652,21025.44,15373.439999999999,
Medium,Canada,11180,20794.8,9614.8,
Medium,Canada,7910,20597.64,4777.639999999999,
Medium,Canada,12620,17604.9,4984.9000000000015,
Medium,Canada,11745,15620.85,3875.8500000000004,
Medium,Canada,5675,14777.7,3427.7000000000007,
Medium,Canada,8055,10262.07,2207.0699999999997,
Medium,Canada,1794,6601.92,4807.92,
Medium,Canada,4095,5217.03,1122.03,
Medium,Canada,2440,3142.7200000000003,702.7200000000003,
Medium,Canada,1285,1655.08,370.0799999999999,
Medium,France,539760,1366008,286488,"286488,0,286488"
Medium,France,545250,1216998,126498,"126498,414408,540906"
Medium,France,388960,984368,206448,"206448,715614,922062"
Medium,France,747760,936138,188378,"188378,922062,1110440"
Medium,France,305250,688644,78144,"78144,2247198.5,2325342.5"
Medium,France,433160,530621,97461,"97461,2895860,2993321"
Medium,France,414750,462861,48111,"48111,3286686,3334797"
Medium,France,359970,460346.25,100376.25,"100376.25,3334797,3435173.25"
Medium,France,390500,431112,40612,"40612,3589293.25,3629905.25"
Medium,France,331000,361452,30452,"30452,3895726,3926178"
Medium,France,286200,283218.75,-2981.25,
Medium,France,239750,267561,27811,
Medium,France,112000,249984,25984,
Medium,France,238500,233531.25,-4968.75,
Medium,France,222840,211233.75,-11606.25,
Medium,France,149370,184989,35619,
Medium,France,84480,167200,-1760,
Medium,France,99060,122682,23622,
Medium,France,96500,106536,10036,
Medium,France,80500,87906,7406,
Medium,France,19760,73507.2,33987.2,
Medium,France,17570,66063.2,30923.199999999997,
Medium,France,38010,53594.100000000006,15584.100000000002,
Medium,France,26820,48812.4,21992.4,
Medium,France,26200,37335,11135,
Medium,France,25010,34513.8,9503.800000000003,
Medium,France,12270,33497.1,8957.099999999999,
Medium,France,12435,33077.1,8207.099999999999,
Medium,France,15790,30001,14211,
Medium,France,15630,29697,14067,
Medium,France,21010,29308.95,8298.95,
Medium,France,15350,28551,13201,
Medium,France,7026,26136.72,19110.72,
Medium,France,13030,24757,11727,
Medium,France,6702,24395.28,17693.28,
Medium,France,5901,21479.64,15578.64,
Medium,France,5595,21261,15666,
Medium,France,10330,19627,9297,
Medium,France,5215.5,19401.66,14186.16,
Medium,France,7015,18463.48,4433.48,
Medium,France,10680,14204.4,3524.3999999999996,
Medium,France,4900,6762,1862,
Medium,France,5155,6711.81,1556.8100000000004,
Medium,France,918,3341.52,2423.52,
Medium,Germany,17430,24576.3,7146.299999999999,
Medium,Germany,351000,448875,97875,"97875,3491418.25,3589293.25"
Medium,Germany,6630,12066.6,5436.6,
Medium,Germany,7026,26698.8,19672.8,
Medium,Germany,664750,725907,61157,"61157,1906494.5,1967651.5"
Medium,Germany,312500,712500,87500,"87500,1967651.5,2055151.5"
Medium,Germany,557960,691012,133052,"133052,2114146.5,2247198.5"
Medium,Germany,379600,480340,100740,"100740,3036262,3137002"
Medium,Germany,339820,416279.5,76459.5,"76459.5,3704434.25,3780893.75"
Medium,Germany,421560,408386.25,-13173.75,"-13173.75,3780893.75,3767720"
Medium,Germany,280750,313317,32567,"32567,4088048.5,4120615.5"
Medium,Germany,300000,290625,-9375,
Medium,Germany,250440,242613.75,-7826.25,
Medium,Germany,109720,135884,26164,
Medium,Germany,119280,115552.5,-3727.5,
Medium,Germany,106440,104222.5,-2217.5,
Medium,Germany,96840,95831.25,-1008.75,
Medium,Germany,83500,91182,7682,
Medium,Germany,13660,50268.8,22948.800000000003,
Medium,Germany,22970,43643,20673,
Medium,Germany,19340,35585.6,16245.599999999999,
Medium,Germany,21160,30153,8993,
Medium,Germany,11690,30113.44,6733.439999999999,
Medium,Germany,15200,27968,12768,
Medium,Germany,6645,24719.4,18074.4,
Medium,Germany,15300,21573,6273,
Medium,Germany,7110,19623.6,5403.5999999999985,
Medium,Germany,5325,19383,14058,
Medium,Germany,10010,18818.8,8808.8,
Medium,Germany,4740,17253.6,12513.599999999999,
Medium,Germany,12045,15513.96,3468.959999999999,
Medium,Germany,5795,15414.7,3824.7000000000007,
Medium,Germany,10625,13833.75,3208.75,
Medium,Germany,9700,13240.5,3540.5,
Medium,Germany,3348,12722.4,9374.4,
Medium,Germany,6450,11868,5418,
Medium,Germany,5880,10936.8,5056.799999999999,
Medium,Germany,7990,10291.12,2301.120000000001,
Medium,Germany,2640,9609.6,6969.6,
Medium,Germany,6860,9123.8,2263.7999999999993,
Medium,Germany,6295,8107.96,1812.96,
Medium,Germany,5475,7051.8,1576.8000000000002,
Medium,Germany,5080,6756.4,1676.3999999999996,
Medium,Germany,1800,4586.4,986.3999999999996,
Medium,Mexico,615000,1357920,127920,"127920,286488,414408"
Medium,Mexico,9730,12532.24,2802.24,
Medium,Mexico,1101,8015.28,5813.28,
Medium,Mexico,354120,877128,168888,"168888,1110440,1279328"
Medium,Mexico,628420,769814.5,141394.5,"141394.5,1605861,1747255.5"
Medium,Mexico,686750,766413,79663,"79663,1747255.5,1826918.5"
Medium,Mexico,641250,700245,58995,"58995,2055151.5,2114146.5"
Medium,Mexico,436540,552391,115851,"115851,2780009,2895860"
Medium,Mexico,401750,457995,56245,"56245,3435173.25,3491418.25"
Medium,Mexico,158750,350520,33020,"33020,3955796,3988816"
Medium,Mexico,254800,322420,67620,"67620,3981928.5,4049548.5"
Medium,Mexico,275000,313500,38500,"38500,4049548.5,4088048.5"
Medium,Mexico,253200,240012.5,-13187.5,
Medium,Mexico,187200,239400,52200,
Medium,Mexico,184800,177100,-7700,
Medium,Mexico,133680,128110,-5570,
Medium,Mexico,105240,99758.75,-5481.25,
Medium,Mexico,29930,55071.2,25141.199999999997,
Medium,Mexico,28610,40769.25,12159.25,
Medium,Mexico,27910,39771.75,11861.75,
Medium,Mexico,10380,37783.2,17023.199999999997,
Medium,Mexico,26280,35872.2,9592.199999999997,
Medium,Mexico,13445,35763.7,8873.699999999997,
Medium,Mexico,18340,34112.4,15772.400000000001,
Medium,Mexico,8289,30835.08,22546.08,
Medium,Mexico,16940,30830.8,13890.8,
Medium,Mexico,7020,26114.4,19094.4,
Medium,Mexico,11230,21112.4,9882.400000000001,
Medium,Mexico,7490,19713.68,4733.68,
Medium,Mexico,4125,15180,11055,
Medium,Mexico,3369,12802.2,9433.2,
Medium,Mexico,6090,11327.4,5237.4,
Medium,Mexico,8415,11191.95,2776.9500000000007,
Medium,Mexico,6665,8771.14,2106.1399999999994,
Medium,Mexico,2181,8113.32,5932.32,
Medium,Mexico,2605,6637.54,1427.54,
Medium,Mexico,1686,6339.36,4653.36,
Medium,Mexico,2450,3344.25,894.25,
None,United States of America,338520,352625,14105,"14105,1222297.5,1236402.5"
None,United States of America,6423,25692,19269,"19269,1649820,1669089"
None,United States of America,5859,23436,17577,"17577,1669089,1686666"
None,United States of America,6150,18450,6150,"6150,1686666,1692816"
None,United States of America,5715,16002,4572,"4572,1692816,1697388"
None,United States of America,2736,10944,8208,"8208,1714527,1722735"
None,Canada,448500,603750,155250,"155250,808470,963720"
None,Canada,500250,600300,100050,"100050,963720,1063770"
None,Canada,319860,333187.5,13327.5,"13327.5,1236402.5,1249730"
None,Canada,41400,86250,3450,"3450,1346050,1349500"
None,Canada,18170,72680,36340,"36340,1412180,1448520"
None,Canada,7554,60432,45324,"45324,1470300,1515624"
None,Canada,16185,32370,16185,"16185,1581336,1597521"
None,Canada,21520,32280,10760,"10760,1597521,1608281"
None,Canada,2920,5840,2920,"2920,1730232,1733152"
None,France,216480,225500,9020,"9020,1337030,1346050"
None,France,715000,962500,247500,"247500,272340,519840"
None,France,537750,645300,107550,"107550,700920,808470"
None,France,397020,534450,137430,"137430,1063770,1201200"
None,France,18990,75960,37980,"37980,1349500,1387480"
None,France,21780,65340,21780,"21780,1448520,1470300"
None,France,5490,8235,2745,"2745,1725721,1728466"
None,Germany,393380,1059100,272340,"272340,0,272340"
None,Germany,261560,704200,181080,"181080,519840,700920"
None,Germany,506340,527437.5,21097.5,"21097.5,1201200,1222297.5"
None,Germany,4635,37080,27810,"27810,1515624,1543434"
None,Germany,8514,34056,25542,"25542,1555794,1581336"
None,Germany,8880,26640,8880,"8880,1608281,1617161"
None,Germany,13210,26420,13210,"13210,1617161,1630371"
None,Germany,6483,25932,19449,"19449,1630371,1649820"
None,Germany,10730,15022,4292,"4292,1697388,1701680"
None,Germany,9210,13815,4605,"4605,1706550,1711155"
None,Germany,8430,11802,3372,"3372,1711155,1714527"
None,Germany,1101,4404,3303,"3303,1733152,1736455"
None,Mexico,24700,74100,24700,"24700,1387480,1412180"
None,Mexico,239500,287400,47900,"47900,1249730,1297630"
None,Mexico,197000,236400,39400,"39400,1297630,1337030"
