financials.Discount Band,financials.Segment,financials.Country,Sum(financials. Sales),Sum(financials.COGS),Sum(financials.Profit),
Medium,Midmarket,Germany,109166.40000000001,77810,31356.399999999998,"109166.40000000001,506162.325,615328.725"
Medium,Midmarket,Mexico,119757.45,85250,34507.45,"119757.45,615328.725,735086.1749999999"
Medium,Small Business,United States of America,2063145,1850250,212895,"2063145,12987297,15050442"
Medium,Small Business,Canada,5167650,4685750,481900,"5167650,0,5167650"
Medium,Small Business,France,3873054,3478000,395054,"3873054,9114243,12987297"
Medium,Small Business,Germany,1842906,1654000,188906,"1842906,15050442,16893348"
Medium,Small Business,Mexico,3946593,3552250,394343,"3946593,5167650,9114243"
None,Channel Partners,United States of America,60072,15018,45054,"60072,0,60072"
None,Channel Partners,Canada,60432,15108,45324,"60432,60072,120504"
None,Channel Partners,Germany,101472,25368,76104,"101472,120504,221976"
None,Enterprise,United States of America,352625,338520,14105,"352625,946875,1299500"
None,Enterprise,Canada,419437.5,402660,16777.5,"419437.5,527437.5,946875"
None,Enterprise,France,225500,216480,9020,"225500,1299500,1525000"
None,Enterprise,Germany,527437.5,506340,21097.5,"527437.5,0,527437.5"
None,Government,United States of America,16002,11430,4572,"16002,4120726,4136728"
None,Government,Canada,714640,503945,210695,"714640,3389454,4104094"
None,Government,France,1572910,1150000,422910,"1572910,1816544,3389454"
None,Government,Germany,1816544,1342250,474294,"1816544,0,1816544"
None,Government,Mexico,16632,11880,4752,"16632,4104094,4120726"
None,Midmarket,United States of America,18450,12300,6150,"18450,0,18450"
None,Midmarket,Canada,32280,21520,10760,"32280,18450,50730"
None,Midmarket,France,73575,49050,24525,"73575,50730,124305"
None,Midmarket,Germany,40455,26970,13485,"40455,124305,164760"
None,Midmarket,Mexico,125790,83860,41930,"125790,164760,290550"
None,Small Business,Canada,600300,500250,100050,"600300,645300,1245600"
None,Small Business,France,645300,537750,107550,"645300,0,645300"
None,Small Business,Mexico,523800,436500,87300,"523800,1245600,1769400"
