Orders.City,Orders.Segment,Sum(Orders.Sales),
Charlotte,Corporate,3385.8280000000004,NaN
Charlotte,Home Office,2270.7720000000004,NaN
Charlottesville,Consumer,34.650000000000006,NaN
Charlottesville,Home Office,67.96,NaN
Chattanooga,Consumer,757.0039999999999,NaN
Chattanooga,Corporate,140.324,NaN
Chattanooga,Home Office,91.475,NaN
Chesapeake,Consumer,4409.599999999999,NaN
Chesapeake,Corporate,447.2,NaN
Chesapeake,Home Office,1139.92,NaN
Chester,Consumer,1106.7699999999998,NaN
Chester,Corporate,199.491,NaN
Chester,Home Office,662.2180000000001,NaN
Cheyenne,Home Office,1603.1360000000002,NaN
Chicago,Consumer,25133.803,NaN
Chicago,Corporate,11251.219000000003,NaN
Chicago,Home Office,12154.518999999998,NaN
Chico,Consumer,54.17,NaN
Chico,Corporate,753.1120000000001,NaN
Chico,Home Office,1242.8960000000002,NaN
Chula Vista,Consumer,375.74,NaN
Chula Vista,Home Office,665.88,NaN
Cincinnati,Consumer,627.8120000000001,NaN
Cincinnati,Corporate,984.164,NaN
Citrus Heights,Consumer,129.39000000000001,NaN
Clarksville,Consumer,1704.2340000000002,NaN
Clarksville,Home Office,513.4960000000001,NaN
Cleveland,Consumer,4302.784999999999,NaN
Cleveland,Corporate,144.904,NaN
Cleveland,Home Office,1898.4960000000005,NaN
Clifton,Consumer,336.82,NaN
Clinton,Consumer,1730.681,NaN
Clinton,Corporate,3329.65,NaN
Clinton,Home Office,453.91999999999996,NaN
Clovis,Consumer,111.42,NaN
Coachella,Corporate,163.55,NaN
College Station,Consumer,291.04200000000003,NaN
Colorado Springs,Consumer,1345.4640000000002,NaN
Colorado Springs,Corporate,963.4900000000002,NaN
Colorado Springs,Home Office,1385.0549999999998,NaN
Columbia,Consumer,13068.073999999997,NaN
Columbia,Corporate,9351.726,NaN
Columbia,Home Office,2863.5240000000003,NaN
Columbus,Consumer,20142.365999999998,NaN
Columbus,Corporate,12868.788,NaN
Columbus,Home Office,5695.089000000001,NaN
Commerce City,Consumer,146.352,NaN
Concord,Consumer,5790.868,NaN
Concord,Corporate,2169.972,NaN
Concord,Home Office,2581.562,NaN
Conroe,Corporate,111.67200000000001,NaN
Conway,Consumer,301.96,NaN
Coon Rapids,Consumer,503.13,NaN
Coppell,Consumer,40.096000000000004,NaN
Coppell,Corporate,95.84,NaN
Coral Gables,Corporate,64.24799999999999,NaN
Coral Springs,Consumer,706.096,NaN
Coral Springs,Corporate,118.896,NaN
Corpus Christi,Corporate,146.192,NaN
Corpus Christi,Home Office,74.352,NaN
Costa Mesa,Consumer,1219.96,NaN
Costa Mesa,Home Office,277.71,NaN
Cottage Grove,Consumer,144.35999999999999,NaN
Covington,Corporate,46.900000000000006,NaN
Covington,Home Office,366.78,NaN
Cranston,Consumer,2219.436,NaN
Cranston,Corporate,1212.74,NaN
Cranston,Home Office,592.74,NaN
Cuyahoga Falls,Consumer,20.742000000000004,NaN
Cuyahoga Falls,Corporate,8.352,NaN
Dallas,Consumer,8464.617999999999,NaN
Dallas,Corporate,7714.713200000001,NaN
Dallas,Home Office,3952.6009999999997,NaN
Danbury,Home Office,27.46,NaN
Danville,Home Office,1202.2540000000001,NaN
Davis,Consumer,32.400000000000006,NaN
Daytona Beach,Consumer,272.3315,NaN
Dearborn,Corporate,1603.31,NaN
Dearborn Heights,Consumer,1051.57,NaN
Decatur,Consumer,2876.709,NaN
Decatur,Corporate,3667.5840000000003,NaN
Deer Park,Corporate,6.923999999999998,NaN
Delray Beach,Consumer,9.912,NaN
Delray Beach,Corporate,232.62400000000002,NaN
Deltona,Consumer,294.28000000000003,NaN
Deltona,Corporate,581.1039999999999,NaN
Deltona,Home Office,17.856,NaN
Denver,Consumer,6265.901000000002,NaN
Denver,Corporate,5839.5960000000005,NaN
Denver,Home Office,93.296,NaN
Des Moines,Consumer,4525.57,NaN
Des Moines,Corporate,785.62,NaN
Des Moines,Home Office,152.08800000000002,NaN
Des Plaines,Consumer,1493.212,NaN
Detroit,Consumer,23191.460000000003,NaN
Detroit,Corporate,15894.894,NaN
Detroit,Home Office,3360.59,NaN
Dover,Consumer,925.62,NaN
Dover,Corporate,619.48,NaN
Dover,Home Office,3332.974,NaN
Draper,Consumer,151.72,NaN
Draper,Corporate,111.93,NaN
Dublin,Consumer,1343.7139999999997,NaN
Dublin,Corporate,1057.446,NaN
Dubuque,Consumer,263.96,NaN
Dubuque,Home Office,1423.34,NaN
Durham,Consumer,440.144,NaN
Durham,Corporate,372.05600000000004,NaN
Durham,Home Office,67.75999999999999,NaN
Eagan,Consumer,75.9,NaN
Eagan,Corporate,63.44,NaN
Eagan,Home Office,74.94,NaN
East Orange,Consumer,377.27,NaN
East Point,Corporate,268.4,NaN
Eau Claire,Consumer,1521.4099999999999,NaN
Eau Claire,Corporate,32.56,NaN
Eau Claire,Home Office,91.67999999999999,NaN
Edinburg,Consumer,88.276,NaN
Edmond,Consumer,959.5500000000001,NaN
Edmonds,Consumer,2343.7219999999998,NaN
Edmonds,Corporate,179.97,NaN
El Cajon,Corporate,387.136,NaN
El Cajon,Home Office,478.48,NaN
El Paso,Consumer,3389.156,NaN
El Paso,Corporate,145.544,NaN
El Paso,Home Office,11.364,NaN
Elkhart,Consumer,171.43,NaN
Elmhurst,Home Office,891.6279999999999,NaN
Elyria,Corporate,1.8240000000000003,NaN
Encinitas,Consumer,591.9810000000001,NaN
Englewood,Consumer,124.056,NaN
Escondido,Consumer,53.94,NaN
Escondido,Corporate,17.248,NaN
Escondido,Home Office,23.36,NaN
Eugene,Corporate,1465.032,NaN
Evanston,Consumer,1753.799,NaN
Everett,Consumer,3358.1199999999994,NaN
Everett,Corporate,3.8560000000000003,NaN
Everett,Home Office,2303.758,NaN
Fairfield,Consumer,4685.749999999999,NaN
Fairfield,Corporate,3881.5179999999996,NaN
Fairfield,Home Office,916.5900000000001,NaN
Fargo,Consumer,891.53,NaN
Fargo,Home Office,28.38,NaN
Farmington,Consumer,558.73,NaN
Farmington,Corporate,159.99,NaN
Fayetteville,Consumer,6339.772000000001,NaN
Fayetteville,Corporate,538.154,NaN
Fayetteville,Home Office,48,NaN
Florence,Consumer,6732.25,NaN
Florence,Corporate,866.49,NaN
Florence,Home Office,22.98,NaN
Fort Collins,Consumer,822.5720000000001,NaN
Fort Collins,Home Office,112.68,NaN
Fort Lauderdale,Consumer,2178.5165,NaN
Fort Lauderdale,Corporate,1677.7999999999997,NaN
Fort Lauderdale,Home Office,1073.216,NaN
Fort Worth,Consumer,2712.2499999999995,NaN
Fort Worth,Corporate,1739.9904000000001,NaN
Fort Worth,Home Office,2150.466,NaN
Frankfort,Consumer,97.632,NaN
Franklin,Consumer,2274.619,NaN
Franklin,Corporate,6601.71,NaN
Franklin,Home Office,2380.708,NaN
Freeport,Consumer,693.902,NaN
Freeport,Corporate,45.248000000000005,NaN
Fremont,Consumer,138.75,NaN
Fremont,Corporate,964.34,NaN
Fremont,Home Office,15.92,NaN
Fresno,Consumer,6804.2925,NaN
Fresno,Corporate,794.9900000000001,NaN
Fresno,Home Office,289.246,NaN
Frisco,Consumer,30.336000000000006,NaN
Frisco,Home Office,27.168000000000003,NaN
Gaithersburg,Corporate,405.91999999999996,NaN
Garden City,Consumer,21.11,NaN
Garden City,Corporate,291.27000000000004,NaN
Garland,Consumer,28.776,NaN
Garland,Home Office,38.928,NaN
Gastonia,Home Office,895.0600000000001,NaN
Georgetown,Consumer,1786.4200000000003,NaN
Gilbert,Consumer,496.896,NaN
Gilbert,Corporate,2792.496,NaN
Gilbert,Home Office,882.99,NaN
Gladstone,Consumer,164.34,NaN
Glendale,Consumer,1426.537,NaN
Glendale,Corporate,426.22400000000005,NaN
Glendale,Home Office,1065.104,NaN
Glenview,Consumer,158.376,NaN
Goldsboro,Consumer,34.944,NaN
Grand Island,Consumer,15.96,NaN
Grand Prairie,Consumer,893.486,NaN
Grand Prairie,Corporate,95.32000000000001,NaN
Grand Prairie,Home Office,23.680000000000003,NaN
Grand Rapids,Consumer,272.14,NaN
Grand Rapids,Corporate,234.54999999999998,NaN
Grand Rapids,Home Office,19.44,NaN
Grapevine,Corporate,41.528000000000006,NaN
Great Falls,Consumer,410.104,NaN
Great Falls,Home Office,4195.476,NaN
Greeley,Consumer,30.352,NaN
Green Bay,Consumer,468.90000000000003,NaN
Green Bay,Corporate,58.42,NaN
Greensboro,Consumer,278.94100000000003,NaN
Greensboro,Corporate,2127.839,NaN
Greenville,Consumer,2062.95,NaN
Greenville,Corporate,17.616000000000003,NaN
Greenville,Home Office,37.264,NaN
Greenwood,Consumer,1424.9,NaN
Greenwood,Home Office,240.14999999999998,NaN
Gresham,Consumer,1730.256,NaN
Gresham,Corporate,403.168,NaN
Grove City,Consumer,123.58799999999998,NaN
Gulfport,Consumer,48.69,NaN
Gulfport,Corporate,117.81,NaN
Hackensack,Corporate,1456.16,NaN
Hagerstown,Consumer,43.8,NaN
Haltom City,Corporate,269.32800000000003,NaN
Hamilton,Consumer,328.22400000000005,NaN
Hampton,Consumer,1191.8100000000002,NaN
Hampton,Corporate,1417.35,NaN
Hampton,Home Office,113.10000000000001,NaN
Harlingen,Consumer,471.404,NaN
Harrisonburg,Consumer,1464.3799999999999,NaN
Harrisonburg,Home Office,2924.33,NaN
Hattiesburg,Consumer,1483.1399999999999,NaN
Hattiesburg,Corporate,239.70000000000002,NaN
Helena,Corporate,39.900000000000006,NaN
Helena,Home Office,403.94000000000005,NaN
Hempstead,Consumer,910.5260000000001,NaN
Hempstead,Corporate,1679.06,NaN
Henderson,Consumer,5548.77,NaN
Henderson,Corporate,6775.548,NaN
Henderson,Home Office,5224.749999999999,NaN
Hendersonville,Consumer,303.32000000000005,NaN
Hendersonville,Home Office,16.218000000000004,NaN
Hesperia,Corporate,1213.1715,NaN
Hialeah,Consumer,259.20500000000004,NaN
Hialeah,Corporate,1061.4,NaN
Hialeah,Home Office,1018.344,NaN
Hickory,Consumer,40.764,NaN
Highland Park,Consumer,1454.838,NaN
Highland Park,Corporate,577.1220000000001,NaN
Highland Park,Home Office,3.1359999999999992,NaN
Hillsboro,Consumer,64.072,NaN
Hillsboro,Corporate,23.766000000000002,NaN
Holland,Consumer,7.5,NaN
Holland,Home Office,130.36,NaN
Hollywood,Consumer,650.208,NaN
Hollywood,Corporate,9.216,NaN
Hollywood,Home Office,411.05,NaN
Holyoke,Home Office,301.96,NaN
Homestead,Consumer,132.55200000000002,NaN
Hoover,Corporate,525.85,NaN
Hot Springs,Consumer,29.99,NaN
Hot Springs,Home Office,215.83999999999997,NaN
Houston,Consumer,34046.06459999999,NaN
Houston,Corporate,21983.166800000003,NaN
Houston,Home Office,8475.529,NaN
Huntington Beach,Consumer,95.92,NaN
Huntington Beach,Corporate,2419.12,NaN
Huntington Beach,Home Office,12.78,NaN
Huntsville,Consumer,2442.332,NaN
Huntsville,Corporate,5791.0308,NaN
Huntsville,Home Office,961.624,NaN
Independence,Consumer,839.4300000000001,NaN
Independence,Home Office,1577.94,NaN
Indianapolis,Consumer,1717.9400000000003,NaN
Indianapolis,Corporate,5948.67,NaN
Indianapolis,Home Office,1639.8100000000002,NaN
Inglewood,Consumer,492.736,NaN
Inglewood,Corporate,2986.5920000000006,NaN
Iowa City,Corporate,9.99,NaN
Irving,Consumer,589.5640000000001,NaN
Irving,Corporate,15.936000000000002,NaN
Jackson,Consumer,12966.708999999999,NaN
Jackson,Corporate,4334.436000000001,NaN
Jackson,Home Office,7662.713000000001,NaN
Jacksonville,Consumer,12350.130999999998,NaN
Jacksonville,Corporate,5904.048,NaN
Jacksonville,Home Office,26459.004,NaN
Jamestown,Consumer,4548.81,NaN
Jamestown,Corporate,159.98,NaN
Jefferson City,Home Office,86.62,NaN
Johnson City,Consumer,765.8480000000002,NaN
Jonesboro,Consumer,2797.7000000000003,NaN
Jonesboro,Home Office,117.62,NaN
Jupiter,Consumer,2.064,NaN
Keller,Consumer,6,NaN
Kenner,Consumer,89.32000000000001,NaN
Kenosha,Consumer,2531.8799999999997,NaN
Kenosha,Corporate,974.9000000000001,NaN
Kenosha,Home Office,399.95,NaN
Kent,Consumer,1593.5880000000002,NaN
Kent,Corporate,103.96799999999999,NaN
Kirkwood,Consumer,241.34,NaN
Kissimmee,Consumer,751.984,NaN
Knoxville,Consumer,712.336,NaN
Knoxville,Corporate,773.55,NaN
Knoxville,Home Office,2442.28,NaN
La Crosse,Consumer,56.82000000000001,NaN
La Crosse,Corporate,773.5899999999999,NaN
La Mesa,Home Office,367.53,NaN
La Porte,Consumer,668.5920000000001,NaN
La Porte,Corporate,383.14,NaN
La Quinta,Corporate,46.32,NaN
Lafayette,Consumer,5786.68,NaN
Lafayette,Corporate,18723.069999999992,NaN
Lafayette,Home Office,526.45,NaN
Laguna Niguel,Corporate,74.04,NaN
Laguna Niguel,Home Office,216.94299999999998,NaN
Lake Charles,Consumer,69.9,NaN
Lake Charles,Home Office,477.51,NaN
Lake Elsinore,Consumer,283.92,NaN
Lake Forest,Consumer,597.8599999999999,NaN
Lake Forest,Home Office,1027.6760000000002,NaN
Lakeland,Consumer,558.4399999999999,NaN
Lakeland,Corporate,4318.798500000001,NaN
Lakeland,Home Office,729.6480000000001,NaN
Lakeville,Consumer,359.44,NaN
Lakeville,Home Office,3901.51,NaN
Lakewood,Consumer,4038.809,NaN
Lakewood,Corporate,11858.721999999998,NaN
Lakewood,Home Office,2294.516,NaN
Lancaster,Consumer,7370.812000000002,NaN
Lancaster,Corporate,775.4010000000001,NaN
Lancaster,Home Office,1745.251,NaN
Lansing,Consumer,1340.6060000000002,NaN
Lansing,Home Office,269.68,NaN
Laredo,Consumer,414.726,NaN
Laredo,Corporate,609.6140000000001,NaN
Las Cruces,Consumer,90.49,NaN
Las Cruces,Home Office,8.28,NaN
Las Vegas,Consumer,1596.8680000000004,NaN
Las Vegas,Corporate,161.36,NaN
Las Vegas,Home Office,75.792,NaN
Laurel,Corporate,152.59,NaN
Lawrence,Consumer,3235.98,NaN
Lawrence,Corporate,1656.0600000000002,NaN
Lawrence,Home Office,2762.152,NaN
Lawton,Consumer,1057.49,NaN
Layton,Consumer,4.96,NaN
League City,Consumer,321.202,NaN
League City,Home Office,554.1659999999999,NaN
Lebanon,Consumer,248.92000000000002,NaN
Lebanon,Home Office,239.976,NaN
Lehi,Corporate,16.776000000000003,NaN
Lehi,Home Office,1499.95,NaN
Leominster,Consumer,25.869999999999997,NaN
Leominster,Corporate,191.62,NaN
Lewiston,Consumer,9.584000000000001,NaN
Lewiston,Home Office,106.08000000000001,NaN
Lincoln Park,Corporate,387.602,NaN
Linden,Corporate,115.36,NaN
Lindenhurst,Corporate,55.48,NaN
Little Rock,Consumer,1922.69,NaN
Little Rock,Corporate,1637.6600000000003,NaN
Littleton,Consumer,72.29400000000001,NaN
Lodi,Consumer,97.3,NaN
Lodi,Corporate,39.68,NaN
Logan,Consumer,280.27600000000007,NaN
Long Beach,Consumer,8121.857999999997,NaN
Long Beach,Corporate,3155.92,NaN
Long Beach,Home Office,2177.2520000000004,NaN
Longmont,Consumer,749.488,NaN
Longmont,Corporate,165.60000000000002,NaN
Longview,Consumer,119.21000000000001,NaN
Lorain,Consumer,48.896,NaN
Lorain,Corporate,1824.309,NaN
Lorain,Home Office,141.906,NaN
Los Angeles,Consumer,89676.64050000001,NaN
Los Angeles,Corporate,46786.238499999985,NaN
Los Angeles,Home Office,39388.46199999999,NaN
Louisville,Consumer,7182.0109999999995,NaN
Louisville,Corporate,981.768,NaN
Louisville,Home Office,4182.027,NaN
Loveland,Consumer,3.024,NaN
Loveland,Corporate,17.94,NaN
Lowell,Consumer,2358.11,NaN
Lowell,Corporate,2479.8199999999997,NaN
Lubbock,Consumer,571.9520000000001,NaN
Lubbock,Corporate,9.248000000000001,NaN
Lubbock,Home Office,11.363999999999997,NaN
Macon,Consumer,208.28,NaN
Macon,Corporate,155.73,NaN
Madison,Consumer,5346.790000000002,NaN
Malden,Consumer,39.68,NaN
Malden,Home Office,188.7,NaN
Manchester,Consumer,947.01,NaN
Manchester,Corporate,1179.27,NaN
Manhattan,Home Office,273.96,NaN
Mansfield,Consumer,517.4050000000001,NaN
Mansfield,Corporate,41.47200000000001,NaN
Manteca,Home Office,452.1819999999999,NaN
Maple Grove,Corporate,735.98,NaN
Maple Grove,Home Office,146.89,NaN
Margate,Consumer,15.552000000000003,NaN
Marietta,Consumer,5.64,NaN
Marietta,Corporate,2673.69,NaN
Marietta,Home Office,259.28999999999996,NaN
Marion,Consumer,1402.6119999999999,NaN
Marion,Corporate,1852.7020000000002,NaN
Marion,Home Office,114.032,NaN
Marlborough,Consumer,206.64,NaN
Marysville,Consumer,102.18,NaN
Mason,Corporate,94.26400000000001,NaN
Mcallen,Consumer,203.648,NaN
Mcallen,Corporate,562.208,NaN
Mcallen,Home Office,100.85999999999999,NaN
Medford,Consumer,80.45600000000002,NaN
Medford,Corporate,9.762,NaN
Medina,Consumer,661.026,NaN
Medina,Corporate,1816.6960000000001,NaN
Melbourne,Corporate,95.616,NaN
Memphis,Consumer,5090.108000000001,NaN
Memphis,Corporate,852.2330000000002,NaN
Mentor,Home Office,693.13,NaN
Meriden,Consumer,322.18,NaN
Meriden,Corporate,1217.3799999999999,NaN
Meriden,Home Office,11.12,NaN
Meridian,Corporate,21.312000000000005,NaN
Meridian,Home Office,307.74,NaN
Mesa,Consumer,2762.2570000000005,NaN
Mesa,Corporate,1144.7790000000002,NaN
Mesa,Home Office,130.704,NaN
Mesquite,Corporate,52.147999999999996,NaN
Miami,Consumer,5025.804500000001,NaN
Miami,Corporate,3039.3580000000006,NaN
Miami,Home Office,607.912,NaN
Middletown,Consumer,897.6,NaN
Middletown,Corporate,257.01,NaN
Midland,Consumer,1276.53,NaN
Midland,Home Office,4014.9820000000004,NaN
Milford,Consumer,67.32000000000001,NaN
Milford,Corporate,694.6700000000001,NaN
Milford,Home Office,199.75,NaN
Milwaukee,Consumer,2284.83,NaN
Milwaukee,Corporate,5582.999999999999,NaN
Milwaukee,Home Office,3542.39,NaN
Minneapolis,Consumer,16036.05,NaN
Minneapolis,Corporate,85.99000000000001,NaN
Minneapolis,Home Office,748.4999999999999,NaN
Miramar,Consumer,559.2,NaN
Miramar,Corporate,552.856,NaN
Miramar,Home Office,419.13599999999997,NaN
Mishawaka,Consumer,776.24,NaN
Mission Viejo,Consumer,775.986,NaN
Missoula,Consumer,487.98400000000004,NaN
Missouri City,Corporate,6.369999999999998,NaN
Mobile,Consumer,2226.58,NaN
Mobile,Corporate,3236.41,NaN
Modesto,Consumer,273.358,NaN
Modesto,Corporate,52.792,NaN
Monroe,Consumer,1868.3479999999997,NaN
Monroe,Corporate,411.20799999999997,NaN
Monroe,Home Office,690.8779999999999,NaN
Montebello,Corporate,27.88,NaN
Montgomery,Consumer,1017.37,NaN
Montgomery,Corporate,2705.3599999999997,NaN
Moorhead,Consumer,63.96,NaN
Moorhead,Home Office,479.90000000000003,NaN
Moreno Valley,Consumer,972.4000000000001,NaN
Moreno Valley,Corporate,182.72,NaN
Moreno Valley,Home Office,107.34599999999999,NaN
Morgan Hill,Consumer,545.01,NaN
Morristown,Consumer,3164.6699999999996,NaN
Morristown,Corporate,1868.43,NaN
Mount Pleasant,Consumer,563.0799999999999,NaN
Mount Vernon,Consumer,137.17000000000002,NaN
Mount Vernon,Corporate,1982.462,NaN
Murfreesboro,Corporate,337.333,NaN
Murray,Consumer,362.538,NaN
Murray,Home Office,48.4,NaN
Murrieta,Consumer,484.65000000000003,NaN
Muskogee,Home Office,1721.7,NaN
Naperville,Consumer,853.075,NaN
Naperville,Corporate,147.168,NaN
Naperville,Home Office,288.06,NaN
Nashua,Consumer,14.82,NaN
Nashua,Corporate,21.12,NaN
Nashville,Consumer,2736.009,NaN
Nashville,Corporate,3160.102,NaN
Nashville,Home Office,174.752,NaN
New Albany,Consumer,209.54999999999998,NaN
New Bedford,Consumer,23.18,NaN
New Bedford,Corporate,212.79000000000002,NaN
New Brunswick,Home Office,14.77,NaN
New Castle,Consumer,84.61,NaN
New Rochelle,Consumer,907.668,NaN
New Rochelle,Home Office,347.55999999999995,NaN
New York City,Consumer,136869.82299999995,NaN
New York City,Corporate,63383.24900000002,NaN
New York City,Home Office,56115.08900000002,NaN
Newark,Consumer,19566.133,NaN
Newark,Corporate,7610.948,NaN
Newark,Home Office,1399.038,NaN
Newport News,Consumer,2271.9900000000002,NaN
Newport News,Corporate,788.86,NaN
Newport News,Home Office,261.1,NaN
Niagara Falls,Consumer,164.85000000000002,NaN
Niagara Falls,Home Office,34.992000000000004,NaN
Noblesville,Consumer,412.23999999999995,NaN
Noblesville,Corporate,2678.94,NaN
Norfolk,Consumer,17.43,NaN
Normal,Home Office,366.74399999999997,NaN
Norman,Consumer,1287.45,NaN
Norman,Corporate,63.88,NaN
North Charleston,Consumer,269.49,NaN
North Charleston,Corporate,14.76,NaN
North Las Vegas,Consumer,4908.186000000001,NaN
North Las Vegas,Corporate,193.18,NaN
North Las Vegas,Home Office,4699.636,NaN
North Miami,Consumer,22.128000000000004,NaN
Norwich,Consumer,380.5,NaN
Norwich,Corporate,11.34,NaN
Norwich,Home Office,22.200000000000003,NaN
Oak Park,Corporate,591.0519999999999,NaN
Oakland,Consumer,3009.6640000000007,NaN
Oakland,Corporate,2465.902,NaN
Oakland,Home Office,488.85200000000003,NaN
Oceanside,Consumer,3684.554,NaN
Oceanside,Corporate,653.284,NaN
Oceanside,Home Office,12.9,NaN
Odessa,Corporate,636.0079999999998,NaN
Odessa,Home Office,340.116,NaN
Oklahoma City,Consumer,4325.6799999999985,NaN
Oklahoma City,Corporate,94.94999999999999,NaN
Oklahoma City,Home Office,2176.19,NaN
Olathe,Home Office,895.79,NaN
Olympia,Consumer,1020.448,NaN
Omaha,Consumer,5089.109999999998,NaN
