Opportunities.Rating,Opportunities.Status,Opportunities.Value,CountNonNull(Opportunities.Purchase Process),
Cold,Open,2000,25,"25,903,928"
Cold,Open,2300,26,"26,851,877"
Cold,Open,2100,22,"22,1046,1068"
Cold,Open,800,28,"28,796,824"
Cold,Open,700,26,"26,877,903"
Cold,Open,500,27,"27,824,851"
Cold,Open,900,15,"15,1104,1119"
Cold,Open,600,23,"23,1023,1046"
Cold,Open,400,17,"17,1087,1104"
Cold,Open,200,10,"10,1172,1182"
Cold,Open,300,15,"15,1119,1134"
Cold,Open,100,14,"14,1134,1148"
Cold,Open,1500,12,"12,1148,1160"
Cold,Open,1900,8,"8,1200,1208"
Cold,Open,1700,12,"12,1160,1172"
Cold,Open,1800,6,"6,1216,1222"
Cold,Open,1600,8,"8,1208,1216"
Cold,Open,4900,5,"5,1234,1239"
Cold,Open,4100,9,"9,1182,1191"
Cold,Open,4600,1,"1,1255,1256"
Cold,Open,4500,5,"5,1239,1244"
Cold,Open,4800,6,"6,1222,1228"
Cold,Open,4200,9,"9,1191,1200"
Cold,Open,4300,5,"5,1244,1249"
Cold,Open,4400,3,"3,1249,1252"
Cold,Open,4700,3,"3,1252,1255"
Cold,Open,4000,6,"6,1228,1234"
Hot,Lost,1000,1,"1,0,1"
Hot,Lost,1200,1,"1,1,2"
Hot,Lost,1100,1,"1,2,3"
Hot,Lost,1300,1,"1,3,4"
Hot,Open,2600,19,"19,160,179"
Hot,Open,2800,24,"24,27,51"
Hot,Open,2500,21,"21,97,118"
Hot,Open,2700,18,"18,217,235"
Hot,Open,2900,16,"16,252,268"
Hot,Open,3300,17,"17,235,252"
Hot,Open,3100,13,"13,344,357"
Hot,Open,3200,21,"21,118,139"
Hot,Open,3000,21,"21,139,160"
Hot,Open,3400,27,"27,0,27"
Hot,Open,3600,19,"19,179,198"
Hot,Open,3700,15,"15,284,299"
Hot,Open,3800,19,"19,198,217"
Hot,Open,3900,24,"24,51,75"
Hot,Open,3500,15,"15,299,314"
Hot,Open,1000,22,"22,75,97"
Hot,Open,1200,16,"16,268,284"
Hot,Open,1100,15,"15,314,329"
Hot,Open,1300,13,"13,357,370"
Hot,Open,1400,15,"15,329,344"
Hot,Open,2400,8,"8,411,419"
Hot,Open,2200,5,"5,469,474"
Hot,Open,2000,12,"12,370,382"
Hot,Open,2300,10,"10,382,392"
Hot,Open,2100,7,"7,435,442"
Hot,Open,800,8,"8,419,427"
Hot,Open,700,5,"5,474,479"
Hot,Open,500,7,"7,442,449"
Hot,Open,900,10,"10,392,402"
Hot,Open,600,5,"5,479,484"
Hot,Open,400,9,"9,402,411"
Hot,Open,200,8,"8,427,435"
Hot,Open,300,3,"3,511,514"
Hot,Open,100,7,"7,449,456"
Hot,Open,1500,1,"1,525,526"
Hot,Open,1900,7,"7,456,463"
Hot,Open,1700,4,"4,499,503"
Hot,Open,1800,4,"4,503,507"
Hot,Open,1600,4,"4,507,511"
Hot,Open,4900,3,"3,514,517"
Hot,Open,4100,2,"2,517,519"
Hot,Open,4600,2,"2,519,521"
Hot,Open,4500,5,"5,484,489"
Hot,Open,4200,6,"6,463,469"
Hot,Open,4300,5,"5,489,494"
Hot,Open,4400,2,"2,521,523"
Hot,Open,4700,5,"5,494,499"
Hot,Open,4000,2,"2,523,525"
Hot,Won,2600,307,"307,0,307"
Hot,Won,2800,284,"284,899,1183"
Hot,Won,2500,267,"267,1464,1731"
Hot,Won,2700,301,"301,307,608"
Hot,Won,2900,281,"281,1183,1464"
Hot,Won,3300,291,"291,608,899"
Hot,Won,3100,249,"249,2242,2491"
Hot,Won,3200,244,"244,2491,2735"
Hot,Won,3000,259,"259,1731,1990"
Hot,Won,3400,252,"252,1990,2242"
Hot,Won,3600,228,"228,2969,3197"
Hot,Won,3700,234,"234,2735,2969"
Hot,Won,3800,223,"223,3197,3420"
Hot,Won,3900,208,"208,3420,3628"
Hot,Won,3500,195,"195,3628,3823"
Hot,Won,1000,159,"159,4339,4498"
Hot,Won,1200,193,"193,3823,4016"
Hot,Won,1100,162,"162,4016,4178"
Hot,Won,1300,161,"161,4178,4339"
Hot,Won,1400,154,"154,4498,4652"
Hot,Won,2400,141,"141,4652,4793"
Hot,Won,2200,115,"115,4910,5025"
Hot,Won,2000,107,"107,5025,5132"
Hot,Won,2300,98,"98,5235,5333"
Hot,Won,2100,117,"117,4793,4910"
Hot,Won,800,86,"86,5518,5604"
Hot,Won,700,103,"103,5132,5235"
Hot,Won,500,84,"84,5690,5774"
Hot,Won,900,82,"82,5774,5856"
Hot,Won,600,79,"79,5937,6016"
Hot,Won,400,90,"90,5428,5518"
Hot,Won,200,81,"81,5856,5937"
Hot,Won,300,86,"86,5604,5690"
Hot,Won,100,95,"95,5333,5428"
Hot,Won,1500,61,"61,6282,6343"
Hot,Won,1900,53,"53,6637,6690"
Hot,Won,1700,49,"49,6792,6841"
Hot,Won,1800,50,"50,6742,6792"
Hot,Won,1600,46,"46,6841,6887"
Hot,Won,4900,63,"63,6156,6219"
Hot,Won,4100,58,"58,6523,6581"
Hot,Won,4600,60,"60,6343,6403"
Hot,Won,4500,60,"60,6403,6463"
Hot,Won,4800,68,"68,6088,6156"
Hot,Won,4200,60,"60,6463,6523"
Hot,Won,4300,52,"52,6690,6742"
Hot,Won,4400,72,"72,6016,6088"
Hot,Won,4700,63,"63,6219,6282"
Hot,Won,4000,56,"56,6581,6637"
Warm,Lost,2600,243,"243,0,243"
Warm,Lost,2800,217,"217,478,695"
Warm,Lost,2500,235,"235,243,478"
Warm,Lost,2700,201,"201,1332,1533"
Warm,Lost,2900,193,"193,1928,2121"
Warm,Lost,3300,216,"216,695,911"
Warm,Lost,3100,197,"197,1731,1928"
Warm,Lost,3200,214,"214,911,1125"
Warm,Lost,3000,207,"207,1125,1332"
Warm,Lost,3400,198,"198,1533,1731"
Warm,Lost,3600,143,"143,2899,3042"
Warm,Lost,3700,149,"149,2602,2751"
Warm,Lost,3800,172,"172,2121,2293"
Warm,Lost,3900,150,"150,2452,2602"
Warm,Lost,3500,159,"159,2293,2452"
Warm,Lost,1000,143,"143,3042,3185"
Warm,Lost,1200,129,"129,3185,3314"
Warm,Lost,1100,128,"128,3314,3442"
Warm,Lost,1300,126,"126,3442,3568"
Warm,Lost,1400,148,"148,2751,2899"
Warm,Lost,2400,113,"113,3568,3681"
Warm,Lost,2200,103,"103,3793,3896"
Warm,Lost,2000,102,"102,3999,4101"
Warm,Lost,2300,112,"112,3681,3793"
Warm,Lost,2100,82,"82,4469,4551"
Warm,Lost,800,103,"103,3896,3999"
Warm,Lost,700,87,"87,4382,4469"
Warm,Lost,500,94,"94,4101,4195"
Warm,Lost,900,94,"94,4195,4289"
Warm,Lost,600,93,"93,4289,4382"
Warm,Lost,400,78,"78,4551,4629"
Warm,Lost,200,67,"67,4705,4772"
Warm,Lost,300,76,"76,4629,4705"
Warm,Lost,100,60,"60,4772,4832"
Warm,Lost,1500,44,"44,4832,4876"
Warm,Lost,1900,38,"38,4996,5034"
Warm,Lost,1700,40,"40,4876,4916"
Warm,Lost,1800,40,"40,4916,4956"
Warm,Lost,1600,40,"40,4956,4996"
Warm,Lost,4900,31,"31,5034,5065"
Warm,Lost,4100,30,"30,5096,5126"
Warm,Lost,4600,31,"31,5065,5096"
Warm,Lost,4500,22,"22,5248,5270"
Warm,Lost,4800,24,"24,5201,5225"
Warm,Lost,4200,25,"25,5126,5151"
Warm,Lost,4300,25,"25,5151,5176"
Warm,Lost,4400,17,"17,5270,5287"
Warm,Lost,4700,25,"25,5176,5201"
Warm,Lost,4000,23,"23,5225,5248"
Warm,Open,2600,28,"28,93,121"
Warm,Open,2800,29,"29,35,64"
Warm,Open,2500,27,"27,177,204"
Warm,Open,2700,27,"27,204,231"
Warm,Open,2900,35,"35,0,35"
Warm,Open,3300,13,"13,486,499"
Warm,Open,3100,28,"28,121,149"
Warm,Open,3200,22,"22,306,328"
Warm,Open,3000,25,"25,257,282"
Warm,Open,3400,28,"28,149,177"
Warm,Open,3600,20,"20,350,370"
Warm,Open,3700,29,"29,64,93"
Warm,Open,3800,22,"22,328,350"
Warm,Open,3900,26,"26,231,257"
Warm,Open,3500,19,"19,370,389"
Warm,Open,1000,14,"14,444,458"
Warm,Open,1200,14,"14,458,472"
Warm,Open,1100,19,"19,389,408"
Warm,Open,1300,24,"24,282,306"
Warm,Open,1400,9,"9,552,561"
Warm,Open,2400,19,"19,408,427"
Warm,Open,2200,17,"17,427,444"
Warm,Open,2000,6,"6,626,632"
Warm,Open,2300,10,"10,522,532"
Warm,Open,2100,14,"14,472,486"
Warm,Open,800,9,"9,561,570"
Warm,Open,700,9,"9,570,579"
Warm,Open,500,9,"9,579,588"
Warm,Open,900,10,"10,532,542"
Warm,Open,600,10,"10,542,552"
Warm,Open,400,5,"5,650,655"
Warm,Open,200,12,"12,499,511"
Warm,Open,300,11,"11,511,522"
Warm,Open,100,4,"4,660,664"
Warm,Open,1500,6,"6,632,638"
Warm,Open,1900,2,"2,683,685"
Warm,Open,1700,4,"4,664,668"
Warm,Open,1800,9,"9,588,597"
Warm,Open,1600,7,"7,605,612"
Warm,Open,4900,8,"8,597,605"
Warm,Open,4100,7,"7,612,619"
Warm,Open,4600,6,"6,638,644"
Warm,Open,4500,7,"7,619,626"
Warm,Open,4800,4,"4,668,672"
Warm,Open,4200,3,"3,680,683"
Warm,Open,4300,6,"6,644,650"
Warm,Open,4400,5,"5,655,660"
Warm,Open,4700,4,"4,672,676"
Warm,Open,4000,4,"4,676,680"
Warm,Won,2600,212,"212,0,212"
Warm,Won,2800,210,"210,212,422"
Warm,Won,2500,207,"207,630,837"
Warm,Won,2700,208,"208,422,630"
Warm,Won,2900,184,"184,1224,1408"
Warm,Won,3300,166,"166,1743,1909"
Warm,Won,3100,201,"201,837,1038"
Warm,Won,3200,186,"186,1038,1224"
Warm,Won,3000,159,"159,2072,2231"
Warm,Won,3400,167,"167,1576,1743"
Warm,Won,3600,163,"163,1909,2072"
Warm,Won,3700,142,"142,2531,2673"
Warm,Won,3800,145,"145,2386,2531"
Warm,Won,3900,155,"155,2231,2386"
Warm,Won,3500,168,"168,1408,1576"
Warm,Won,1000,118,"118,2673,2791"
Warm,Won,1200,112,"112,2791,2903"
Warm,Won,1100,97,"97,2903,3000"
Warm,Won,1300,97,"97,3000,3097"
Warm,Won,1400,90,"90,3097,3187"
Warm,Won,2400,81,"81,3446,3527"
Warm,Won,2200,90,"90,3187,3277"
Warm,Won,2000,86,"86,3277,3363"
Warm,Won,2300,83,"83,3363,3446"
Warm,Won,2100,68,"68,3527,3595"
Warm,Won,800,64,"64,3660,3724"
Warm,Won,700,58,"58,3784,3842"
Warm,Won,500,58,"58,3842,3900"
Warm,Won,900,65,"65,3595,3660"
Warm,Won,600,60,"60,3724,3784"
Warm,Won,400,36,"36,4087,4123"
Warm,Won,200,58,"58,3900,3958"
Warm,Won,300,42,"42,4007,4049"
Warm,Won,100,49,"49,3958,4007"
Warm,Won,1500,31,"31,4254,4285"
Warm,Won,1900,38,"38,4049,4087"
Warm,Won,1700,31,"31,4285,4316"
Warm,Won,1800,31,"31,4316,4347"
Warm,Won,1600,34,"34,4123,4157"
Warm,Won,4900,28,"28,4377,4405"
Warm,Won,4100,28,"28,4405,4433"
Warm,Won,4600,32,"32,4190,4222"
Warm,Won,4500,32,"32,4222,4254"
Warm,Won,4800,27,"27,4433,4460"
Warm,Won,4200,25,"25,4486,4511"
Warm,Won,4300,33,"33,4157,4190"
Warm,Won,4400,26,"26,4460,4486"
Warm,Won,4700,22,"22,4511,4533"
Warm,Won,4000,30,"30,4347,4377"
