Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Sales),
June,Accessories,2233.590499999999,183,8908.384000000002,"8908.384000000002,58505.184,67413.568"
June,Appliances,1489.1256999999998,110,7479.46,NaN
June,Art,575.829,235,2217.6960000000004,NaN
June,Binders,3598.6910999999977,416,13286.761000000002,"13286.761000000002,26313.703999999998,39600.465"
June,Bookcases,231.5712999999997,71,9147.6293,NaN
June,Chairs,1483.8365999999987,141,21523.367,NaN
June,Copiers,314.9895,3,899.97,NaN
June,Envelopes,219.70139999999998,38,513.7579999999999,NaN
June,Fasteners,37.159099999999995,39,115.50399999999999,NaN
June,Furnishings,359.02979999999997,224,5923.473999999999,NaN
June,Labels,547.0848000000001,118,1207.01,NaN
June,Machines,2477.0306,37,12182.525,"12182.525,46322.659,58505.184"
June,Paper,2823.1524000000004,441,6722.1939999999995,"6722.1939999999995,39600.465,46322.659"
June,Phones,4204.509599999999,245,26313.703999999998,"26313.703999999998,0,26313.703999999998"
June,Storage,1709.875999999999,243,18605.662,NaN
June,Supplies,72.67099999999999,34,1266.5880000000004,NaN
June,Tables,-1092.0530000000006,102,16404.992999999995,NaN
July,Accessories,4783.980600000001,216,17126.417999999998,"17126.417999999998,0,17126.417999999998"
July,Appliances,604.2786999999998,89,3823.2540000000004,NaN
July,Art,497.44169999999986,218,2065.94,NaN
July,Binders,-3397.110500000003,422,8557.349,NaN
July,Bookcases,561.5722,70,8588.983,NaN
July,Chairs,765.8817999999992,182,23016.351000000002,NaN
July,Copiers,2761.9452999999994,27,9779.792000000001,"9779.792000000001,17126.417999999998,26906.21"
July,Envelopes,545.3799,57,1200.0800000000002,NaN
July,Fasteners,66.7873,65,181.50799999999995,NaN
July,Furnishings,785.1323999999998,297,7609.052000000002,NaN
July,Labels,809.3574000000001,101,1692.0159999999998,NaN
July,Machines,37.886399999999924,16,4064.768,NaN
July,Paper,1775.89,333,4180.200000000001,"4180.200000000001,50789.258,54969.458"
July,Phones,2517.1574999999993,270,23883.048,"23883.048,26906.21,50789.258"
July,Storage,990.8861999999996,221,12490.796000000004,"12490.796000000004,54969.458,67460.254"
July,Supplies,426.0996999999997,52,8815.916,NaN
July,Tables,-699.9018000000002,69,10162.625999999998,NaN
August,Accessories,2563.325499999999,234,12376.144,"12376.144,67673.13799999999,80049.28199999999"
August,Appliances,2842.6176999999993,171,13061.658999999998,"13061.658999999998,48088.31499999999,61149.97399999999"
August,Art,443.2704000000001,195,1690.1339999999998,NaN
August,Binders,4262.902800000005,489,20430.013,"20430.013,0,20430.013"
August,Bookcases,-54.84219999999992,54,5621.545000000001,NaN
August,Chairs,528.6619999999998,109,18339.804,NaN
August,Copiers,2004.9648000000002,12,5729.9000000000015,NaN
August,Envelopes,289.531,43,701.08,NaN
August,Fasteners,78.40729999999998,75,243.25000000000003,NaN
August,Furnishings,751.4403000000003,187,4033.594000000001,NaN
August,Labels,387.9036,118,876.472,NaN
August,Machines,1374.1189999999997,24,6261.509999999999,NaN
August,Paper,2786.2795,390,6523.164000000002,"6523.164000000002,61149.97399999999,67673.13799999999"
August,Phones,3157.0316999999995,251,27658.301999999992,"27658.301999999992,20430.013,48088.31499999999"
August,Storage,1501.233599999999,239,17742.822000000004,NaN
August,Supplies,81.25739999999996,82,865.5679999999999,NaN
August,Tables,-1221.1660000000002,111,16889.102,NaN
September,Accessories,6357.666300000001,416,24900.353999999992,"24900.353999999992,37343.50800000005,62243.862000000045"
September,Appliances,1031.406,212,10193.027999999998,NaN
September,Art,902.8961000000003,392,3660.3699999999994,NaN
September,Binders,7441.500399999991,802,37343.50800000005,"37343.50800000005,0,37343.50800000005"
September,Bookcases,-2009.4926000000007,112,23372.530699999996,NaN
September,Chairs,6044.827099999999,329,51577.218,"51577.218,62243.862000000045,113821.08000000005"
September,Copiers,3844.9011,29,10319.742000000002,NaN
September,Envelopes,902.7403999999995,136,2176.550000000001,NaN
September,Fasteners,152.1634,122,405.6940000000001,NaN
September,Furnishings,2400.2830999999983,442,11804.909999999996,NaN
September,Labels,638.8327000000002,225,1496.2959999999998,NaN
September,Machines,-1898.6437000000033,72,26385.656999999996,NaN
September,Paper,4746.442700000002,772,10689.555999999997,"10689.555999999997,151596.03600000005,162285.59200000006"
September,Phones,5794.3399,357,37774.956,"37774.956,113821.08000000005,151596.03600000005"
September,Storage,2621.6529,448,29487.467999999997,NaN
September,Supplies,-1138.4252000000001,80,6436.176000000001,NaN
September,Tables,-975.6153000000004,116,19625.932,NaN
October,Accessories,2709.6759999999986,227,12927.141999999996,"12927.141999999996,81568.33899999999,94495.48099999999"
October,Appliances,2298.453699999998,116,9151.597,"9151.597,94495.48099999999,103647.07799999998"
October,Art,503.93359999999996,208,1923.0560000000014,NaN
October,Binders,3970.2570000000005,460,18076.629000000008,"18076.629000000008,63491.709999999985,81568.33899999999"
October,Bookcases,-176.78060000000016,54,8246.9432,NaN
October,Chairs,1060.9282999999996,219,24170.45,NaN
October,Copiers,15863.897999999997,27,37019.755999999994,"37019.755999999994,0,37019.755999999994"
October,Envelopes,601.8178999999998,107,1403.1560000000002,NaN
October,Fasteners,79.28679999999999,73,325.762,NaN
October,Furnishings,648.5497999999995,307,5447.186000000002,NaN
October,Labels,544.7198999999998,130,1248.4779999999998,NaN
October,Machines,947.9604000000004,48,10613.093000000003,NaN
October,Paper,2121.4379999999996,379,4996.883999999998,NaN
October,Phones,4361.0307999999995,289,26471.95399999999,"26471.95399999999,37019.755999999994,63491.709999999985"
October,Storage,729.052499999999,292,17239.87,NaN
October,Supplies,80.44880000000003,39,838.0920000000001,NaN
October,Tables,-4560.629599999999,129,20222.936500000003,NaN
November,Accessories,6352.691800000001,488,25956.732000000015,"25956.732000000015,56220.92599999998,82177.658"
November,Appliances,4002.9986999999983,253,18969.931999999997,NaN
November,Art,997.7482999999994,425,3954.034,NaN
November,Binders,-1080.281100000002,925,20857.650999999994,NaN
November,Bookcases,453.2036999999997,135,23561.0205,NaN
November,Chairs,3244.2934999999975,333,47760.01299999999,NaN
November,Copiers,6280.963400000001,15,15149.884,"15149.884,82177.658,97327.542"
November,Envelopes,1202.532,152,2907.128,NaN
November,Fasteners,184.4999,158,550.0079999999999,NaN
November,Furnishings,2246.4702999999995,552,16782.539999999994,NaN
November,Labels,772.5504000000001,170,1850.202,NaN
November,Machines,-4327.2699999999995,81,33807.299000000006,NaN
November,Paper,5520.618299999996,768,12577.919999999995,"12577.919999999995,97327.542,109905.462"
November,Phones,7734.0278,519,56220.92599999998,"56220.92599999998,0,56220.92599999998"
November,Storage,4032.9242999999983,504,37023.148,"37023.148,109905.462,146928.61"
November,Supplies,-125.578,97,1350.1580000000001,NaN
November,Tables,-2023.9668000000006,200,33182.4755,NaN
December,Accessories,7509.024399999998,469,28006.515999999996,"28006.515999999996,0,28006.515999999996"
December,Appliances,3040.3541,272,16442.637000000002,NaN
December,Art,702.2135999999999,410,3635.7140000000004,NaN
December,Binders,3740.4455999999964,837,31996.60699999998,NaN
December,Bookcases,-1294.8114000000007,114,10977.384499999998,NaN
December,Chairs,6615.3401,430,57429.04899999998,"57429.04899999998,46806.166,104235.21499999997"
December,Copiers,6994.8775,41,18799.65,"18799.65,28006.515999999996,46806.166"
December,Envelopes,1023.3594999999999,106,2458.3279999999995,NaN
December,Fasteners,166.58609999999996,128,438.24000000000007,NaN
December,Furnishings,1980.728099999999,556,14218.275999999996,NaN
December,Labels,626.6675,176,1376.0319999999997,NaN
December,Machines,-832.6684000000008,38,15209.824,NaN
December,Paper,4915.523300000002,740,11250.121999999996,"11250.121999999996,143052.11699999997,154302.23899999997"
December,Phones,5344.5801999999985,410,38816.902,"38816.902,104235.21499999997,143052.11699999997"
December,Storage,3737.2067,397,30642.967999999997,NaN
December,Supplies,-15.03840000000003,89,4401.996000000001,NaN
December,Tables,-885.1966000000008,206,39193.25799999999,NaN
