Orders.Ship Mode,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Min(Orders.Product Name),
Same Day,Fasteners,46.1181,53,Acco Hot Clips Clips to Go,"237.37954999999994,75793.24615000002,76030.62570000002"
Same Day,Supplies,78.94019999999999,34,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L","-297.27487499999984,76090.52102500002,75793.24615000002"
Same Day,Bookcases,392.56559999999996,19,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","-868.1390000000004,73831.05235000001,72962.91335000002"
Same Day,Tables,-1129.4225,85,Anderson Hickey Conga Table Tops & Accessories,"-4431.370274999999,76030.62570000002,71599.25542500002"
Second Class,Copiers,6883.8703,44,Brother DCP1000 Digital 3 in 1 Multifunction Machine,"13904.456225000002,30126.4839,44030.940125"
Second Class,Phones,8377.6354,658,Anker Astro 15000mAh USB Portable Charger,"11128.932650000006,10484.158924999996,21613.091575000002"
Second Class,Accessories,8733.670800000002,629,AmazonBasics 3-Button USB Wired Mouse,"10484.158924999996,0,10484.158924999996"
Second Class,Paper,7567.028799999996,1122,"""While you Were Out"" Message Book, One Form per Page","8513.392324999999,21613.091575000002,30126.4839"
Second Class,Binders,5461.342000000005,1021,3M Organizer Strips,"7555.440825,50678.481700000004,58233.922525"
Second Class,Chairs,6766.249999999999,489,Bevis Steel Folding Chairs,"6647.541574999999,44030.940125,50678.481700000004"
Second Class,Storage,5434.313199999993,670,2300 Heavy-Duty Transfer File Systems by Perma,"5319.706599999999,58233.922525,63553.629125"
Second Class,Appliances,4906.695699999998,324,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","4534.501350000002,63553.629125,68088.130475"
Second Class,Furnishings,1808.7125999999998,648,12-1/2 Diameter Round Wall Clock,"3264.7858999999985,68934.3197,72199.1056"
Second Class,Envelopes,1280.4035000000006,186,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes","1741.0441749999998,75217.61585,76958.660025"
Second Class,Art,1299.1289,585,4009 Highlighters by Sanford,"1631.9467499999996,73585.6691,75217.61585"
Second Class,Labels,1466.7880999999993,252,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll","1386.5634999999997,72199.1056,73585.6691"
Second Class,Machines,2157.029899999999,43,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner","846.1892249999995,68088.130475,68934.3197"
Second Class,Fasteners,158.0298,168,"Acco Banker's Clasps, 5 3/4""-Long","237.37954999999994,76958.660025,77196.039575"
Second Class,Supplies,-505.56239999999974,152,Acme Box Cutter Scissors,"-297.27487499999984,77196.039575,76898.7647"
Second Class,Bookcases,-1028.0213000000006,175,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors","-868.1390000000004,76898.7647,76030.6257"
Second Class,Tables,-3320.6798999999996,257,Anderson Hickey Conga Table Tops & Accessories,"-4431.370274999999,76030.6257,71599.25542500001"
Standard Class,Copiers,31354.62040000001,129,Brother DCP1000 Digital 3 in 1 Multifunction Machine,"13904.456225000002,0,13904.456225000002"
Standard Class,Phones,25953.350600000016,1987,Aastra 57i VoIP phone,"11128.932650000006,13904.456225000002,25033.388875000008"
Standard Class,Accessories,23428.860799999988,1720,AmazonBasics 3-Button USB Wired Mouse,"10484.158924999996,25033.388875000008,35517.5478"
Standard Class,Paper,19478.8185,2984,"""While you Were Out"" Message Book, One Form per Page","8513.392324999999,43072.988625,51586.38095"
Standard Class,Binders,19491.996699999992,3777,3M Organizer Strips,"7555.440825,35517.5478,43072.988625"
Standard Class,Chairs,16043.0579,1372,Bevis Steel Folding Chairs,"6647.541574999999,51586.38095,58233.922525"
Standard Class,Storage,11852.0534,1851,2300 Heavy-Duty Transfer File Systems by Perma,"5319.706599999999,58233.922525,63553.629125"
Standard Class,Appliances,8595.79090000001,1075,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","4534.501350000002,66818.415025,71352.916375"
Standard Class,Furnishings,8758.772699999994,2186,12-1/2 Diameter Round Wall Clock,"3264.7858999999985,63553.629125,66818.415025"
Standard Class,Envelopes,4333.362299999999,548,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes","1741.0441749999998,71352.916375,73093.96055"
Standard Class,Art,4074.864999999998,1868,12 Colored Short Pencils,"1631.9467499999996,73093.96055,74725.9073"
Standard Class,Labels,3029.1865000000003,830,Alphabetical Labels for Top Tab Filing,"1386.5634999999997,74725.9073,76112.47080000001"
Standard Class,Machines,2392.4552,286,"3D Systems Cube Printer, 2nd Generation, Magenta","846.1892249999995,76112.47080000001,76958.660025"
Standard Class,Fasteners,618.2950999999997,587,"Acco Banker's Clasps, 5 3/4""-Long","237.37954999999994,76958.660025,77196.039575"
Standard Class,Supplies,-875.5834999999996,387,Acco Side-Punched Conventional Columnar Pads,"-297.27487499999984,77196.039575,76898.7647"
Standard Class,Bookcases,-2531.1028000000006,487,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors","-868.1390000000004,76898.7647,76030.6257"
Standard Class,Tables,-11910.012199999997,723,Balt Solid Wood Rectangular Table,"-4431.370274999999,76030.6257,71599.25542500001"
