financials.Discount Band,financials.Product,financials.Segment,Sum(financials. Sales),Sum(financials.COGS),
Low,VTT,Enterprise,1008937.5,986280,"1008937.5,21139037.220000003,22147974.720000003"
Low,VTT,Government,3971659.02,3021735,"3971659.02,15291964.200000001,19263623.220000003"
Low,VTT,Midmarket,50101.35,34590,"50101.35,22209108.840000004,22259210.190000005"
Low,VTT,Small Business,1875414,1603000,"1875414,19263623.220000003,21139037.220000003"
Medium,Amarilla,Channel Partners,31323.72,8412,"31323.72,38749107.114999995,38780430.83499999"
Medium,Amarilla,Enterprise,540315,555180,"540315,38163483.489999995,38703798.489999995"
Medium,Amarilla,Government,4729707.569999999,3723975,"4729707.569999999,31840517.919999998,36570225.489999995"
Medium,Amarilla,Midmarket,45308.625,33115,"45308.625,38703798.489999995,38749107.114999995"
Medium,Amarilla,Small Business,1593258,1429250,"1593258,36570225.489999995,38163483.489999995"
Medium,Carretera,Channel Partners,116655.48000000001,31200,"116655.48000000001,14875169.129999999,14991824.61"
Medium,Carretera,Enterprise,281322.5,291240,"281322.5,14593846.629999999,14875169.129999999"
Medium,Carretera,Government,1146006.29,892135,"1146006.29,13447840.34,14593846.629999999"
Medium,Carretera,Midmarket,115257.15,81550,"115257.15,14991824.61,15107081.76"
Medium,Carretera,Small Business,1314588,1178500,"1314588,12133252.34,13447840.34"
Medium,Montana,Channel Partners,135010.68,36204,"135010.68,11953916.06,12088926.74"
Medium,Montana,Enterprise,1250723.75,1293720,"1250723.75,10703192.31,11953916.06"
Medium,Montana,Government,2181740.3300000005,1701715,"2181740.3300000005,8521451.98,10703192.31"
Medium,Montana,Midmarket,44325.600000000006,32120,"44325.600000000006,12088926.74,12133252.34"
Medium,Montana,Small Business,2924389.5,2646125,"2924389.5,5597062.48,8521451.98"
Medium,Paseo,Channel Partners,107871.84000000001,28905,"107871.84000000001,24944599.65,25052471.49"
Medium,Paseo,Enterprise,1679017.5,1723920,"1679017.5,22935565.95,24614583.45"
Medium,Paseo,Government,3743852.1900000004,2899965,"3743852.1900000004,19191713.759999998,22935565.95"
Medium,Paseo,Midmarket,330016.19999999995,235650,"330016.19999999995,24614583.45,24944599.65"
Medium,Paseo,Small Business,4084632,3679500,"4084632,15107081.76,19191713.759999998"
Medium,Velo,Channel Partners,55794.96,14988,"55794.96,31784722.960000005,31840517.920000006"
Medium,Velo,Enterprise,1264370,1301160,"1264370,30393280.610000003,31657650.610000003"
Medium,Velo,Government,2477166.62,1922090,"2477166.62,27916113.990000002,30393280.610000003"
Medium,Velo,Midmarket,127072.34999999999,90810,"127072.34999999999,31657650.610000003,31784722.960000005"
Medium,Velo,Small Business,2863642.5,2579125,"2863642.5,25052471.490000002,27916113.990000002"
Medium,VTT,Channel Partners,135694.08000000002,36804,"135694.08000000002,5288503.4,5424197.48"
Medium,VTT,Enterprise,99758.75,105240,"99758.75,5424197.48,5523956.23"
Medium,VTT,Government,1175665.4000000001,888320,"1175665.4000000001,4112838,5288503.4"
Medium,VTT,Midmarket,73106.25,52240,"73106.25,5523956.23,5597062.48"
Medium,VTT,Small Business,4112838,3707750,"4112838,0,4112838"
None,Amarilla,Channel Partners,49128,12282,"49128,1547720.5,1596848.5"
None,Amarilla,Enterprise,527437.5,506340,"527437.5,1020283,1547720.5"
None,Amarilla,Government,1020283,748135,"1020283,0,1020283"
None,Amarilla,Midmarket,9225,6150,"9225,1596848.5,1606073.5"
None,Carretera,Government,588340,422775,"588340,7272274,7860614"
None,Carretera,Midmarket,83040,55360,"83040,7860614,7943654"
None,Montana,Channel Partners,48756,12189,"48756,2382878,2431634"
None,Montana,Enterprise,376312.5,361260,"376312.5,1606073.5,1982386"
None,Montana,Government,53002,29720,"53002,2329876,2382878"
None,Montana,Midmarket,60090,40060,"60090,2269786,2329876"
None,Montana,Small Business,287400,239500,"287400,1982386,2269786"
None,Paseo,Channel Partners,45564,11391,"45564,4302001,4347565"
None,Paseo,Government,1541762,1134660,"1541762,2431634,3973396"
None,Paseo,Midmarket,92205,61470,"92205,4209796,4302001"
None,Paseo,Small Business,236400,197000,"236400,3973396,4209796"
None,Velo,Channel Partners,44472,11118,"44472,5331366,5375838"
None,Velo,Enterprise,621250,596400,"621250,4347565,4968815"
None,Velo,Government,362551,269025,"362551,4968815,5331366"
None,VTT,Channel Partners,34056,8514,"34056,7238218,7272274"
None,VTT,Government,570790,415190,"570790,6621438,7192228"
None,VTT,Midmarket,45990,30660,"45990,7192228,7238218"
None,VTT,Small Business,1245600,1038000,"1245600,5375838,6621438"
