Opportunities.Probability,Opportunities.Campaign Name,Opportunities.Product Name,Sum(Opportunities.Budget),
50.0%,Consumer Tradeshow,Ergonomic Seating,52875,"52875,372125,425000"
50.0%,Consumer Tradeshow,Laser Printers,6250,"6250,494000,500250"
50.0%,Consumer Tradeshow,Desktops,78000,"78000,294125,372125"
50.0%,Customer Care Campaign,Design app,57375,"57375,709000,766375"
50.0%,Customer Care Campaign,Mobile app,627000,"627000,0,627000"
50.0%,Customer Care Campaign,Tablets,16125,"16125,766375,782500"
50.0%,Customer Care Campaign,Scanners,82000,"82000,627000,709000"
50.0%,Customer Care Campaign,Laser Printers,5500,"5500,798250,803750"
50.0%,Customer Care Campaign,Desktops,15750,"15750,782500,798250"
50.0%,Customer Follow-up,Design app,570250,"570250,0,570250"
50.0%,Market Trends Newsletter,Stand-up Desks,97375,"97375,208375,305750"
50.0%,Market Trends Newsletter,Scanners,208375,"208375,0,208375"
50.0%,Market Trends Newsletter,Desktops,18250,"18250,344625,362875"
50.0%,Market Trends Newsletter,Webcams,38875,"38875,305750,344625"
50.0%,Monthly Newsletter,Design app,913500,"913500,0,913500"
50.0%,Monthly Newsletter,Stand-up Desks,41375,"41375,1294625,1336000"
50.0%,Monthly Newsletter,All-in-One,137375,"137375,1109750,1247125"
50.0%,Monthly Newsletter,Mobile app,47500,"47500,1247125,1294625"
50.0%,Monthly Newsletter,Laser Printers,196250,"196250,913500,1109750"
50.0%,New Product Releases,Stand-up Desks,579625,"579625,0,579625"
50.0%,New Product Releases,Tablets,4875,"4875,894750,899625"
50.0%,New Product Releases,Ergonomic Seating,216750,"216750,579625,796375"
50.0%,New Product Releases,Scanners,89500,"89500,796375,885875"
50.0%,New Product Releases,Webcams,8875,"8875,885875,894750"
50.0%,Twitter,Stand-up Desks,84000,"84000,0,84000"
50.0%,Twitter,Ergonomic Seating,46750,"46750,84000,130750"
50.0%,Twitter,Scanners,41500,"41500,130750,172250"
50.0%,Twitter,Desktops,28625,"28625,201875,230500"
50.0%,Twitter,Webcams,29625,"29625,172250,201875"
90.0%,,Design app,5401625,"5401625,0,5401625"
90.0%,,Stand-up Desks,1928250,"1928250,10996875,12925125"
90.0%,,All-in-One,2305000,"2305000,8691875,10996875"
90.0%,,Mobile app,1350750,"1350750,12925125,14275875"
90.0%,,Tablets,3290250,"3290250,5401625,8691875"
90.0%,,Ergonomic Seating,596500,"596500,14900625,15497125"
90.0%,,Laser Printers,624750,"624750,14275875,14900625"
90.0%,,Desktops,592375,"592375,15497125,16089500"
90.0%,,Webcams,351500,"351500,16089500,16441000"
90.0%,Consumer Tradeshow,Design app,112125,"112125,1146250,1258375"
90.0%,Consumer Tradeshow,Stand-up Desks,333875,"333875,511125,845000"
90.0%,Consumer Tradeshow,All-in-One,82375,"82375,1258375,1340750"
90.0%,Consumer Tradeshow,Mobile app,54875,"54875,1340750,1395625"
90.0%,Consumer Tradeshow,Tablets,511125,"511125,0,511125"
90.0%,Consumer Tradeshow,Ergonomic Seating,188875,"188875,845000,1033875"
90.0%,Consumer Tradeshow,Laser Printers,11875,"11875,1395625,1407500"
90.0%,Consumer Tradeshow,Desktops,112375,"112375,1033875,1146250"
90.0%,Customer Care Campaign,Design app,133750,"133750,763625,897375"
90.0%,Customer Care Campaign,Mobile app,589750,"589750,0,589750"
90.0%,Customer Care Campaign,Tablets,173875,"173875,589750,763625"
90.0%,Customer Care Campaign,Scanners,34375,"34375,1027500,1061875"
90.0%,Customer Care Campaign,Laser Printers,49250,"49250,978250,1027500"
90.0%,Customer Care Campaign,Desktops,80875,"80875,897375,978250"
90.0%,Customer Follow-up,Design app,1408375,"1408375,0,1408375"
90.0%,Market Trends Newsletter,Stand-up Desks,192875,"192875,0,192875"
90.0%,Market Trends Newsletter,Mobile app,20250,"20250,295750,316000"
90.0%,Market Trends Newsletter,Scanners,12250,"12250,316000,328250"
90.0%,Market Trends Newsletter,Desktops,39875,"39875,255875,295750"
90.0%,Market Trends Newsletter,Webcams,63000,"63000,192875,255875"
90.0%,Monthly Newsletter,Design app,1096500,"1096500,0,1096500"
90.0%,Monthly Newsletter,Stand-up Desks,48375,"48375,1595500,1643875"
90.0%,Monthly Newsletter,All-in-One,149625,"149625,1386500,1536125"
90.0%,Monthly Newsletter,Mobile app,59375,"59375,1536125,1595500"
90.0%,Monthly Newsletter,Laser Printers,290000,"290000,1096500,1386500"
90.0%,New Product Releases,Stand-up Desks,1050750,"1050750,0,1050750"
90.0%,New Product Releases,Tablets,6125,"6125,1479500,1485625"
90.0%,New Product Releases,Ergonomic Seating,387000,"387000,1050750,1437750"
90.0%,New Product Releases,Scanners,7625,"7625,1471875,1479500"
90.0%,New Product Releases,Webcams,34125,"34125,1437750,1471875"
90.0%,Twitter,Stand-up Desks,120500,"120500,0,120500"
90.0%,Twitter,Ergonomic Seating,42250,"42250,170500,212750"
90.0%,Twitter,Scanners,625,"625,249250,249875"
90.0%,Twitter,Desktops,50000,"50000,120500,170500"
90.0%,Twitter,Webcams,36500,"36500,212750,249250"
