100.County,100.Invoice/Item Number,100.City,Sum(100.Sale (Dollars)),,Sum(100.State Bottle Cost),Sum(100.State Bottle Retail),Sum(100.Store Number)
Jasper,S28867100001,NEWTON,34.86,"4604,0,4604",11.62,17.43,4604
Johnson,S28867700001,IOWA CITY,160.02,"2513,0,2513",35.55,53.34,2513
Johnson,S29161800004,IOWA CITY,148.5,"2622,2513,5135",99,148.5,2622
Kossuth,S28867000001,BANCROFT,52.29,"3842,11526,15368",11.62,17.43,3842
Kossuth,S28869400001,BANCROFT,160.02,"3842,3842,7684",35.55,53.34,3842
Kossuth,S29050700001,BANCROFT,96,"3842,7684,11526",6.4,9.6,3842
Kossuth,S29197900002,BANCROFT,488.52,"3842,0,3842",18.09,27.14,3842
Lee,S28868100001,KEOKUK,160.02,"2555,8295,10850",35.55,53.34,2555
Lee,S29048900001,KEOKUK,9.6,"2191,14399,16590",6.4,9.6,2191
Lee,S29050300001,FORT MADISON,19.2,"3549,10850,14399",6.4,9.6,3549
Lee,S29197600002,FORT MADISON,325.68,"3549,0,3549",18.09,27.14,3549
Lee,S29198800001,KEOKUK,162.84,"2191,3549,5740",18.09,27.14,2191
Lee,S29199500001,KEOKUK,162.84,"2555,5740,8295",18.09,27.14,2555
Linn,S29195800002,CEDAR RAPIDS,2442.6,"2552,0,2552",18.09,27.14,2552
Linn,S29198100002,CEDAR RAPIDS,162.84,"4162,2552,6714",18.09,27.14,4162
Linn,S29199100001,CEDAR RAPIDS,162.84,"2509,6714,9223",18.09,27.14,2509
Marion,S28865900001,KNOXVILLE,104.58,"2566,2566,5132",11.62,17.43,2566
Marion,S29137200001,KNOXVILLE,209.16,"2566,0,2566",11.62,17.43,2566
Marion,S29282800048,PELLA,104.58,"2642,5132,7774",11.62,17.43,2642
Marshall,S29049200001,MARSHALLTOWN,192,"2544,0,2544",6.4,9.6,2544
Marshall,S29199400001,MARSHALLTOWN,162.84,"2544,2544,5088",18.09,27.14,2544
Monona,S29134300126,ONAWA,148.5,"3723,0,3723",99,148.5,3723
Montgomery,S29195500002,RED OAK,325.68,"2518,0,2518",18.09,27.14,2518
Muscatine,S29082800001,MUSCATINE,148.5,"2573,2573,5146",99,148.5,2573
Muscatine,S29216200002,MUSCATINE,297,"2573,0,2573",99,148.5,2573
Muscatine,S29339300091,MUSCATINE,117.48,"2662,5146,7808",19.58,29.37,2662
O'Brien,S28868900001,SHELDON,160.02,"2661,6282,8943",35.55,53.34,2661
O'Brien,S29049900001,SHELDON,192,"2661,0,2661",6.4,9.6,2661
O'Brien,S29197700002,SHELDON,162.84,"3621,2661,6282",18.09,27.14,3621
Page,S28867400001,CLARINDA,53.34,"2205,7017,9222",35.55,53.34,2205
Page,S29049000001,CLARINDA,57.6,"2205,4812,7017",6.4,9.6,2205
Page,S29195400002,CLARINDA,325.68,"2205,2607,4812",18.09,27.14,2205
Page,S29196500002,SHENANDOAH,814.2,"2607,0,2607",18.09,27.14,2607
Polk,S28867800001,PLEASANT HILL,106.68,"2536,23000,25536",35.55,53.34,2536
Polk,S28868000001,ALTOONA,160.02,"2548,15238,17786",35.55,53.34,2548
Polk,S28868200001,DES MOINES,106.68,"2561,25536,28097",35.55,53.34,2561
Polk,S28868500001,DES MOINES,106.68,"2627,28097,30724",35.55,53.34,2627
Polk,S28869100001,ANKENY,160.02,"2666,17786,20452",35.55,53.34,2666
Polk,S29050000001,ANKENY,192,"2666,10036,12702",6.4,9.6,2666
Polk,S29176100012,ALTOONA,160.02,"2548,20452,23000",35.55,53.34,2548
Polk,S29191200001,DES MOINES,1057.32,"2248,2648,4896",19.58,29.37,2248
Polk,S29195600002,PLEASANT HILL,162.84,"2536,12702,15238",18.09,27.14,2536
Polk,S29196900002,WEST DES MOINES,1302.72,"2648,0,2648",18.09,27.14,2648
Polk,S29199200001,WEST DES MOINES,651.36,"2521,4896,7417",18.09,27.14,2521
Polk,S29249700269,WEST DES MOINES,297,"2619,7417,10036",99,148.5,2619
Pottawattamie,S29049700001,COUNCIL BLUFFS,192,"2641,0,2641",6.4,9.6,2641
Pottawattamie,S29197300002,COUNCIL BLUFFS,162.84,"3443,2641,6084",18.09,27.14,3443
Ringgold,S29050600001,MOUNT AYR,57.6,"3813,0,3813",6.4,9.6,3813
Scott,S29049300001,DAVENPORT,57.6,"2567,7730,10297",6.4,9.6,2567
Scott,S29142300101,DAVENPORT,104.58,"2637,0,2637",11.62,17.43,2637
Scott,S29198700002,LE CLAIRE,81.42,"5093,2637,7730",18.09,27.14,5093
Shelby,S28868600001,HARLAN,160.02,"2650,2650,5300",35.55,53.34,2650
Shelby,S29197000002,HARLAN,162.84,"2650,0,2650",18.09,27.14,2650
Story,S29199000001,AMES,651.36,"2501,0,2501",18.09,27.14,2501
Tama,S28869500001,TOLEDO,106.68,"3942,3942,7884",35.55,53.34,3942
Tama,S29050800001,TOLEDO,19.2,"3942,7884,11826",6.4,9.6,3942
Tama,S29198000002,TOLEDO,162.84,"3942,0,3942",18.09,27.14,3942
Washington,S28868800001,WASHINGTON,160.02,"2653,3525,6178",35.55,53.34,2653
Washington,S29197500002,WASHINGTON,162.84,"3525,0,3525",18.09,27.14,3525
Webster,S29050200001,FORT DODGE,38.4,"3514,7825,11339",6.4,9.6,3514
Webster,S29197400002,FORT DODGE,162.84,"3514,0,3514",18.09,27.14,3514
Webster,S29198200002,FORT DODGE,54.28,"4311,3514,7825",18.09,27.14,4311
Woodbury,S29049500001,SIOUX CITY,192,"2594,0,2594",6.4,9.6,2594
