financials.Month Name,financials.Country,financials.Product,Sum(financials. Sales),,Sum(financials.COGS)
December,France,VTT,407100.55,"407100.55,13862739.46,14269840.010000002",348425
December,France,Velo,262343.8,"262343.8,16036006.680000002,16298350.480000002",226745
December,France,Montana,497124.75,"497124.75,12473950.96,12971075.71",471660
December,France,Amarilla,261623.52,"261623.52,16298350.480000002,16559974.000000002",234888
December,France,Carretera,929971.05,"929971.05,6220401.1899999995,7150372.239999999",750575
December,Germany,Paseo,817910.57,"817910.57,7150372.239999999,7968282.81",648234
December,Germany,VTT,617681.2,"617681.2,11344020.530000001,11961701.73",502910
December,Germany,Velo,377762.51999999996,"377762.51999999996,14654380.610000001,15032143.13",321419
December,Germany,Montana,307846.3,"307846.3,15728160.38,16036006.680000002",295330
December,Germany,Amarilla,384540.6,"384540.6,14269840.010000002,14654380.610000001",324920
December,Germany,Carretera,635458.1,"635458.1,10081441.55,10716899.65",501220
December,Mexico,Paseo,627120.88,"627120.88,10716899.65,11344020.530000001",519792
December,Mexico,VTT,690439.5700000001,"690439.5700000001,8713423.08,9403862.65",519335
December,Mexico,Velo,198670.24,"198670.24,17032772.17,17231442.41",167442
December,Mexico,Montana,478855.95,"478855.95,12971075.71,13449931.66",433130
December,Mexico,Amarilla,219235.95,"219235.95,16813536.220000003,17032772.17",184445
December,Mexico,Carretera,745140.27,"745140.27,7968282.81,8713423.08",695245
February,United States of America,Paseo,68436.3,"68436.3,0,68436.3",41550
February,United States of America,VTT,827604,"827604,68436.3,896040.3",711000
February,United States of America,Velo,323712.5,"323712.5,896040.3,1219752.8",330600
February,United States of America,Montana,7904.82,"7904.82,1219752.8,1227657.62",6490
February,United States of America,Amarilla,83160,"83160,1227657.62,1310817.62",70200
February,United States of America,Carretera,22073.04,"22073.04,1310817.62,1332890.6600000001",5574
February,Canada,Paseo,40576.1,"40576.1,1332890.6600000001,1373466.7600000002",26550
February,Canada,VTT,600300,"600300,1373466.7600000002,1973766.7600000002",500250
February,Canada,Velo,111860,"111860,1973766.7600000002,2085626.7600000002",114240
February,Canada,Montana,3142.7200000000003,"3142.7200000000003,2085626.7600000002,2088769.4800000002",2440
February,Canada,Amarilla,705600,"705600,2088769.4800000002,2794369.4800000004",582400
February,Canada,Carretera,20687.16,"20687.16,2794369.4800000004,2815056.6400000006",5811
February,France,Paseo,58852.6,"58852.6,2815056.6400000006,2873909.2400000007",35990
February,France,VTT,267561,"267561,2873909.2400000007,3141470.2400000007",239750
February,France,Velo,225500,"225500,3141470.2400000007,3366970.2400000007",216480
February,France,Montana,1763.8600000000001,"1763.8600000000001,3366970.2400000007,3368734.1000000006",1465
February,France,Amarilla,962500,"962500,3368734.1000000006,4331234.100000001",715000
February,France,Carretera,21261,"21261,4331234.100000001,4352495.100000001",5595
February,Germany,Paseo,50705.399999999994,"50705.399999999994,4352495.100000001,4403200.500000001",29860
February,Germany,VTT,725907,"725907,4403200.500000001,5129107.500000001",664750
February,Germany,Velo,95831.25,"95831.25,5129107.500000001,5224938.750000001",96840
February,Germany,Montana,13294.82,"13294.82,5224938.750000001,5238233.570000001",9790
February,Germany,Amarilla,448875,"448875,5238233.570000001,5687108.570000001",351000
February,Germany,Carretera,12722.4,"12722.4,5687108.570000001,5699830.970000002",3348
February,Mexico,Paseo,19082,"19082,5699830.970000002,5718912.970000002",12340
February,Mexico,VTT,766413,"766413,5718912.970000002,6485325.970000002",686750
February,Mexico,Velo,169312.5,"169312.5,6485325.970000002,6654638.470000002",189000
February,Mexico,Montana,8139.6,"8139.6,6654638.470000002,6662778.070000001",6840
February,Mexico,Amarilla,626640,"626640,6662778.070000001,7289418.070000001",484900
February,Mexico,Carretera,8113.32,"8113.32,7289418.070000001,7297531.3900000015",2181
January,United States of America,Paseo,931440.465,"931440.465,0,931440.465",880942.5
January,United States of America,VTT,21359.52,"21359.52,931440.465,952799.985",5868
January,United States of America,Velo,7908.75,"7908.75,952799.985,960708.735",5550
January,United States of America,Montana,299171.25,"299171.25,960708.735,1259879.9849999999",255450
January,United States of America,Amarilla,65137.5,"65137.5,1259879.9849999999,1325017.4849999999",69480
January,United States of America,Carretera,21009,"21009,1325017.4849999999,1346026.4849999999",11175
January,Canada,Paseo,261657.72,"261657.72,1346026.4849999999,1607684.2049999998",239505
January,Canada,VTT,36208.62,"36208.62,1607684.2049999998,1643892.825",9733.5
January,Canada,Velo,5126.4,"5126.4,1643892.825,1649019.2249999999",3840
January,Canada,Montana,670477.5,"670477.5,1649019.2249999999,2319496.7249999996",579150
January,Canada,Amarilla,180416.25,"180416.25,2319496.7249999996,2499912.9749999996",199080
January,Canada,Carretera,32370,"32370,2499912.9749999996,2532282.9749999996",16185
January,France,Paseo,735778.35,"735778.35,2532282.9749999996,3268061.3249999997",628350
January,France,VTT,18519.12,"18519.12,3268061.3249999997,3286580.445",5202
January,France,Velo,52167.375,"52167.375,3286580.445,3338747.82",39975
January,France,Montana,460346.25,"460346.25,3338747.82,3799094.07",359970
January,France,Amarilla,233531.25,"233531.25,3799094.07,4032625.32",238500
January,France,Carretera,44378.399999999994,"44378.399999999994,4032625.32,4077003.7199999997",25215
January,Germany,Paseo,219750.8,"219750.8,4077003.7199999997,4296754.52",208610
January,Germany,VTT,28855.56,"28855.56,4296754.52,4325610.079999999",7437
January,Germany,Velo,9193.5,"9193.5,4325610.079999999,4334803.579999999",6810
January,Germany,Montana,238609,"238609,4334803.579999999,4573412.579999999",199160
January,Germany,Amarilla,352106.25,"352106.25,4573412.579999999,4925518.829999999",379800
January,Germany,Carretera,26420,"26420,4925518.829999999,4951938.829999999",13210
January,Mexico,Paseo,1470059.5,"1470059.5,4951938.829999999,6421998.329999999",1269670
January,Mexico,VTT,61632.5,"61632.5,6421998.329999999,6483630.829999999",66480
January,Mexico,Velo,51220.25,"51220.25,6483630.829999999,6534851.079999999",36075
January,Mexico,Montana,26114.4,"26114.4,6534851.079999999,6560965.4799999995",7020
January,Mexico,Amarilla,46796.2,"46796.2,6560965.4799999995,6607761.68",26290
July,United States of America,Paseo,1175140.98,"1175140.98,0,1175140.98",901108.5
July,United States of America,VTT,8031.599999999999,"8031.599999999999,1175140.98,1183172.58",4365
July,United States of America,Velo,634680,"634680,1183172.58,1817852.58",615000
July,United States of America,Montana,430706.25,"430706.25,1817852.58,2248558.83",435240
July,United States of America,Amarilla,42713.325,"42713.325,2248558.83,2291272.1550000003",31995
July,United States of America,Carretera,17525.97,"17525.97,2291272.1550000003,2308798.1250000005",12645
July,Canada,Paseo,698549.43,"698549.43,2308798.1250000005,3007347.5550000006",559248
July,Canada,VTT,14713.5,"14713.5,3007347.5550000006,3022061.0550000006",8655
July,Canada,Velo,1035625.5,"1035625.5,3022061.0550000006,4057686.5550000006",948375
July,Canada,Montana,333187.5,"333187.5,4057686.5550000006,4390874.055000001",319860
July,Canada,Amarilla,22256.324999999997,"22256.324999999997,4390874.055000001,4413130.380000001",16305
July,Canada,Carretera,5217.03,"5217.03,4413130.380000001,4418347.410000001",4095
July,France,Paseo,384464.34,"384464.34,4418347.410000001,4802811.750000001",365836.5
July,France,VTT,51143.399999999994,"51143.399999999994,4802811.750000001,4853955.150000001",38745
July,France,Velo,664146,"664146,4853955.150000001,5518101.150000001",580890
July,France,Montana,27234.899999999998,"27234.899999999998,5518101.150000001,5545336.050000002",13755
July,France,Amarilla,21076.44,"21076.44,5545336.050000002,5566412.490000002",17107.5
July,Germany,Paseo,412790.25,"412790.25,5566412.490000002,5979202.740000002",422661
July,Germany,VTT,6273,"6273,5979202.740000002,5985475.740000002",4920
July,Germany,Velo,416279.5,"416279.5,5985475.740000002,6401755.240000002",339820
July,Germany,Montana,11868,"11868,6401755.240000002,6413623.240000002",6450
July,Germany,Amarilla,11802,"11802,6413623.240000002,6425425.240000002",8430
July,Germany,Carretera,750537,"750537,6425425.240000002,7175962.240000002",702750
July,Mexico,Paseo,231557.49,"231557.49,7175962.240000002,7407519.730000002",220473
July,Mexico,VTT,8653.5,"8653.5,7407519.730000002,7416173.230000002",6410
July,Mexico,Velo,429660,"429660,7416173.230000002,7845833.230000002",362700
July,Mexico,Montana,39237,"39237,7845833.230000002,7885070.230000002",22550
July,Mexico,Amarilla,11191.95,"11191.95,7885070.230000002,7896262.1800000025",8415
July,Mexico,Carretera,206658,"206658,7896262.1800000025,8102920.1800000025",200250
June,United States of America,Paseo,585996.1699999999,"585996.1699999999,0,585996.1699999999",494936
June,United States of America,VTT,123465.6,"123465.6,585996.1699999999,709461.7699999999",112910
June,United States of America,Velo,218886.08000000002,"218886.08000000002,709461.7699999999,928347.8499999999",171055
June,United States of America,Montana,37018.72,"37018.72,928347.8499999999,965366.5699999998",16246
June,United States of America,Amarilla,42309.880000000005,"42309.880000000005,965366.5699999998,1007676.4499999998",27355
June,United States of America,Carretera,315934.35,"315934.35,1007676.4499999998,1323610.7999999998",273420
June,Canada,Paseo,1302473.25,"1302473.25,1323610.7999999998,2626084.05",1155334
June,Canada,VTT,212251.65,"212251.65,2626084.05,2838335.6999999997",218400
June,Canada,Velo,808832.85,"808832.85,2838335.6999999997,3647168.55",689995
June,Canada,Montana,43243.2,"43243.2,3647168.55,3690411.75",14634
June,Canada,Amarilla,20416.050000000003,"20416.050000000003,3690411.75,3710827.8",12755
June,Canada,Carretera,338762.4,"338762.4,3710827.8,4049590.1999999997",301940
June,France,Paseo,736694.89,"736694.89,4049590.1999999997,4786285.09",601103
June,France,VTT,130061.25,"130061.25,4786285.09,4916346.34",116220
June,France,Velo,499431.1,"499431.1,4916346.34,5415777.4399999995",394910
June,France,Montana,60107.64,"60107.64,5415777.4399999995,5475885.079999999",24693
June,France,Amarilla,45227.1,"45227.1,5475885.079999999,5521112.179999999",24940
June,France,Carretera,157662,"157662,5521112.179999999,5678774.179999999",133780
June,Germany,Paseo,768095.9,"768095.9,5678774.179999999,6446870.079999999",635870
June,Germany,VTT,218739.22,"218739.22,6446870.079999999,6665609.299999999",208970
June,Germany,Velo,385696.72,"385696.72,6665609.299999999,7051306.019999999",277885
June,Germany,Montana,18540,"18540,7051306.019999999,7069846.019999999",4635
June,Germany,Amarilla,25134.4,"25134.4,7069846.019999999,7094980.419999999",13660
June,Germany,Carretera,213819,"213819,7094980.419999999,7308799.419999999",181130
June,Mexico,Paseo,1051834.6,"1051834.6,7308799.419999999,8360634.02",935180
June,Mexico,VTT,90951.84,"90951.84,8360634.02,8451585.86",86930
June,Mexico,Velo,16162.6,"16162.6,8451585.86,8467748.459999999",9302
June,Mexico,Montana,43355.76,"43355.76,8467748.459999999,8511104.219999999",26512
June,Mexico,Amarilla,697851.6,"697851.6,8511104.219999999,9208955.819999998",625380
June,Mexico,Carretera,309938,"309938,9208955.819999998,9518893.819999998",255060
March,United States of America,Paseo,373008.6,"373008.6,0,373008.6",368770
March,United States of America,VTT,9837.17,"9837.17,373008.6,382845.76999999996",7895
March,United States of America,Velo,16876.8,"16876.8,382845.76999999996,399722.56999999995",4395
March,United States of America,Montana,8936.4,"8936.4,399722.56999999995,408658.97",6770
March,United States of America,Amarilla,808110,"808110,408658.97,1216768.97",748250
March,United States of America,Carretera,573205.5,"573205.5,1216768.97,1789974.47",457860
March,Canada,Paseo,256859.1,"256859.1,1789974.47,2046833.57",237160
March,Canada,VTT,9189.18,"9189.18,2046833.57,2056022.75",6630
March,Canada,Velo,6601.92,"6601.92,2056022.75,2062624.67",1794
March,Canada,Montana,28324.8,"28324.8,2062624.67,2090949.47",19670
March,Canada,Amarilla,229104,"229104,2090949.47,2320053.4699999997",222000
March,Canada,Carretera,281053.5,"281053.5,2320053.4699999997,2601106.9699999997",239980
March,France,Paseo,318390.75,"318390.75,2601106.9699999997,2919497.7199999997",305740
March,France,VTT,9184.56,"9184.56,2919497.7199999997,2928682.28",7455
March,France,Velo,21479.64,"21479.64,2928682.28,2950161.92",5901
March,France,Montana,34513.8,"34513.8,2950161.92,2984675.7199999997",25010
March,France,Amarilla,631125,"631125,2984675.7199999997,3615800.7199999997",618750
March,France,Carretera,545055,"545055,3615800.7199999997,4160855.7199999997",465400
March,Germany,Paseo,115086,"115086,4160855.7199999997,4275941.72",106980
March,Germany,VTT,1822.59,"1822.59,4275941.72,4277764.31",1315
March,Germany,Velo,25932,"25932,4277764.31,4303696.31",6483
March,Germany,Montana,13815,"13815,4303696.31,4317511.31",9210
March,Germany,Amarilla,76146,"76146,4317511.31,4393657.31",64750
March,Germany,Carretera,246708,"246708,4393657.31,4640365.31",205920
March,Mexico,Paseo,148081.6,"148081.6,4640365.31,4788446.909999999",144900
March,Mexico,VTT,17476.06,"17476.06,4788446.909999999,4805922.969999999",14515
March,Mexico,Velo,5100,"5100,4805922.969999999,4811022.969999999",1500
March,Mexico,Montana,32877.9,"32877.9,4811022.969999999,4843900.869999999",22140
March,Mexico,Amarilla,323694,"323694,4843900.869999999,5167594.869999999",275250
March,Mexico,Carretera,419265,"419265,5167594.869999999,5586859.869999999",314600
May,United States of America,Paseo,855858.55,"855858.55,0,855858.55",741135
May,United States of America,VTT,18421.2,"18421.2,855858.55,874279.75",5418
May,United States of America,Velo,10665,"10665,874279.75,884944.75",7900
May,United States of America,Montana,728595,"728595,884944.75,1613539.75",601380
May,United States of America,Amarilla,305730,"305730,1613539.75,1919269.75",341280
May,United States of America,Carretera,29979.6,"29979.6,1919269.75,1949249.35",17430
May,Canada,Paseo,476513.08,"476513.08,1949249.35,2425762.43",426785
May,Canada,VTT,22271.04,"22271.04,2425762.43,2448033.47",6327
May,Canada,Velo,17604.9,"17604.9,2448033.47,2465638.37",12620
May,Canada,Montana,60200,"60200,2465638.37,2525838.37",52000
May,Canada,Amarilla,191231.25,"191231.25,2525838.37,2717069.62",197400
May,Canada,Carretera,16121.4,"16121.4,2717069.62,2733191.02",8310
May,France,Paseo,277029.9,"277029.9,2733191.02,3010220.92",234650
May,France,VTT,9976.32,"9976.32,3010220.92,3020197.2399999998",2598
May,France,Velo,36031.5,"36031.5,3020197.2399999998,3056228.7399999998",28260
May,France,Montana,530621,"530621,3056228.7399999998,3586849.7399999998",433160
May,France,Amarilla,159421.25,"159421.25,3586849.7399999998,3746270.9899999998",171960
May,France,Carretera,29697,"29697,3746270.9899999998,3775967.9899999998",15630
May,Germany,Paseo,515083.8,"515083.8,3775967.9899999998,4291051.79",437475
May,Germany,VTT,9609.6,"9609.6,4291051.79,4300661.39",2640
May,Germany,Velo,21573,"21573,4300661.39,4322234.39",15300
May,Germany,Montana,480340,"480340,4322234.39,4802574.39",379600
May,Germany,Amarilla,278810,"278810,4802574.39,5081384.39",273120
May,Germany,Carretera,12066.6,"12066.6,5081384.39,5093450.989999999",6630
May,Mexico,Paseo,1007742.5,"1007742.5,5093450.989999999,6101193.489999999",889010
May,Mexico,VTT,38362.5,"38362.5,6101193.489999999,6139555.989999999",40920
May,Mexico,Velo,5852.91,"5852.91,6139555.989999999,6145408.899999999",4260
May,Mexico,Montana,28100.16,"28100.16,6145408.899999999,6173509.06",7983
May,Mexico,Amarilla,36702,"36702,6173509.06,6210211.06",20390
November,United States of America,Paseo,1825088.5,"1825088.5,0,1825088.5",1556826
November,United States of America,VTT,286605,"286605,1825088.5,2111693.5",299090
November,United States of America,Velo,659930.97,"659930.97,2111693.5,2771624.4699999997",646235
November,United States of America,Montana,233665.44,"233665.44,2771624.4699999997,3005289.9099999997",224649
November,United States of America,Amarilla,57859.2,"57859.2,3005289.9099999997,3063149.11",37840
November,United States of America,Carretera,30353.54,"30353.54,3063149.11,3093502.65",21615
November,Canada,Paseo,1593819.04,"1593819.04,3093502.65,4687321.6899999995",1329666
November,Canada,VTT,650618,"650618,4687321.6899999995,5337939.6899999995",687310
November,Canada,Velo,25761.4,"25761.4,5337939.6899999995,5363701.09",19500
November,Canada,Montana,25345.32,"25345.32,5363701.09,5389046.41",6963
November,Canada,Amarilla,20794.8,"20794.8,5389046.41,5409841.21",11180
November,Canada,Carretera,56320.8,"56320.8,5409841.21,5466162.01",42490
November,France,Paseo,1451917.6,"1451917.6,5466162.01,6918079.609999999",1250515
November,France,VTT,264632.4,"264632.4,6918079.609999999,7182712.01",236100
November,France,Velo,110964.27,"110964.27,7182712.01,7293676.279999999",99695
November,France,Montana,237370.47,"237370.47,7293676.279999999,7531046.749999999",229866
November,France,Amarilla,23210.449999999997,"23210.449999999997,7531046.749999999,7554257.199999999",12620
November,France,Carretera,21476.7,"21476.7,7554257.199999999,7575733.899999999",15625
November,Germany,Paseo,1177877.5,"1177877.5,7575733.899999999,8753611.399999999",995855
November,Germany,VTT,102293,"102293,8753611.399999999,8855904.399999999",89210
November,Germany,Velo,671077.5,"671077.5,8855904.399999999,9526981.899999999",647325
November,Germany,Montana,317323.8,"317323.8,9526981.899999999,9844305.7",307026
November,Germany,Amarilla,41208.5,"41208.5,9844305.7,9885514.2",24900
November,Germany,Carretera,26274.1,"26274.1,9885514.2,9911788.299999999",20210
November,Mexico,Paseo,1607033.58,"1607033.58,9911788.299999999,11518821.879999999",1416269
November,Mexico,VTT,120871.15,"120871.15,11518821.879999999,11639693.03",116470
November,Mexico,Velo,688676.14,"688676.14,11639693.03,12328369.17",657915
November,Mexico,Montana,211464.4,"211464.4,12328369.17,12539833.57",201270
November,Mexico,Amarilla,54953.8,"54953.8,12539833.57,12594787.370000001",35640
November,Mexico,Carretera,56630.130000000005,"56630.130000000005,12594787.370000001,12651417.500000002",41440
October,United States of America,Paseo,414127.73,"414127.73,19269065.750000004,19683193.480000004",328865
October,United States of America,VTT,1204444.3,"1204444.3,3991782.06,5196226.36",1096560
October,United States of America,Velo,1138051.6,"1138051.6,5196226.36,6334277.960000001",1028400
October,United States of America,Montana,130775.76999999999,"130775.76999999999,21439797.490000002,21570573.26",110200
October,United States of America,Amarilla,286918.88,"286918.88,20399974.01,20686892.89",210187
October,United States of America,Carretera,282784.72,"282784.72,20686892.89,20969677.61",268638
October,Canada,Paseo,784094.72,"784094.72,12198076.190000003,12982170.910000004",630602
October,Canada,VTT,502184.25,"502184.25,17848805.94,18350990.19",470790
October,Canada,Velo,760294.75,"760294.75,13751516.240000004,14511810.990000004",679670
October,Canada,Montana,100857.76,"100857.76,21570573.26,21671431.020000003",81815
October,Canada,Amarilla,851812.6399999999,"851812.6399999999,11346263.550000003,12198076.190000003",680320
October,Canada,Carretera,446288.64,"446288.64,18822777.110000003,19269065.750000004",399037
October,France,Paseo,471786.92,"471786.92,18350990.19,18822777.110000003",445338
October,France,VTT,1121797.05,"1121797.05,6334277.960000001,7456075.010000001",905210
October,France,Velo,1879151.6,"1879151.6,2112630.46,3991782.06",1515270
October,France,Montana,687515.94,"687515.94,15228843.110000003,15916359.050000003",589595
October,France,Amarilla,717032.12,"717032.12,14511810.990000004,15228843.110000003",559609
October,France,Carretera,892854.89,"892854.89,9581462.520000001,10474317.410000002",841764
October,Germany,Paseo,326653.63,"326653.63,20073320.380000003,20399974.01",294908
October,Germany,VTT,1095301.2,"1095301.2,7456075.010000001,8551376.21",834520
October,Germany,Velo,2112630.46,"2112630.46,0,2112630.46",1620086
October,Germany,Montana,643012.95,"643012.95,16586821.000000002,17229833.950000003",540965
October,Germany,Amarilla,1030086.3099999999,"1030086.3099999999,8551376.21,9581462.520000001",778371
October,Germany,Carretera,769345.33,"769345.33,12982170.910000004,13751516.240000004",691248
October,Mexico,Paseo,618971.99,"618971.99,17229833.950000003,17848805.94",592316
October,Mexico,VTT,670461.95,"670461.95,15916359.050000003,16586821.000000002",515305
October,Mexico,Velo,390126.9,"390126.9,19683193.480000004,20073320.380000003",357120
October,Mexico,Montana,209056.94,"209056.94,21230740.55,21439797.490000002",182595
October,Mexico,Amarilla,261062.94,"261062.94,20969677.61,21230740.55",235805
October,Mexico,Carretera,871946.14,"871946.14,10474317.410000002,11346263.550000003",746541
September,United States of America,Paseo,86324.35,"86324.35,0,86324.35",59440
September,United States of America,VTT,626955,"626955,86324.35,713279.35",557490
September,United States of America,Velo,193681.2,"193681.2,713279.35,906960.55",198880
September,United States of America,Montana,756572.4,"756572.4,906960.55,1663532.9500000002",636140
September,United States of America,Amarilla,683242.82,"683242.82,1663532.9500000002,2346775.77",544427
September,United States of America,Carretera,63500.58,"63500.58,2346775.77,2410276.35",45441
September,Canada,Paseo,90443.85,"90443.85,2410276.35,2500720.2",59365
September,Canada,VTT,780868,"780868,2500720.2,3281588.2",695480
September,Canada,Velo,115299.45,"115299.45,3281588.2,3396887.6500000004",94500
September,Canada,Montana,356443.76,"356443.76,3396887.6500000004,3753331.41",322690
September,Canada,Amarilla,251861.16,"251861.16,3753331.41,4005192.5700000003",192103
September,Canada,Carretera,282926.6,"282926.6,4005192.5700000003,4288119.17",294255
September,France,Paseo,80832.81,"80832.81,4288119.17,4368951.9799999995",52195
September,France,VTT,1204145.28,"1204145.28,4368951.9799999995,5573097.26",941472
September,France,Velo,120372.75,"120372.75,5573097.26,5693470.01",107610
September,France,Montana,91599.76,"91599.76,5693470.01,5785069.77",83220
September,France,Amarilla,936138,"936138,5785069.77,6721207.77",747760
September,France,Carretera,141703.98,"141703.98,6721207.77,6862911.75",130773
September,Germany,Paseo,375509.51,"375509.51,6862911.75,7238421.26",319605
September,Germany,VTT,317561.4,"317561.4,7238421.26,7555982.66",253145
September,Germany,Velo,251226.75,"251226.75,7555982.66,7807209.41",257040
September,Germany,Montana,625103.5,"625103.5,7807209.41,8432312.91",477950
September,Germany,Amarilla,756304.5,"756304.5,8432312.91,9188617.41",615100
September,Germany,Carretera,24944.399999999998,"24944.399999999998,9188617.41,9213561.81",9160
September,Mexico,Paseo,340501.6,"340501.6,9213561.81,9554063.41",260450
September,Mexico,VTT,127373.4,"127373.4,9554063.41,9681436.81",111015
September,Mexico,Velo,248756.75,"248756.75,9681436.81,9930193.56",259750
September,Mexico,Montana,254307.2,"254307.2,9930193.56,10184500.76",199300
September,Mexico,Amarilla,657744.75,"657744.75,10184500.76,10842245.51",550180
September,Mexico,Carretera,40451.76,"40451.76,10842245.51,10882697.27",20026
