financials.Segment,financials.Month Name,financials.Product,financials.Discount Band,financials.Country,Sum(financials. Sales),Sum(financials.COGS),
Channel Partners,October,Paseo,Medium,Mexico,4007.64,1101,"4007.64,25932.72,29940.36"
Channel Partners,October,Velo,High,Germany,5040.96,1416,"5040.96,0,5040.96"
Channel Partners,October,Velo,High,Mexico,4280.4,1230,"4280.4,5040.96,9321.36"
Channel Partners,September,Amarilla,High,Canada,29156.16,8283,"29156.16,0,29156.16"
Channel Partners,September,Amarilla,Low,United States of America,23629.32,5967,"23629.32,0,23629.32"
Channel Partners,September,Carretera,Low,United States of America,22663.08,5841,"22663.08,31731.48,54394.56"
Channel Partners,September,Carretera,Low,Canada,17166.6,4335,"17166.6,54394.56,71561.16"
Channel Partners,September,Carretera,Low,France,31731.48,8013,"31731.48,0,31731.48"
Channel Partners,September,Carretera,Medium,Germany,17253.6,4740,"17253.6,0,17253.6"
Channel Partners,September,Carretera,Medium,Mexico,6339.36,1686,"6339.36,17253.6,23592.96"
Channel Partners,September,VTT,High,Mexico,10733.4,3015,"10733.4,0,10733.4"
Channel Partners,September,VTT,Medium,France,24395.28,6702,"24395.28,24719.4,49114.68"
Channel Partners,September,VTT,Medium,Germany,24719.4,6645,"24719.4,0,24719.4"
Channel Partners,January,Montana,Medium,Mexico,26114.4,7020,"26114.4,0,26114.4"
Channel Partners,January,VTT,High,France,18519.12,5202,"18519.12,0,18519.12"
Channel Partners,January,VTT,Low,Germany,28855.56,7437,"28855.56,0,28855.56"
Channel Partners,January,VTT,Medium,United States of America,21359.52,5868,"21359.52,36208.62,57568.14"
Channel Partners,January,VTT,Medium,Canada,36208.62,9733.5,"36208.62,0,36208.62"
Channel Partners,May,Montana,High,Mexico,28100.16,7983,"28100.16,0,28100.16"
Channel Partners,May,VTT,High,United States of America,18421.2,5418,"18421.2,22271.04,40692.240000000005"
Channel Partners,May,VTT,High,Canada,22271.04,6327,"22271.04,0,22271.04"
Channel Partners,May,VTT,Low,France,9976.32,2598,"9976.32,0,9976.32"
Channel Partners,May,VTT,Medium,Germany,9609.6,2640,"9609.6,0,9609.6"
Channel Partners,February,Carretera,High,Canada,20687.16,5811,"20687.16,0,20687.16"
Channel Partners,February,Carretera,Low,United States of America,22073.04,5574,"22073.04,0,22073.04"
Channel Partners,February,Carretera,Medium,France,21261,5595,"21261,0,21261"
Channel Partners,February,Carretera,Medium,Germany,12722.4,3348,"12722.4,21261,33983.4"
Channel Partners,February,Carretera,Medium,Mexico,8113.32,2181,"8113.32,33983.4,42096.72"
Channel Partners,July,Paseo,High,Canada,42997.68,12078,"42997.68,0,42997.68"
Channel Partners,July,Paseo,High,France,25904.340000000004,7276.5,"25904.340000000004,42997.68,68902.02"
Channel Partners,July,Paseo,High,Mexico,5961.24,1713,"5961.24,68902.02,74863.26000000001"
Channel Partners,July,Paseo,Low,United States of America,15940.98,4108.5,"15940.98,0,15940.98"
Channel Partners,July,Paseo,None,Germany,4404,1101,"4404,0,4404"
Channel Partners,June,Montana,High,Mexico,6305.76,1812,"6305.76,0,6305.76"
Channel Partners,June,Montana,Low,United States of America,13429.92,3426,"13429.92,22127.64,35557.56"
Channel Partners,June,Montana,Low,France,22127.64,5703,"22127.64,0,22127.64"
Channel Partners,June,Montana,None,Canada,30216,7554,"30216,0,30216"
Channel Partners,June,Montana,None,Germany,18540,4635,"18540,30216,48756"
Channel Partners,June,Paseo,Low,United States of America,13429.92,3426,"13429.92,22127.64,35557.56"
Channel Partners,June,Paseo,Low,France,22127.64,5703,"22127.64,0,22127.64"
Channel Partners,June,Paseo,None,Canada,30216,7554,"30216,0,30216"
Channel Partners,June,Velo,High,Mexico,6305.76,1812,"6305.76,0,6305.76"
Channel Partners,June,Velo,None,Germany,18540,4635,"18540,0,18540"
Channel Partners,November,Montana,Low,Mexico,8114.4,2070,"8114.4,0,8114.4"
Channel Partners,November,Montana,Medium,United States of America,30715.44,8169,"30715.44,0,30715.44"
Channel Partners,November,Montana,Medium,Canada,25345.32,6963,"25345.32,83550.95999999999,108896.28"
Channel Partners,November,Montana,Medium,France,26136.72,7026,"26136.72,57414.24,83550.95999999999"
Channel Partners,November,Montana,Medium,Germany,26698.8,7026,"26698.8,30715.44,57414.24"
Channel Partners,November,Paseo,High,Canada,22931.04,6666,"22931.04,0,22931.04"
Channel Partners,November,Paseo,Low,France,20991.6,5355,"20991.6,0,20991.6"
Channel Partners,November,Paseo,Medium,Germany,19383,5325,"19383,30835.08,50218.08"
Channel Partners,November,Paseo,Medium,Mexico,30835.08,8289,"30835.08,0,30835.08"
Channel Partners,November,Paseo,None,United States of America,10944,2736,"10944,0,10944"
Channel Partners,March,Velo,High,Mexico,5100,1500,"5100,0,5100"
Channel Partners,March,Velo,Low,United States of America,16876.8,4395,"16876.8,0,16876.8"
Channel Partners,March,Velo,Medium,Canada,6601.92,1794,"6601.92,21479.64,28081.559999999998"
Channel Partners,March,Velo,Medium,France,21479.64,5901,"21479.64,0,21479.64"
Channel Partners,March,Velo,None,Germany,25932,6483,"25932,0,25932"
Enterprise,April,Amarilla,Low,Mexico,128880,128880,"128880,0,128880"
Enterprise,April,Amarilla,None,Germany,527437.5,506340,"527437.5,0,527437.5"
Enterprise,April,Carretera,High,United States of America,387618.75,413460,"387618.75,0,387618.75"
Enterprise,April,Carretera,Low,Canada,90956.25,89100,"90956.25,514524.375,605480.625"
Enterprise,April,Carretera,Low,France,514524.375,509220,"514524.375,0,514524.375"
Enterprise,August,Carretera,High,France,124737.5,140880,"124737.5,293993.75,418731.25"
Enterprise,August,Carretera,High,Germany,293993.75,332040,"293993.75,0,293993.75"
Enterprise,August,Carretera,Medium,Mexico,177100,184800,"177100,0,177100"
Enterprise,August,Velo,Low,Canada,114221.25,110760,"114221.25,0,114221.25"
Enterprise,August,Velo,None,United States of America,352625,338520,"352625,0,352625"
Enterprise,December,Carretera,High,France,166725,177840,"166725,303257.5,469982.5"
Enterprise,December,Carretera,High,Mexico,303257.5,338520,"303257.5,0,303257.5"
Enterprise,December,Carretera,Medium,Germany,104222.5,106440,"104222.5,0,104222.5"
Enterprise,December,Montana,Low,France,156048.75,154440,"156048.75,206852.5,362901.25"
Enterprise,December,Montana,Low,Germany,206852.5,204720,"206852.5,0,206852.5"
Enterprise,December,Montana,Low,Mexico,136560,136560,"136560,362901.25,499461.25"
Enterprise,December,Montana,Medium,United States of America,318158.75,335640,"318158.75,0,318158.75"
Enterprise,December,Paseo,Low,Canada,334302.5,327480,"334302.5,0,334302.5"
Enterprise,December,Paseo,Low,France,156048.75,154440,"156048.75,541155,697203.75"
Enterprise,December,Paseo,Low,Germany,206852.5,204720,"206852.5,334302.5,541155"
Enterprise,December,Paseo,Low,Mexico,136560,136560,"136560,697203.75,833763.75"
Enterprise,December,Paseo,Medium,United States of America,318158.75,335640,"318158.75,0,318158.75"
Enterprise,December,Velo,High,United States of America,259037.5,292560,"259037.5,0,259037.5"
Enterprise,December,Velo,High,Canada,215550,229920,"215550,259037.5,474587.5"
Enterprise,December,VTT,Low,Canada,334302.5,327480,"334302.5,0,334302.5"
Enterprise,October,Carretera,High,France,271561.25,292920,"271561.25,0,271561.25"
Enterprise,October,Carretera,High,Germany,115281.25,130200,"115281.25,508721.25,624002.5"
Enterprise,October,Carretera,High,Mexico,237160,258720,"237160,271561.25,508721.25"
Enterprise,October,Montana,Low,United States of America,82046.25,79560,"82046.25,0,82046.25"
Enterprise,October,Montana,None,Canada,43125,41400,"43125,0,43125"
Enterprise,October,Paseo,High,France,271561.25,292920,"271561.25,0,271561.25"
Enterprise,October,Paseo,High,Germany,115281.25,130200,"115281.25,508721.25,624002.5"
Enterprise,October,Paseo,High,Mexico,237160,258720,"237160,271561.25,508721.25"
Enterprise,October,Paseo,Low,Canada,243591.25,241080,"243591.25,262762.5,506353.75"
Enterprise,October,Paseo,Low,Germany,99102.5,97080,"99102.5,506353.75,605456.25"
Enterprise,October,Paseo,Low,Mexico,262762.5,257400,"262762.5,0,262762.5"
Enterprise,October,Paseo,Medium,United States of America,102243.75,103320,"102243.75,0,102243.75"
Enterprise,October,Paseo,Medium,France,83600,84480,"83600,102243.75,185843.75"
Enterprise,October,Velo,Low,United States of America,82046.25,79560,"82046.25,605456.25,687502.5"
Enterprise,October,Velo,Low,Canada,243591.25,241080,"243591.25,262762.5,506353.75"
Enterprise,October,Velo,Low,Germany,99102.5,97080,"99102.5,506353.75,605456.25"
Enterprise,October,Velo,Low,Mexico,262762.5,257400,"262762.5,0,262762.5"
Enterprise,October,Velo,Medium,United States of America,102243.75,103320,"102243.75,0,102243.75"
Enterprise,October,Velo,Medium,France,83600,84480,"83600,102243.75,185843.75"
Enterprise,October,Velo,None,Canada,43125,41400,"43125,0,43125"
Enterprise,September,Amarilla,High,Mexico,105353.75,113640,"105353.75,0,105353.75"
Enterprise,September,Amarilla,Medium,Germany,115552.5,119280,"115552.5,0,115552.5"
Enterprise,September,Carretera,High,Canada,265760,289920,"265760,0,265760"
Enterprise,September,Carretera,High,France,109972.5,122760,"109972.5,265760,375732.5"
Enterprise,September,Carretera,Low,United States of America,40837.5,39600,"40837.5,0,40837.5"
Enterprise,September,Velo,High,United States of America,179550,191520,"179550,0,179550"
Enterprise,September,Velo,High,France,70443.75,79560,"70443.75,179550,249993.75"
Enterprise,September,Velo,Medium,Canada,64496.25,68040,"64496.25,482626.25,547122.5"
Enterprise,September,Velo,Medium,Germany,242613.75,250440,"242613.75,0,242613.75"
Enterprise,September,Velo,Medium,Mexico,240012.5,253200,"240012.5,242613.75,482626.25"
Enterprise,January,Amarilla,High,United States of America,65137.5,69480,"65137.5,532522.5,597660"
Enterprise,January,Amarilla,High,Canada,180416.25,199080,"180416.25,352106.25,532522.5"
Enterprise,January,Amarilla,High,Germany,352106.25,379800,"352106.25,0,352106.25"
Enterprise,January,Amarilla,Medium,France,233531.25,238500,"233531.25,0,233531.25"
Enterprise,January,VTT,High,Mexico,61632.5,66480,"61632.5,0,61632.5"
Enterprise,May,Amarilla,High,United States of America,305730,341280,"305730,0,305730"
Enterprise,May,Amarilla,High,France,159421.25,171960,"159421.25,305730,465151.25"
Enterprise,May,Amarilla,Low,Germany,278810,273120,"278810,0,278810"
Enterprise,May,Amarilla,Medium,Canada,191231.25,197400,"191231.25,0,191231.25"
Enterprise,May,VTT,High,Mexico,38362.5,40920,"38362.5,0,38362.5"
Enterprise,February,Velo,High,Mexico,169312.5,189000,"169312.5,0,169312.5"
Enterprise,February,Velo,Medium,United States of America,323712.5,330600,"323712.5,0,323712.5"
Enterprise,February,Velo,Medium,Canada,111860,114240,"111860,323712.5,435572.5"
Enterprise,February,Velo,Medium,Germany,95831.25,96840,"95831.25,435572.5,531403.75"
Enterprise,February,Velo,None,France,225500,216480,"225500,0,225500"
Enterprise,July,Montana,Medium,United States of America,430706.25,435240,"430706.25,0,430706.25"
Enterprise,July,Montana,None,Canada,333187.5,319860,"333187.5,0,333187.5"
Enterprise,July,Paseo,Low,France,358560,358560,"358560,0,358560"
Enterprise,July,Paseo,Low,Mexico,225596.25,218760,"225596.25,358560,584156.25"
Enterprise,July,Paseo,Medium,Germany,408386.25,421560,"408386.25,0,408386.25"
Enterprise,June,Paseo,High,Canada,172151.25,189960,"172151.25,0,172151.25"
Enterprise,June,Paseo,Low,United States of America,89966.25,87240,"89966.25,287753.75,377720"
Enterprise,June,Paseo,Low,France,97391.25,94440,"97391.25,190362.5,287753.75"
Enterprise,June,Paseo,Low,Germany,190362.5,188400,"190362.5,0,190362.5"
Enterprise,June,Paseo,Low,Mexico,81095,79440,"81095,377720,458815"
Enterprise,June,VTT,High,Canada,172151.25,189960,"172151.25,0,172151.25"
Enterprise,June,VTT,Low,United States of America,89966.25,87240,"89966.25,287753.75,377720"
Enterprise,June,VTT,Low,France,97391.25,94440,"97391.25,190362.5,287753.75"
Enterprise,June,VTT,Low,Germany,190362.5,188400,"190362.5,0,190362.5"
Enterprise,June,VTT,Low,Mexico,81095,79440,"81095,377720,458815"
Enterprise,November,Montana,High,United States of America,202950,216480,"202950,0,202950"
Enterprise,November,Montana,Low,Mexico,203350,199200,"203350,0,203350"
Enterprise,November,Montana,Medium,France,211233.75,222840,"211233.75,290625,501858.75"
Enterprise,November,Montana,Medium,Germany,290625,300000,"290625,0,290625"
Enterprise,November,VTT,High,United States of America,262570,286440,"262570,598375,860945"
Enterprise,November,VTT,High,Canada,598375,657960,"598375,0,598375"
Enterprise,November,VTT,High,Germany,58650,66240,"58650,860945,919595"
Enterprise,November,VTT,Low,France,215820,209280,"215820,0,215820"
Enterprise,November,VTT,Medium,Mexico,99758.75,105240,"99758.75,0,99758.75"
Enterprise,March,Paseo,Low,Canada,215097.5,212880,"215097.5,0,215097.5"
Enterprise,March,Paseo,Low,Germany,95400,95400,"95400,215097.5,310497.5"
Enterprise,March,Paseo,Medium,United States of America,355300,359040,"355300,0,355300"
Enterprise,March,Paseo,Medium,France,283218.75,286200,"283218.75,355300,638518.75"
Enterprise,March,Paseo,Medium,Mexico,128110,133680,"128110,638518.75,766628.75"
Government,April,Carretera,High,Mexico,44358.8,25790,"44358.8,0,44358.8"
Government,April,Carretera,Low,Germany,50052,25800,"50052,0,50052"
Government,April,Montana,High,Germany,360899,311740,"360899,0,360899"
Government,April,Montana,Medium,Mexico,322420,254800,"322420,0,322420"
Government,April,Paseo,High,Canada,4301.85,3615,"4301.85,30857.61,35159.46"
Government,April,Paseo,High,France,15774.36,12660,"15774.36,0,15774.36"
Government,April,Paseo,High,Mexico,15083.25,12675,"15083.25,15774.36,30857.61"
Government,April,Paseo,Low,United States of America,31133.024999999998,22462.5,"31133.024999999998,0,31133.024999999998"
Government,April,Paseo,Medium,Germany,8107.96,6295,"8107.96,0,8107.96"
Government,April,Velo,High,United States of America,10423.2,6060,"10423.2,0,10423.2"
Government,April,Velo,Low,Canada,74699.70000000001,38505,"74699.70000000001,76507.20000000001,151206.90000000002"
Government,April,Velo,Low,France,76507.20000000001,38640,"76507.20000000001,0,76507.20000000001"
Government,April,VTT,Low,Canada,326922.75,245310,"326922.75,0,326922.75"
Government,April,VTT,Medium,United States of America,430452.75,351390,"430452.75,0,430452.75"
Government,April,VTT,Medium,France,184989,149370,"184989,430452.75,615441.75"
Government,August,Amarilla,Medium,Canada,183540,143520,"183540,0,183540"
Government,August,Montana,Low,Canada,12681.9,9150,"12681.9,0,12681.9"
Government,August,Paseo,High,Canada,42613.2,23940,"42613.2,0,42613.2"
Government,August,Paseo,High,France,16418.64,13480,"16418.64,42613.2,59031.84"
Government,August,Paseo,Medium,United States of America,4366.32,3390,"4366.32,10291.12,14657.44"
Government,August,Paseo,Medium,Germany,10291.12,7990,"10291.12,0,10291.12"
Government,August,Paseo,None,Mexico,6181,4415,"6181,0,6181"
Government,August,Velo,Medium,United States of America,53808,28320,"53808,0,53808"
Government,August,Velo,Medium,France,30001,15790,"30001,53808,83809"
Government,August,Velo,Medium,Germany,18818.8,10010,"18818.8,83809,102627.8"
Government,August,Velo,Medium,Mexico,11327.4,6090,"11327.4,102627.8,113955.2"
Government,August,VTT,High,United States of America,884205,729820,"884205,0,884205"
Government,August,VTT,Low,Mexico,557459,426920,"557459,0,557459"
Government,August,VTT,Medium,France,122682,99060,"122682,135884,258566"
Government,August,VTT,Medium,Germany,135884,109720,"135884,0,135884"
Government,December,Amarilla,Low,Canada,597408,462280,"597408,0,597408"
Government,December,Carretera,High,Germany,1685.6,1400,"1685.6,0,1685.6"
Government,December,Carretera,Low,United States of America,92064,71240,"92064,1724943.5,1817007.5"
Government,December,Carretera,Low,Canada,978236,741520,"978236,0,978236"
Government,December,Carretera,Low,France,746707.5,560300,"746707.5,978236,1724943.5"
Government,December,Carretera,Medium,United States of America,3790.5,2850,"3790.5,458421.32,462211.82"
Government,December,Carretera,Medium,France,16538.55,12435,"16538.55,441882.77,458421.32"
Government,December,Carretera,Medium,Mexico,441882.77,356725,"441882.77,0,441882.77"
Government,December,Carretera,None,Germany,529550,393380,"529550,0,529550"
Government,December,Montana,Medium,Canada,10262.07,8055,"10262.07,0,10262.07"
Government,December,Paseo,High,France,4981,2930,"4981,48646.399999999994,53627.399999999994"
Government,December,Paseo,High,Germany,26945.6,15310,"26945.6,0,26945.6"
Government,December,Paseo,High,Mexico,21700.8,12330,"21700.8,26945.6,48646.399999999994"
Government,December,Paseo,Low,United States of America,105873.18,81305,"105873.18,1724943.5,1830816.68"
Government,December,Paseo,Low,Canada,978236,741520,"978236,0,978236"
Government,December,Paseo,Low,France,746707.5,560300,"746707.5,978236,1724943.5"
Government,December,Paseo,Medium,United States of America,50597,26630,"50597,451096.24,501693.24"
Government,December,Paseo,Medium,Canada,34238,18020,"34238,501693.24,535931.24"
Government,December,Paseo,Medium,France,14204.4,10680,"14204.4,535931.24,550135.64"
Government,December,Paseo,Medium,Germany,13833.75,10625,"13833.75,550135.64,563969.39"
Government,December,Paseo,Medium,Mexico,451096.24,363850,"451096.24,0,451096.24"
Government,December,Paseo,None,Canada,36340,18170,"36340,529550,565890"
Government,December,Paseo,None,Germany,529550,393380,"529550,0,529550"
Government,December,Velo,Low,Mexico,10662.4,5440,"10662.4,0,10662.4"
Government,December,Velo,Medium,United States of America,26430.6,14210,"26430.6,0,26430.6"
Government,December,Velo,Medium,Canada,10298.82,7910,"10298.82,56994.399999999994,67293.22"
Government,December,Velo,Medium,France,19627,10330,"19627,26430.6,46057.6"
Government,December,Velo,Medium,Germany,10936.8,5880,"10936.8,46057.6,56994.399999999994"
Government,December,VTT,High,France,390562,335990,"390562,617681.2,1008243.2"
Government,December,VTT,High,Germany,617681.2,502910,"617681.2,0,617681.2"
Government,December,VTT,High,Mexico,21700.8,12330,"21700.8,1008243.2,1029944"
Government,December,VTT,Low,United States of America,91238,69160,"91238,665420,756658"
Government,December,VTT,Low,Mexico,665420,504400,"665420,0,665420"
Government,December,VTT,Medium,United States of America,54387.5,29480,"54387.5,0,54387.5"
Government,December,VTT,Medium,Canada,10298.82,7910,"10298.82,70926.05,81224.87"
Government,December,VTT,Medium,France,16538.55,12435,"16538.55,54387.5,70926.05"
Government,December,VTT,Medium,Mexico,3318.77,2605,"3318.77,81224.87,84543.64"
Government,December,VTT,None,Canada,36340,18170,"36340,0,36340"
Government,October,Amarilla,High,Canada,16841.44,13670,"16841.44,117552.54000000001,134393.98"
Government,October,Amarilla,High,France,10420.619999999999,8655,"10420.619999999999,134393.98,144814.6"
Government,October,Amarilla,High,Mexico,117552.54000000001,98075,"117552.54000000001,0,117552.54000000001"
Government,October,Amarilla,Low,Germany,1017338,771160,"1017338,0,1017338"
Government,October,Amarilla,Medium,United States of America,239183,189020,"239183,1504722.24,1743905.24"
Government,October,Amarilla,Medium,Canada,812486.5,649220,"812486.5,0,812486.5"
Government,October,Amarilla,Medium,France,692235.74,546775,"692235.74,812486.5,1504722.24"
Government,October,Amarilla,Medium,Germany,7707.35,5795,"7707.35,1743905.24,1751612.59"
Government,October,Amarilla,None,United States of America,8001,5715,"8001,0,8001"
Government,October,Carretera,High,United States of America,18035.92,14980,"18035.92,0,18035.92"
Government,October,Carretera,Low,Canada,19158.72,14255,"19158.72,484060.5,503219.22"
Government,October,Carretera,Low,Mexico,484060.5,363220,"484060.5,0,484060.5"
Government,October,Montana,High,United States of America,18035.92,14980,"18035.92,132412.18,150448.09999999998"
Government,October,Montana,High,Canada,38574.03999999999,26160,"38574.03999999999,93838.14,132412.18"
Government,October,Montana,High,Germany,53257.6,29920,"53257.6,0,53257.6"
Government,October,Montana,High,Mexico,40580.54,25785,"40580.54,53257.6,93838.14"
Government,October,Montana,Low,United States of America,30693.6,15660,"30693.6,0,30693.6"
Government,October,Montana,Low,Canada,19158.72,14255,"19158.72,30693.6,49852.32"
Government,October,Montana,Medium,France,79016.94,44345,"79016.94,0,79016.94"
Government,October,Montana,Medium,Germany,7707.35,5795,"7707.35,79016.94,86724.29000000001"
Government,October,Paseo,High,United States of America,4539,2670,"4539,135860.82,140399.82"
Government,October,Paseo,High,Canada,21732.6,12490,"21732.6,103707.6,125440.20000000001"
Government,October,Paseo,High,France,10420.619999999999,8655,"10420.619999999999,125440.20000000001,135860.82"
Government,October,Paseo,High,Germany,57595.6,32330,"57595.6,0,57595.6"
Government,October,Paseo,High,Mexico,46112,26200,"46112,57595.6,103707.6"
Government,October,Paseo,Medium,United States of America,239183,189020,"239183,434701,673884"
Government,October,Paseo,Medium,Canada,434701,333170,"434701,0,434701"
Government,October,Paseo,Medium,France,33031.6,17570,"33031.6,673884,706915.6"
Government,October,Paseo,Medium,Germany,2293.2,1800,"2293.2,724797.45,727090.6499999999"
Government,October,Paseo,Medium,Mexico,17881.85,13445,"17881.85,706915.6,724797.45"
Government,October,Paseo,None,United States of America,8001,5715,"8001,0,8001"
Government,October,Velo,High,United States of America,303688,256360,"303688,0,303688"
Government,October,Velo,High,Germany,4338,2410,"4338,426772,431110"
Government,October,Velo,High,Mexico,123084,98490,"123084,303688,426772"
Government,October,Velo,Low,United States of America,30693.6,15660,"30693.6,2735621,2766314.6"
Government,October,Velo,Low,France,731472,566020,"731472,2004149,2735621"
Government,October,Velo,Low,Germany,2004149,1519180,"2004149,0,2004149"
Government,October,Velo,Medium,Canada,404176.5,329940,"404176.5,719757.6,1123934.1"
Government,October,Velo,Medium,France,719757.6,559520,"719757.6,0,719757.6"
Government,October,VTT,High,United States of America,308227,259030,"308227,0,308227"
Government,October,VTT,Low,France,731472,566020,"731472,986811,1718283"
Government,October,VTT,Low,Germany,986811,748020,"986811,0,986811"
Government,October,VTT,Low,Mexico,484060.5,363220,"484060.5,1718283,2202343.5"
Government,October,VTT,Medium,Canada,26391,13890,"26391,0,26391"
Government,October,VTT,Medium,Germany,2293.2,1800,"2293.2,44272.85,46566.049999999996"
Government,October,VTT,Medium,Mexico,17881.85,13445,"17881.85,26391,44272.85"
Government,September,Amarilla,High,Canada,222705,183820,"222705,0,222705"
Government,September,Amarilla,Low,Germany,640752,495820,"640752,0,640752"
Government,September,Amarilla,Medium,United States of America,659613.5,538460,"659613.5,936138,1595751.5"
Government,September,Amarilla,Medium,France,936138,747760,"936138,0,936138"
Government,September,Amarilla,Medium,Mexico,552391,436540,"552391,1595751.5,2148142.5"
Government,September,Carretera,High,Germany,7690.8,4420,"7690.8,0,7690.8"
Government,September,Carretera,Medium,Mexico,34112.4,18340,"34112.4,0,34112.4"
Government,September,Montana,High,United States of America,14666.4,11640,"14666.4,14907.2,29573.6"
Government,September,Montana,High,Canada,2335.76,1940,"2335.76,29573.6,31909.36"
Government,September,Montana,High,Mexico,14907.2,12100,"14907.2,0,14907.2"
Government,September,Montana,Low,France,3693.76,2720,"3693.76,610081.5,613775.26"
Government,September,Montana,Low,Germany,610081.5,467220,"610081.5,0,610081.5"
Government,September,Montana,Medium,Mexico,239400,187200,"239400,0,239400"
Government,September,Montana,None,Germany,15022,10730,"15022,0,15022"
Government,September,Paseo,High,United States of America,2367.4,1900,"2367.4,0,2367.4"
Government,September,Paseo,Low,United States of America,20275.2,10560,"20275.2,39820.8,60096"
Government,September,Paseo,Low,Canada,39820.8,20740,"39820.8,0,39820.8"
Government,September,Paseo,Low,Mexico,11950.4,8800,"11950.4,60096,72046.4"
Government,September,Paseo,Medium,Canada,15620.85,11745,"15620.85,141433.57,157054.42"
Government,September,Paseo,Medium,France,35262.81,20505,"35262.81,106170.76,141433.57"
Government,September,Paseo,Medium,Germany,51099.56,31385,"51099.56,55071.2,106170.76"
Government,September,Paseo,Medium,Mexico,55071.2,29930,"55071.2,0,55071.2"
Government,September,Velo,High,France,49929,28050,"49929,0,49929"
Government,September,Velo,Low,United States of America,14131.2,7360,"14131.2,50803.2,64934.399999999994"
Government,September,Velo,Low,Canada,50803.2,26460,"50803.2,0,50803.2"
Government,September,VTT,High,Canada,191884,161980,"191884,0,191884"
Government,September,VTT,Low,United States of America,117264,90740,"117264,0,117264"
Government,September,VTT,None,France,534450,397020,"534450,0,534450"
Government,January,Amarilla,High,Mexico,46796.2,26290,"46796.2,0,46796.2"
Government,January,Carretera,High,France,44378.399999999994,25215,"44378.399999999994,0,44378.399999999994"
