DUMMY_IDENTIFIER,financials.Discount Band,financials.Product,financials.Segment,financials.Country,Sum(financials. Sales),Sum(financials.COGS),
,High,Carretera,Government,Germany,256084.4,211740,"256084.4,1204592.08,1460676.48"
,High,Carretera,Government,Mexico,334105.18,269680,"334105.18,589433.4,923538.5800000001"
,High,Carretera,Midmarket,United States of America,33499.35,25670,"33499.35,85990.8,119490.15"
,High,Carretera,Midmarket,Canada,85990.8,65490,"85990.8,0,85990.8"
,High,Carretera,Midmarket,Germany,19517.7,15130,"19517.7,119490.15,139007.85"
,High,Carretera,Small Business,United States of America,260580,252500,"260580,1136505,1397085"
,High,Carretera,Small Business,Canada,385968,374000,"385968,750537,1136505"
,High,Carretera,Small Business,Germany,750537,702750,"750537,0,750537"
,High,Carretera,Small Business,Mexico,206658,200250,"206658,1397085,1603743"
,High,Montana,Channel Partners,Mexico,34405.92,9795,"34405.92,0,34405.92"
,High,Montana,Enterprise,United States of America,202950,216480,"202950,0,202950"
,High,Montana,Government,United States of America,1068373.39,889940,"1068373.39,0,1068373.39"
,High,Montana,Government,Canada,771587.2999999999,659250,"771587.2999999999,1068373.39,1839960.69"
,High,Montana,Government,France,1763.8600000000001,1465,"1763.8600000000001,2595590.63,2597354.4899999998"
,High,Montana,Government,Germany,652765.6,540820,"652765.6,1839960.69,2492726.29"
,High,Montana,Government,Mexico,102864.34,67275,"102864.34,2492726.29,2595590.63"
,High,Montana,Midmarket,United States of America,8936.4,6770,"8936.4,86437.95,95374.34999999999"
,High,Montana,Midmarket,Canada,29670,23000,"29670,0,29670"
,High,Montana,Midmarket,France,27972,20720,"27972,58465.95,86437.95"
,High,Montana,Midmarket,Mexico,28795.95,21570,"28795.95,29670,58465.95"
,High,Montana,Small Business,France,781176,739750,"781176,0,781176"
,High,Montana,Small Business,Mexico,139230,136500,"139230,781176,920406"
,High,Paseo,Channel Partners,United States of America,43564.08,12642,"43564.08,119003.46,162567.54"
,High,Paseo,Channel Partners,Canada,65928.72,18744,"65928.72,0,65928.72"
,High,Paseo,Channel Partners,France,53074.740000000005,15049.5,"53074.740000000005,65928.72,119003.46"
,High,Paseo,Channel Partners,Germany,10575.72,3039,"10575.72,162567.54,173143.26"
,High,Paseo,Channel Partners,Mexico,5961.24,1713,"5961.24,173143.26,179104.5"
,High,Paseo,Enterprise,Canada,172151.25,189960,"172151.25,508721.25,680872.5"
,High,Paseo,Enterprise,France,271561.25,292920,"271561.25,0,271561.25"
,High,Paseo,Enterprise,Germany,115281.25,130200,"115281.25,680872.5,796153.75"
,High,Paseo,Enterprise,Mexico,237160,258720,"237160,271561.25,508721.25"
,High,Paseo,Government,United States of America,1012979.765,866012.5,"1012979.765,5167344.2700000005,6180324.035"
,High,Paseo,Government,Canada,1778105.0000000002,1477815,"1778105.0000000002,2236998.65,4015103.6500000004"
,High,Paseo,Government,France,1152240.62,971425,"1152240.62,4015103.6500000004,5167344.2700000005"
,High,Paseo,Government,Germany,260052.90000000002,179120,"260052.90000000002,6180324.035,6440376.9350000005"
,High,Paseo,Government,Mexico,2236998.65,1907125,"2236998.65,0,2236998.65"
,High,Paseo,Midmarket,United States of America,22794.3,17670,"22794.3,188733.6,211527.9"
,High,Paseo,Midmarket,Canada,127976.7,99510,"127976.7,0,127976.7"
,High,Paseo,Midmarket,France,29254.5,21670,"29254.5,159479.1,188733.6"
,High,Paseo,Midmarket,Germany,18567.45,14530,"18567.45,211527.9,230095.35"
,High,Paseo,Midmarket,Mexico,31502.4,23640,"31502.4,127976.7,159479.1"
,High,Paseo,Small Business,United States of America,922680,873750,"922680,0,922680"
,High,Paseo,Small Business,Canada,597813,559750,"597813,1649850,2247663"
,High,Paseo,Small Business,Germany,569403,541500,"569403,2247663,2817066"
,High,Paseo,Small Business,Mexico,727170,685250,"727170,922680,1649850"
,High,Velo,Channel Partners,United States of America,9322.8,2742,"9322.8,31302.84,40625.64"
,High,Velo,Channel Partners,Germany,15616.68,4455,"15616.68,15686.16,31302.84"
,High,Velo,Channel Partners,Mexico,15686.16,4542,"15686.16,0,15686.16"
,High,Velo,Enterprise,United States of America,438587.5,484080,"438587.5,0,438587.5"
,High,Velo,Enterprise,Canada,215550,229920,"215550,438587.5,654137.5"
,High,Velo,Enterprise,France,70443.75,79560,"70443.75,823450,893893.75"
,High,Velo,Enterprise,Mexico,169312.5,189000,"169312.5,654137.5,823450"
,High,Velo,Government,United States of America,314111.2,262420,"314111.2,1365451.8399999999,1679563.0399999998"
,High,Velo,Government,Canada,812707.84,693360,"812707.84,0,812707.84"
,High,Velo,Government,France,258461.1,200140,"258461.1,1679563.0399999998,1938024.14"
,High,Velo,Government,Germany,21127.5,15735,"21127.5,1938024.14,1959151.64"
,High,Velo,Government,Mexico,552744,461190,"552744,812707.84,1365451.8399999999"
,High,Velo,Midmarket,United States of America,10665,7900,"10665,112890.375,123555.375"
,High,Velo,Midmarket,Canada,5126.4,3840,"5126.4,132299.625,137426.025"
,High,Velo,Midmarket,France,88198.875,68235,"88198.875,0,88198.875"
,High,Velo,Midmarket,Germany,24691.5,18510,"24691.5,88198.875,112890.375"
,High,Velo,Midmarket,Mexico,8744.25,6550,"8744.25,123555.375,132299.625"
,High,Velo,Small Business,United States of America,1910430,1832000,"1910430,0,1910430"
,High,Velo,Small Business,Canada,69402,67250,"69402,3474933,3544335"
,High,Velo,Small Business,France,230310,213250,"230310,3244623,3474933"
,High,Velo,Small Business,Germany,654288,634000,"654288,2590335,3244623"
,High,Velo,Small Business,Mexico,679905,651250,"679905,1910430,2590335"
,High,VTT,Channel Partners,United States of America,18421.2,5418,"18421.2,40790.16,59211.36"
,High,VTT,Channel Partners,Canada,22271.04,6327,"22271.04,0,22271.04"
,High,VTT,Channel Partners,France,18519.12,5202,"18519.12,22271.04,40790.16"
,High,VTT,Channel Partners,Mexico,10733.4,3015,"10733.4,59211.36,69944.76"
,High,VTT,Enterprise,United States of America,262570,286440,"262570,770526.25,1033096.25"
,High,VTT,Enterprise,Canada,770526.25,847920,"770526.25,0,770526.25"
,High,VTT,Enterprise,Germany,58650,66240,"58650,1133091.25,1191741.25"
,High,VTT,Enterprise,Mexico,99995,107400,"99995,1033096.25,1133091.25"
,High,VTT,Government,United States of America,1202269.17,996745,"1202269.17,0,1202269.17"
,High,VTT,Government,Canada,258840.5,199985,"258840.5,2219696.9299999997,2478537.4299999997"
,High,VTT,Government,France,399746.56,343445,"399746.56,1819950.3699999999,2219696.9299999997"
,High,VTT,Government,Germany,617681.2,502910,"617681.2,1202269.17,1819950.3699999999"
,High,VTT,Government,Mexico,39176.86,26845,"39176.86,2478537.4299999997,2517714.2899999996"
,High,VTT,Midmarket,United States of America,33499.35,25670,"33499.35,80397.9,113897.25"
,High,VTT,Midmarket,Canada,20423.25,15650,"20423.25,135151.5,155574.75"
,High,VTT,Midmarket,France,80397.9,60415,"80397.9,0,80397.9"
,High,VTT,Midmarket,Germany,21254.25,16670,"21254.25,113897.25,135151.5"
,High,VTT,Midmarket,Mexico,8653.5,6410,"8653.5,155574.75,164228.25"
,High,VTT,Small Business,United States of America,1535538,1461250,"1535538,0,1535538"
,High,VTT,Small Business,Canada,455370,441250,"455370,1535538,1990908"
,High,VTT,Small Business,Mexico,116640,108000,"116640,1990908,2107548"
,Low,Amarilla,Channel Partners,United States of America,23629.32,5967,"23629.32,0,23629.32"
,Low,Amarilla,Enterprise,Germany,278810,273120,"278810,0,278810"
,Low,Amarilla,Enterprise,Mexico,128880,128880,"128880,278810,407690"
,Low,Amarilla,Government,United States of America,24225.6,12360,"24225.6,2882138,2906363.6"
,Low,Amarilla,Government,Canada,597408,462280,"597408,2284730,2882138"
,Low,Amarilla,Government,France,18443.6,9410,"18443.6,2906363.6,2924807.2"
,Low,Amarilla,Government,Germany,1658090,1266980,"1658090,0,1658090"
,Low,Amarilla,Government,Mexico,626640,484900,"626640,1658090,2284730"
,Low,Amarilla,Midmarket,United States of America,9662.4,6710,"9662.4,0,9662.4"
,Low,Amarilla,Midmarket,France,4766.85,3210,"4766.85,9662.4,14429.25"
,Low,Amarilla,Small Business,Canada,563304,479000,"563304,0,563304"
,Low,Amarilla,Small Business,Germany,76146,64750,"76146,886998,963144"
,Low,Amarilla,Small Business,Mexico,323694,275250,"323694,563304,886998"
,Low,Carretera,Channel Partners,United States of America,44736.12,11415,"44736.12,0,44736.12"
,Low,Carretera,Channel Partners,Canada,42964.92,10944,"42964.92,44736.12,87701.04000000001"
,Low,Carretera,Channel Partners,France,31731.48,8013,"31731.48,87701.04000000001,119432.52"
,Low,Carretera,Channel Partners,Germany,9100.08,2298,"9100.08,119432.52,128532.6"
,Low,Carretera,Enterprise,United States of America,40837.5,39600,"40837.5,605480.625,646318.125"
,Low,Carretera,Enterprise,Canada,90956.25,89100,"90956.25,514524.375,605480.625"
,Low,Carretera,Enterprise,France,514524.375,509220,"514524.375,0,514524.375"
,Low,Carretera,Government,United States of America,109589.97,83885,"109589.97,2678263.8200000003,2787853.7900000005"
,Low,Carretera,Government,Canada,1013516.12,764085,"1013516.12,0,1013516.12"
,Low,Carretera,Government,France,761422.2,571025,"761422.2,1916841.62,2678263.8200000003"
,Low,Carretera,Government,Germany,50052,25800,"50052,2787853.7900000005,2837905.7900000005"
,Low,Carretera,Government,Mexico,903325.5,677820,"903325.5,1013516.12,1916841.62"
,Low,Carretera,Small Business,Germany,845463,731000,"845463,0,845463"
,Low,Carretera,Small Business,Mexico,146718,123500,"146718,845463,992181"
,Low,Montana,Channel Partners,United States of America,13429.92,3426,"13429.92,22127.64,35557.56"
,Low,Montana,Channel Partners,France,22127.64,5703,"22127.64,0,22127.64"
,Low,Montana,Channel Partners,Mexico,8114.4,2070,"8114.4,35557.56,43671.96"
,Low,Montana,Enterprise,United States of America,82046.25,79560,"82046.25,702811.25,784857.5"
,Low,Montana,Enterprise,France,156048.75,154440,"156048.75,546762.5,702811.25"
,Low,Montana,Enterprise,Germany,206852.5,204720,"206852.5,339910,546762.5"
,Low,Montana,Enterprise,Mexico,339910,335760,"339910,0,339910"
,Low,Montana,Government,United States of America,30693.6,15660,"30693.6,686145.6,716839.2"
,Low,Montana,Government,Canada,31840.620000000003,23405,"31840.620000000003,623376.32,655216.94"
,Low,Montana,Government,France,30928.659999999996,16475,"30928.659999999996,655216.94,686145.6"
,Low,Montana,Government,Germany,623376.32,477010,"623376.32,0,623376.32"
,Low,Montana,Midmarket,Canada,28324.8,19670,"28324.8,62124.3,90449.1"
,Low,Montana,Midmarket,Mexico,62124.3,42450,"62124.3,0,62124.3"
,Low,Montana,Small Business,United States of America,1425303,1199750,"1425303,0,1425303"
,Low,Montana,Small Business,Germany,1117440,970000,"1117440,1425303,2542743"
,Low,Paseo,Channel Partners,United States of America,29370.9,7534.5,"29370.9,55526.03999999999,84896.94"
,Low,Paseo,Channel Partners,Canada,15229.2,3885,"15229.2,84896.94,100126.14"
,Low,Paseo,Channel Partners,France,55526.03999999999,14223,"55526.03999999999,0,55526.03999999999"
,Low,Paseo,Channel Partners,Germany,9100.08,2298,"9100.08,112873.98,121974.06"
,Low,Paseo,Channel Partners,Mexico,12747.84,3252,"12747.84,100126.14,112873.98"
,Low,Paseo,Enterprise,United States of America,89966.25,87240,"89966.25,2702722.5,2792688.75"
,Low,Paseo,Enterprise,Canada,792991.25,781440,"792991.25,0,792991.25"
,Low,Paseo,Enterprise,France,612000,607440,"612000,1499005,2111005"
,Low,Paseo,Enterprise,Germany,591717.5,585600,"591717.5,2111005,2702722.5"
,Low,Paseo,Enterprise,Mexico,706013.75,692160,"706013.75,792991.25,1499005"
,Low,Paseo,Government,United States of America,1316481.4049999998,1011327.5,"1316481.4049999998,0,1316481.4049999998"
,Low,Paseo,Government,Canada,1046623.52,783515,"1046623.52,1316481.4049999998,2363104.925"
,Low,Paseo,Government,France,781184.25,585175,"781184.25,2363104.925,3144289.175"
,Low,Paseo,Government,Mexico,11950.4,8800,"11950.4,3144289.175,3156239.5749999997"
,Low,Paseo,Midmarket,United States of America,60442.8,41100,"60442.8,66654,127096.8"
,Low,Paseo,Midmarket,Canada,37875.299999999996,25810,"37875.299999999996,217537.5,255412.8"
,Low,Paseo,Midmarket,France,66654,45570,"66654,0,66654"
,Low,Paseo,Midmarket,Germany,39392.7,26920,"39392.7,178144.8,217537.5"
,Low,Paseo,Midmarket,Mexico,51048,35450,"51048,127096.8,178144.8"
,Low,Paseo,Small Business,United States of America,1703169,1455750,"1703169,0,1703169"
,Low,Paseo,Small Business,Canada,563304,479000,"563304,3797407.5,4360711.5"
,Low,Paseo,Small Business,France,978331.5,838125,"978331.5,2819076,3797407.5"
,Low,Paseo,Small Business,Germany,1115907,957875,"1115907,1703169,2819076"
,Low,Velo,Channel Partners,United States of America,16876.8,4395,"16876.8,0,16876.8"
,Low,Velo,Channel Partners,France,12406.8,3165,"12406.8,29624.64,42031.44"
,Low,Velo,Channel Partners,Mexico,12747.84,3252,"12747.84,16876.8,29624.64"
,Low,Velo,Enterprise,United States of America,82046.25,79560,"82046.25,719677.5,801723.75"
,Low,Velo,Enterprise,Canada,357812.5,351840,"357812.5,0,357812.5"
,Low,Velo,Enterprise,Germany,99102.5,97080,"99102.5,620575,719677.5"
,Low,Velo,Enterprise,Mexico,262762.5,257400,"262762.5,357812.5,620575"
,Low,Velo,Government,United States of America,44824.8,23020,"44824.8,2956556.9299999997,3001381.7299999995"
,Low,Velo,Government,Canada,140000.46000000002,75425,"140000.46000000002,2816556.4699999997,2956556.9299999997"
,Low,Velo,Government,France,812407.47,607855,"812407.47,2004149,2816556.4699999997"
,Low,Velo,Government,Germany,2004149,1519180,"2004149,0,2004149"
,Low,Velo,Government,Mexico,13171.06,7250,"13171.06,3001381.7299999995,3014552.7899999996"
,Low,VTT,Channel Partners,France,9976.32,2598,"9976.32,51157.8,61134.12"
,Low,VTT,Channel Partners,Germany,28855.56,7437,"28855.56,0,28855.56"
,Low,VTT,Channel Partners,Mexico,22302.24,5748,"22302.24,28855.56,51157.8"
,Low,VTT,Enterprise,United States of America,89966.25,87240,"89966.25,837876.25,927842.5"
,Low,VTT,Enterprise,Canada,334302.5,327480,"334302.5,0,334302.5"
,Low,VTT,Enterprise,France,313211.25,303720,"313211.25,334302.5,647513.75"
,Low,VTT,Enterprise,Germany,190362.5,188400,"190362.5,647513.75,837876.25"
,Low,VTT,Enterprise,Mexico,81095,79440,"81095,927842.5,1008937.5"
,Low,VTT,Government,United States of America,208502,159900,"208502,3763157.02,3971659.02"
,Low,VTT,Government,Canada,336111.93,251940,"336111.93,3427045.09,3763157.02"
,Low,VTT,Government,France,731472,566020,"731472,2695573.09,3427045.09"
,Low,VTT,Government,Germany,988633.59,749335,"988633.59,1706939.5,2695573.09"
,Low,VTT,Government,Mexico,1706939.5,1294540,"1706939.5,0,1706939.5"
,Low,VTT,Midmarket,Germany,28299.75,19450,"28299.75,0,28299.75"
,Low,VTT,Midmarket,Mexico,21801.6,15140,"21801.6,28299.75,50101.35"
,Low,VTT,Small Business,United States of America,827604,711000,"827604,0,827604"
,Low,VTT,Small Business,Canada,545334,468500,"545334,827604,1372938"
,Low,VTT,Small Business,Germany,355758,300000,"355758,1372938,1728696"
,Low,VTT,Small Business,Mexico,146718,123500,"146718,1728696,1875414"
,Medium,Amarilla,Channel Partners,France,3341.52,918,"3341.52,27982.2,31323.72"
,Medium,Amarilla,Channel Partners,Mexico,27982.2,7494,"27982.2,0,27982.2"
,Medium,Amarilla,Enterprise,Canada,191231.25,197400,"191231.25,233531.25,424762.5"
,Medium,Amarilla,Enterprise,France,233531.25,238500,"233531.25,0,233531.25"
,Medium,Amarilla,Enterprise,Germany,115552.5,119280,"115552.5,424762.5,540315"
,Medium,Amarilla,Government,United States of America,941106.38,754835,"941106.38,2665611.09,3606717.4699999997"
,Medium,Amarilla,Government,Canada,1037237.35,816675,"1037237.35,1628373.74,2665611.09"
,Medium,Amarilla,Government,France,1628373.74,1294535,"1628373.74,0,1628373.74"
,Medium,Amarilla,Government,Germany,509684.75,385655,"509684.75,4220022.819999999,4729707.569999999"
,Medium,Amarilla,Government,Mexico,613305.35,472275,"613305.35,3606717.4699999997,4220022.819999999"
,Medium,Amarilla,Midmarket,Canada,22256.324999999997,16305,"22256.324999999997,23052.3,45308.625"
,Medium,Amarilla,Midmarket,Germany,23052.3,16810,"23052.3,0,23052.3"
,Medium,Amarilla,Small Business,United States of America,382788,343000,"382788,854220,1237008"
,Medium,Amarilla,Small Business,Germany,356250,312500,"356250,1237008,1593258"
,Medium,Amarilla,Small Business,Mexico,854220,773750,"854220,0,854220"
,Medium,Carretera,Channel Partners,Canada,46958.16,12549,"46958.16,0,46958.16"
,Medium,Carretera,Channel Partners,France,21261,5595,"21261,76934.16,98195.16"
,Medium,Carretera,Channel Partners,Germany,29976,8088,"29976,46958.16,76934.16"
,Medium,Carretera,Channel Partners,Mexico,18460.32,4968,"18460.32,98195.16,116655.48000000001"
,Medium,Carretera,Enterprise,Germany,104222.5,106440,"104222.5,177100,281322.5"
,Medium,Carretera,Enterprise,Mexico,177100,184800,"177100,0,177100"
,Medium,Carretera,Government,United States of America,599735.54,473200,"599735.54,0,599735.54"
,Medium,Carretera,Government,Canada,5217.03,4095,"5217.03,1140789.26,1146006.29"
,Medium,Carretera,Government,France,46235.55,28065,"46235.55,1075730.71,1121966.26"
,Medium,Carretera,Government,Germany,18823,11710,"18823,1121966.26,1140789.26"
,Medium,Carretera,Government,Mexico,475995.17000000004,375065,"475995.17000000004,599735.54,1075730.71"
,Medium,Carretera,Midmarket,United States of America,28623,20300,"28623,79872.15,108495.15"
,Medium,Carretera,Midmarket,Canada,40100.4,28440,"40100.4,0,40100.4"
,Medium,Carretera,Midmarket,France,6762,4900,"6762,108495.15,115257.15"
,Medium,Carretera,Midmarket,Mexico,39771.75,27910,"39771.75,40100.4,79872.15"
,Medium,Carretera,Small Business,United States of America,282435,247750,"282435,1032153,1314588"
,Medium,Carretera,Small Business,Canada,298662,273500,"298662,733491,1032153"
,Medium,Carretera,Small Business,France,733491,657250,"733491,0,733491"
,Medium,Montana,Channel Partners,United States of America,30715.44,8169,"30715.44,0,30715.44"
,Medium,Montana,Channel Partners,Canada,25345.32,6963,"25345.32,109665.35999999999,135010.68"
,Medium,Montana,Channel Partners,France,26136.72,7026,"26136.72,57414.24,83550.95999999999"
,Medium,Montana,Channel Partners,Germany,26698.8,7026,"26698.8,30715.44,57414.24"
,Medium,Montana,Channel Partners,Mexico,26114.4,7020,"26114.4,83550.95999999999,109665.35999999999"
,Medium,Montana,Enterprise,United States of America,748865,770880,"748865,0,748865"
,Medium,Montana,Enterprise,France,211233.75,222840,"211233.75,1039490,1250723.75"
,Medium,Montana,Enterprise,Germany,290625,300000,"290625,748865,1039490"
,Medium,Montana,Government,United States of America,23588.8,12820,"23588.8,2158151.5300000003,2181740.33"
,Medium,Montana,Government,Canada,26431.99,17575,"26431.99,2131719.54,2158151.5300000003"
,Medium,Montana,Government,France,1069984.19,837475,"1069984.19,0,1069984.19"
,Medium,Montana,Government,Germany,499915.35,391845,"499915.35,1631804.19,2131719.54"
,Medium,Montana,Government,Mexico,561820,442000,"561820,1069984.19,1631804.19"
,Medium,Montana,Midmarket,France,34513.8,25010,"34513.8,0,34513.8"
,Medium,Montana,Midmarket,Germany,9811.8,7110,"9811.8,34513.8,44325.600000000006"
,Medium,Montana,Small Business,Canada,1392190.5,1271375,"1392190.5,0,1392190.5"
,Medium,Montana,Small Business,France,1127517,1016250,"1127517,1392190.5,2519707.5"
,Medium,Montana,Small Business,Germany,91182,83500,"91182,2833207.5,2924389.5"
,Medium,Montana,Small Business,Mexico,313500,275000,"313500,2519707.5,2833207.5"
,Medium,Paseo,Channel Partners,Canada,53646.12,14190,"53646.12,0,53646.12"
,Medium,Paseo,Channel Partners,Germany,19383,5325,"19383,88488.84,107871.84"
,Medium,Paseo,Channel Partners,Mexico,34842.72,9390,"34842.72,53646.12,88488.84"
,Medium,Paseo,Enterprise,United States of America,775702.5,798000,"775702.5,0,775702.5"
,Medium,Paseo,Enterprise,France,366818.75,370680,"366818.75,1184088.75,1550907.5"
,Medium,Paseo,Enterprise,Germany,408386.25,421560,"408386.25,775702.5,1184088.75"
,Medium,Paseo,Enterprise,Mexico,128110,133680,"128110,1550907.5,1679017.5"
,Medium,Paseo,Government,United States of America,527494.47,396925,"527494.47,2730142.79,3257637.26"
,Medium,Paseo,Government,Canada,486214.93,364220,"486214.93,3257637.26,3743852.19"
,Medium,Paseo,Government,France,599439.81,450745,"599439.81,2130702.98,2730142.79"
,Medium,Paseo,Government,Germany,817947.59,642050,"817947.59,1312755.3900000001,2130702.98"
,Medium,Paseo,Government,Mexico,1312755.3900000001,1046025,"1312755.3900000001,0,1312755.3900000001"
,Medium,Paseo,Midmarket,United States of America,138300.3,99570,"138300.3,0,138300.3"
,Medium,Paseo,Midmarket,France,136986.6,97490,"136986.6,138300.3,275286.9"
,Medium,Paseo,Midmarket,Germany,54729.3,38590,"54729.3,275286.9,330016.2"
,Medium,Paseo,Small Business,United States of America,282435,247750,"282435,3802197,4084632"
,Medium,Paseo,Small Business,Canada,1165236,1050000,"1165236,1837200,3002436"
,Medium,Paseo,Small Business,France,486444,443000,"486444,3002436,3488880"
,Medium,Paseo,Small Business,Germany,313317,280750,"313317,3488880,3802197"
,Medium,Paseo,Small Business,Mexico,1837200,1658000,"1837200,0,1837200"
,Medium,Velo,Channel Partners,Canada,34315.32,9087,"34315.32,0,34315.32"
,Medium,Velo,Channel Partners,France,21479.64,5901,"21479.64,34315.32,55794.96"
,Medium,Velo,Enterprise,United States of America,425956.25,433920,"425956.25,0,425956.25"
,Medium,Velo,Enterprise,Canada,176356.25,182280,"176356.25,1004413.75,1180770"
,Medium,Velo,Enterprise,France,83600,84480,"83600,1180770,1264370"
,Medium,Velo,Enterprise,Germany,338445,347280,"338445,425956.25,764401.25"
,Medium,Velo,Enterprise,Mexico,240012.5,253200,"240012.5,764401.25,1004413.75"
,Medium,Velo,Government,United States of America,302685.64999999997,216320,"302685.64999999997,2144525.59,2447211.2399999998"
,Medium,Velo,Government,Canada,421864.17,343525,"421864.17,1722661.42,2144525.59"
,Medium,Velo,Government,France,1261569.6,974600,"1261569.6,0,1261569.6"
,Medium,Velo,Government,Germany,461091.81999999995,367400,"461091.81999999995,1261569.6,1722661.42"
,Medium,Velo,Government,Mexico,29955.379999999997,20245,"29955.379999999997,2447211.2399999998,2477166.6199999996"
,Medium,Velo,Midmarket,United States of America,7908.75,5550,"7908.75,119163.6,127072.35"
,Medium,Velo,Midmarket,Canada,17604.9,12620,"17604.9,101558.7,119163.6"
,Medium,Velo,Midmarket,Germany,21573,15300,"21573,79985.7,101558.7"
,Medium,Velo,Midmarket,Mexico,79985.7,57340,"79985.7,0,79985.7"
,Medium,Velo,Small Business,United States of America,382788,343000,"382788,1949344.5,2332132.5"
,Medium,Velo,Small Business,Canada,1035625.5,948375,"1035625.5,0,1035625.5"
,Medium,Velo,Small Business,France,913719,816500,"913719,1035625.5,1949344.5"
,Medium,Velo,Small Business,Germany,356250,312500,"356250,2332132.5,2688382.5"
,Medium,Velo,Small Business,Mexico,175260,158750,"175260,2688382.5,2863642.5"
,Medium,VTT,Channel Partners,United States of America,21359.52,5868,"21359.52,114334.56,135694.08"
,Medium,VTT,Channel Partners,Canada,36208.62,9733.5,"36208.62,43796.94,80005.56"
,Medium,VTT,Channel Partners,France,43796.94,11917.5,"43796.94,0,43796.94"
,Medium,VTT,Channel Partners,Germany,34329,9285,"34329,80005.56,114334.56"
,Medium,VTT,Enterprise,Mexico,99758.75,105240,"99758.75,0,99758.75"
,Medium,VTT,Government,United States of America,516906.85,397885,"516906.85,0,516906.85"
,Medium,VTT,Government,Canada,36689.82,21800,"36689.82,1138975.58,1175665.4000000001"
,Medium,VTT,Government,France,373021.95,287685,"373021.95,516906.85,889928.8"
,Medium,VTT,Government,Germany,196876.92,146180,"196876.92,889928.8,1086805.72"
,Medium,VTT,Government,Mexico,52169.85999999999,34770,"52169.85999999999,1086805.72,1138975.58"
,Medium,VTT,Midmarket,United States of America,16257.3,11530,"16257.3,56848.95,73106.25"
,Medium,VTT,Midmarket,Canada,40100.4,28440,"40100.4,0,40100.4"
,Medium,VTT,Midmarket,France,16748.55,12270,"16748.55,40100.4,56848.95"
,Medium,VTT,Small Business,United States of America,732699,668750,"732699,2042349,2775048"
,Medium,VTT,Small Business,Canada,1275936,1142500,"1275936,0,1275936"
,Medium,VTT,Small Business,France,611883,545000,"611883,3500955,4112838"
,Medium,VTT,Small Business,Germany,725907,664750,"725907,2775048,3500955"
,Medium,VTT,Small Business,Mexico,766413,686750,"766413,1275936,2042349"
,None,Amarilla,Channel Partners,United States of America,49128,12282,"49128,0,49128"
