C13.City,C13.Year,Sum(C13.AC),,Sum(C13.PL)
Bulgaria,2008,8,"35.48,68.4,103.88",8
Bulgaria,2009,8,"34.76,103.88,138.64",8
Bulgaria,2010,14,"39.64,138.64,178.27999999999997",14
Bulgaria,2011,-5,"42.2,178.27999999999997,220.47999999999996",-5
Bulgaria,2012,6,"39.8,220.47999999999996,260.28",6
Bulgaria,2013,5,"41.28,260.28,301.55999999999995",5
Bulgaria,2014,10,"46.64,301.55999999999995,348.19999999999993",10
Bulgaria,2015,9,"44.12,348.19999999999993,392.31999999999994",9
Bulgaria,2016,,",392.31999999999994,392.31999999999994",3
Bulgaria,2017,,",392.31999999999994,392.31999999999994",4
Cologne,2006,79,"35.52,0,35.52",79
Cologne,2007,73,"32.88,35.52,68.4",73
Cologne,2008,69,"35.48,68.4,103.88",69
Cologne,2009,53,"34.76,103.88,138.64",53
Cologne,2010,50,"39.64,138.64,178.27999999999997",50
Cologne,2011,21,"42.2,178.27999999999997,220.47999999999996",21
Cologne,2012,48,"39.8,220.47999999999996,260.28",48
Cologne,2013,49,"41.28,260.28,301.55999999999995",49
Cologne,2014,38,"46.64,301.55999999999995,348.19999999999993",38
Cologne,2015,39,"44.12,348.19999999999993,392.31999999999994",39
Cologne,2016,,",392.31999999999994,392.31999999999994",41
Cologne,2017,,",392.31999999999994,392.31999999999994",41
Denmark,2006,-10,"35.52,0,35.52",-10
Denmark,2007,7,"32.88,35.52,68.4",7
Denmark,2008,-4,"35.48,68.4,103.88",-4
Denmark,2009,6,"34.76,103.88,138.64",6
Denmark,2010,0,"39.64,138.64,178.27999999999997",0
Denmark,2011,6,"42.2,178.27999999999997,220.47999999999996",6
Denmark,2012,-4,"39.8,220.47999999999996,260.28",-4
Denmark,2013,7,"41.28,260.28,301.55999999999995",7
Denmark,2014,-7,"46.64,301.55999999999995,348.19999999999993",-7
Denmark,2015,8,"44.12,348.19999999999993,392.31999999999994",8
Denmark,2016,,",392.31999999999994,392.31999999999994",6
Denmark,2017,,",392.31999999999994,392.31999999999994",7
Finland,2006,5,"35.52,0,35.52",5
Finland,2007,-6,"32.88,35.52,68.4",-6
Finland,2008,1,"35.48,68.4,103.88",1
Finland,2009,3,"34.76,103.88,138.64",3
Finland,2010,-5,"39.64,138.64,178.27999999999997",-5
Finland,2011,0,"42.2,178.27999999999997,220.47999999999996",0
Finland,2012,1,"39.8,220.47999999999996,260.28",1
Finland,2013,2,"41.28,260.28,301.55999999999995",2
Finland,2014,4,"46.64,301.55999999999995,348.19999999999993",4
Finland,2015,7,"44.12,348.19999999999993,392.31999999999994",7
Finland,2016,,",392.31999999999994,392.31999999999994",10
Finland,2017,,",392.31999999999994,392.31999999999994",10
Frankfurt,2006,50,"35.52,0,35.52",50
Frankfurt,2007,48,"32.88,35.52,68.4",48
Frankfurt,2008,40,"35.48,68.4,103.88",40
Frankfurt,2009,34,"34.76,103.88,138.64",34
Frankfurt,2010,89,"39.64,138.64,178.27999999999997",89
Frankfurt,2011,78,"42.2,178.27999999999997,220.47999999999996",78
Frankfurt,2012,38,"39.8,220.47999999999996,260.28",38
Frankfurt,2013,30,"41.28,260.28,301.55999999999995",30
Frankfurt,2014,24,"46.64,301.55999999999995,348.19999999999993",24
Frankfurt,2015,25,"44.12,348.19999999999993,392.31999999999994",25
Frankfurt,2016,,",392.31999999999994,392.31999999999994",24
Frankfurt,2017,,",392.31999999999994,392.31999999999994",26
Greece,2006,7,"35.52,0,35.52",7
Greece,2007,6,"32.88,35.52,68.4",6
Greece,2008,15,"35.48,68.4,103.88",15
Greece,2009,8,"34.76,103.88,138.64",8
Greece,2010,19,"39.64,138.64,178.27999999999997",19
Greece,2011,4,"42.2,178.27999999999997,220.47999999999996",4
Greece,2012,15,"39.8,220.47999999999996,260.28",15
Greece,2013,8,"41.28,260.28,301.55999999999995",8
Greece,2014,10,"46.64,301.55999999999995,348.19999999999993",10
Greece,2015,15,"44.12,348.19999999999993,392.31999999999994",15
Greece,2016,,",392.31999999999994,392.31999999999994",-4
Greece,2017,,",392.31999999999994,392.31999999999994",9
Ireland,2006,6,"35.52,0,35.52",6
Ireland,2007,8,"32.88,35.52,68.4",8
Ireland,2008,6,"35.48,68.4,103.88",6
Ireland,2009,6,"34.76,103.88,138.64",6
Ireland,2010,17,"39.64,138.64,178.27999999999997",17
Ireland,2011,6,"42.2,178.27999999999997,220.47999999999996",6
Ireland,2012,6,"39.8,220.47999999999996,260.28",6
Ireland,2013,10,"41.28,260.28,301.55999999999995",10
Ireland,2014,9,"46.64,301.55999999999995,348.19999999999993",9
Ireland,2015,-6,"44.12,348.19999999999993,392.31999999999994",-6
Ireland,2016,,",392.31999999999994,392.31999999999994",7
Ireland,2017,,",392.31999999999994,392.31999999999994",5
Italy,2006,-5,"35.52,0,35.52",-5
Italy,2007,10,"32.88,35.52,68.4",10
Italy,2008,8,"35.48,68.4,103.88",8
Italy,2009,-8,"34.76,103.88,138.64",-8
Italy,2010,15,"39.64,138.64,178.27999999999997",15
Italy,2011,5,"42.2,178.27999999999997,220.47999999999996",5
Italy,2012,8,"39.8,220.47999999999996,260.28",8
Italy,2013,5,"41.28,260.28,301.55999999999995",5
Italy,2014,-8,"46.64,301.55999999999995,348.19999999999993",-8
Italy,2015,8,"44.12,348.19999999999993,392.31999999999994",8
Italy,2016,,",392.31999999999994,392.31999999999994",6
Italy,2017,,",392.31999999999994,392.31999999999994",8
Lausanne,2006,98,"35.52,0,35.52",98
Lausanne,2007,88,"32.88,35.52,68.4",88
Lausanne,2008,73,"35.48,68.4,103.88",73
Lausanne,2009,79,"34.76,103.88,138.64",79
Lausanne,2010,133,"39.64,138.64,178.27999999999997",133
Lausanne,2011,66,"42.2,178.27999999999997,220.47999999999996",66
Lausanne,2012,73,"39.8,220.47999999999996,260.28",73
Lausanne,2013,70,"41.28,260.28,301.55999999999995",70
Lausanne,2014,66,"46.64,301.55999999999995,348.19999999999993",66
Lausanne,2015,62,"44.12,348.19999999999993,392.31999999999994",62
Lausanne,2016,,",392.31999999999994,392.31999999999994",66
Lausanne,2017,,",392.31999999999994,392.31999999999994",68
Linz,2006,112,"35.52,0,35.52",112
Linz,2007,104,"32.88,35.52,68.4",104
Linz,2008,134,"35.48,68.4,103.88",134
Linz,2009,113,"34.76,103.88,138.64",113
Linz,2010,45,"39.64,138.64,178.27999999999997",45
Linz,2011,123,"42.2,178.27999999999997,220.47999999999996",123
Linz,2012,109,"39.8,220.47999999999996,260.28",109
Linz,2013,98,"41.28,260.28,301.55999999999995",98
Linz,2014,78,"46.64,301.55999999999995,348.19999999999993",78
Linz,2015,89,"44.12,348.19999999999993,392.31999999999994",89
Linz,2016,,",392.31999999999994,392.31999999999994",95
Linz,2017,,",392.31999999999994,392.31999999999994",97
Lyon,2006,23,"35.52,0,35.52",23
Lyon,2007,34,"32.88,35.52,68.4",34
Lyon,2008,36,"35.48,68.4,103.88",36
Lyon,2009,46,"34.76,103.88,138.64",46
Lyon,2010,52,"39.64,138.64,178.27999999999997",52
Lyon,2011,69,"42.2,178.27999999999997,220.47999999999996",69
Lyon,2012,79,"39.8,220.47999999999996,260.28",79
Lyon,2013,84,"41.28,260.28,301.55999999999995",84
Lyon,2014,122,"46.64,301.55999999999995,348.19999999999993",122
Lyon,2015,89,"44.12,348.19999999999993,392.31999999999994",89
Lyon,2016,,",392.31999999999994,392.31999999999994",94
Lyon,2017,,",392.31999999999994,392.31999999999994",96
Munich,2006,25,"35.52,0,35.52",25
Munich,2007,26,"32.88,35.52,68.4",26
Munich,2008,26,"35.48,68.4,103.88",26
Munich,2009,45,"34.76,103.88,138.64",45
Munich,2010,58,"39.64,138.64,178.27999999999997",58
Munich,2011,88,"42.2,178.27999999999997,220.47999999999996",88
Munich,2012,77,"39.8,220.47999999999996,260.28",77
Munich,2013,66,"41.28,260.28,301.55999999999995",66
Munich,2014,55,"46.64,301.55999999999995,348.19999999999993",55
Munich,2015,44,"44.12,348.19999999999993,392.31999999999994",44
Munich,2016,,",392.31999999999994,392.31999999999994",48
Munich,2017,,",392.31999999999994,392.31999999999994",50
Norway,2006,10,"35.52,0,35.52",10
Norway,2007,8,"32.88,35.52,68.4",8
Norway,2008,9,"35.48,68.4,103.88",9
Norway,2009,9,"34.76,103.88,138.64",9
Norway,2010,20,"39.64,138.64,178.27999999999997",20
Norway,2011,9,"42.2,178.27999999999997,220.47999999999996",9
Norway,2012,9,"39.8,220.47999999999996,260.28",9
Norway,2013,8,"41.28,260.28,301.55999999999995",8
Norway,2014,12,"46.64,301.55999999999995,348.19999999999993",12
Norway,2015,9,"44.12,348.19999999999993,392.31999999999994",9
Norway,2016,,",392.31999999999994,392.31999999999994",9
Norway,2017,,",392.31999999999994,392.31999999999994",-9
Paris,2006,78,"35.52,0,35.52",78
Paris,2007,64,"32.88,35.52,68.4",64
Paris,2008,98,"35.48,68.4,103.88",98
Paris,2009,81,"34.76,103.88,138.64",81
Paris,2010,71,"39.64,138.64,178.27999999999997",71
Paris,2011,80,"42.2,178.27999999999997,220.47999999999996",80
Paris,2012,59,"39.8,220.47999999999996,260.28",59
Paris,2013,78,"41.28,260.28,301.55999999999995",78
Paris,2014,69,"46.64,301.55999999999995,348.19999999999993",69
Paris,2015,81,"44.12,348.19999999999993,392.31999999999994",81
Paris,2016,,",392.31999999999994,392.31999999999994",86
Paris,2017,,",392.31999999999994,392.31999999999994",88
Poland,2006,15,"35.52,0,35.52",15
Poland,2007,-8,"32.88,35.52,68.4",-8
Poland,2008,-7,"35.48,68.4,103.88",-7
Poland,2009,7,"34.76,103.88,138.64",7
Poland,2010,-6,"39.64,138.64,178.27999999999997",-6
Poland,2011,12,"42.2,178.27999999999997,220.47999999999996",12
Poland,2012,-7,"39.8,220.47999999999996,260.28",-7
Poland,2013,-8,"41.28,260.28,301.55999999999995",-8
Poland,2014,7,"46.64,301.55999999999995,348.19999999999993",7
Poland,2015,8,"44.12,348.19999999999993,392.31999999999994",8
Poland,2016,,",392.31999999999994,392.31999999999994",12
Poland,2017,,",392.31999999999994,392.31999999999994",12
Salzburg,2006,-7,"35.52,0,35.52",-7
Salzburg,2007,-5,"32.88,35.52,68.4",-5
Salzburg,2008,25,"35.48,68.4,103.88",25
Salzburg,2009,27,"34.76,103.88,138.64",27
Salzburg,2010,56,"39.64,138.64,178.27999999999997",56
Salzburg,2011,-5,"42.2,178.27999999999997,220.47999999999996",-5
Salzburg,2012,9,"39.8,220.47999999999996,260.28",9
Salzburg,2013,12,"41.28,260.28,301.55999999999995",12
Salzburg,2014,15,"46.64,301.55999999999995,348.19999999999993",15
Salzburg,2015,17,"44.12,348.19999999999993,392.31999999999994",17
Salzburg,2016,,",392.31999999999994,392.31999999999994",18
Salzburg,2017,,",392.31999999999994,392.31999999999994",21
San Mario,2006,4,"35.52,0,35.52",4
San Mario,2007,8,"32.88,35.52,68.4",8
San Mario,2008,10,"35.48,68.4,103.88",10
San Mario,2009,8,"34.76,103.88,138.64",8
San Mario,2010,-5,"39.64,138.64,178.27999999999997",-5
San Mario,2011,6,"42.2,178.27999999999997,220.47999999999996",6
San Mario,2012,10,"39.8,220.47999999999996,260.28",10
San Mario,2013,8,"41.28,260.28,301.55999999999995",8
San Mario,2014,5,"46.64,301.55999999999995,348.19999999999993",5
San Mario,2015,10,"44.12,348.19999999999993,392.31999999999994",10
San Mario,2016,,",392.31999999999994,392.31999999999994",6
San Mario,2017,,",392.31999999999994,392.31999999999994",9
Serbia,2006,7,"35.52,0,35.52",7
Serbia,2007,7,"32.88,35.52,68.4",7
Serbia,2008,8,"35.48,68.4,103.88",8
Serbia,2009,10,"34.76,103.88,138.64",10
Serbia,2010,18,"39.64,138.64,178.27999999999997",18
Serbia,2011,9,"42.2,178.27999999999997,220.47999999999996",9
Serbia,2012,8,"39.8,220.47999999999996,260.28",8
Serbia,2013,7,"41.28,260.28,301.55999999999995",7
Serbia,2014,10,"46.64,301.55999999999995,348.19999999999993",10
Serbia,2015,-6,"44.12,348.19999999999993,392.31999999999994",-6
Serbia,2016,,",392.31999999999994,392.31999999999994",10
Serbia,2017,,",392.31999999999994,392.31999999999994",10
Vienna,2006,90,"35.52,0,35.52",90
Vienna,2007,94,"32.88,35.52,68.4",94
Vienna,2008,99,"35.48,68.4,103.88",99
Vienna,2009,34,"34.76,103.88,138.64",34
Vienna,2010,88,"39.64,138.64,178.27999999999997",88
Vienna,2011,93,"42.2,178.27999999999997,220.47999999999996",93
Vienna,2012,88,"39.8,220.47999999999996,260.28",88
Vienna,2013,65,"41.28,260.28,301.55999999999995",65
Vienna,2014,51,"46.64,301.55999999999995,348.19999999999993",51
Vienna,2015,44,"44.12,348.19999999999993,392.31999999999994",44
Vienna,2016,,",392.31999999999994,392.31999999999994",47
Vienna,2017,,",392.31999999999994,392.31999999999994",49
Zurich,2006,67,"35.52,0,35.52",67
Zurich,2007,69,"32.88,35.52,68.4",69
Zurich,2008,56,"35.48,68.4,103.88",56
Zurich,2009,84,"34.76,103.88,138.64",84
Zurich,2010,-5,"39.64,138.64,178.27999999999997",-5
Zurich,2011,97,"42.2,178.27999999999997,220.47999999999996",97
Zurich,2012,34,"39.8,220.47999999999996,260.28",34
Zurich,2013,102,"41.28,260.28,301.55999999999995",102
Zurich,2014,95,"46.64,301.55999999999995,348.19999999999993",95
Zurich,2015,102,"44.12,348.19999999999993,392.31999999999994",102
Zurich,2016,,",392.31999999999994,392.31999999999994",105
Zurich,2017,,",392.31999999999994,392.31999999999994",107
