financials.Discount Band,financials.Country,financials.Product,financials.Segment,Sum(financials.COGS),
High,Germany,Paseo,Small Business,541500,"541500,2518500,3060000"
High,Germany,Paseo,Enterprise,130200,"130200,3239120,3369320"
High,Germany,Paseo,Midmarket,14530,"14530,3369320,3383850"
High,Germany,Paseo,Channel Partners,3039,"3039,3383850,3386889"
High,Germany,VTT,Government,502910,"502910,540820,1043730"
High,Germany,VTT,Enterprise,66240,"66240,1043730,1109970"
High,Germany,VTT,Midmarket,16670,"16670,1109970,1126640"
High,Germany,Velo,Government,15735,"15735,4039399,4055134"
High,Germany,Velo,Small Business,634000,"634000,3386889,4020889"
High,Germany,Velo,Midmarket,18510,"18510,4020889,4039399"
High,Germany,Velo,Channel Partners,4455,"4455,4055134,4059589"
High,Germany,Amarilla,Enterprise,379800,"379800,4059589,4439389"
High,Germany,Amarilla,Channel Partners,14448,"14448,4439389,4453837"
High,Germany,Montana,Government,540820,"540820,0,540820"
High,Germany,Carretera,Government,211740,"211740,2291630,2503370"
High,Germany,Carretera,Small Business,702750,"702750,1126640,1829390"
High,Germany,Carretera,Enterprise,462240,"462240,1829390,2291630"
High,Germany,Carretera,Midmarket,15130,"15130,2503370,2518500"
High,Mexico,Paseo,Government,1907125,"1907125,0,1907125"
High,Mexico,Paseo,Small Business,685250,"685250,1907125,2592375"
High,Mexico,Paseo,Enterprise,258720,"258720,2592375,2851095"
High,Mexico,Paseo,Midmarket,23640,"23640,2851095,2874735"
High,Mexico,Paseo,Channel Partners,1713,"1713,2874735,2876448"
High,Mexico,VTT,Government,26845,"26845,6143085,6169930"
High,Mexico,VTT,Small Business,108000,"108000,5927685,6035685"
High,Mexico,VTT,Enterprise,107400,"107400,6035685,6143085"
High,Mexico,VTT,Midmarket,6410,"6410,6169930,6176340"
High,Mexico,VTT,Channel Partners,3015,"3015,6176340,6179355"
High,Mexico,Velo,Government,461190,"461190,3527698,3988888"
High,Mexico,Velo,Small Business,651250,"651250,2876448,3527698"
High,Mexico,Velo,Enterprise,189000,"189000,3988888,4177888"
High,Mexico,Velo,Midmarket,6550,"6550,4177888,4184438"
High,Mexico,Velo,Channel Partners,4542,"4542,4184438,4188980"
High,Mexico,Amarilla,Government,144755,"144755,5256150,5400905"
High,Mexico,Amarilla,Small Business,136500,"136500,5400905,5537405"
High,Mexico,Amarilla,Enterprise,113640,"113640,5537405,5651045"
High,Mexico,Amarilla,Midmarket,40270,"40270,5651045,5691315"
High,Mexico,Amarilla,Channel Partners,1230,"1230,5691315,5692545"
High,Mexico,Montana,Government,67275,"67275,5829045,5896320"
High,Mexico,Montana,Small Business,136500,"136500,5692545,5829045"
High,Mexico,Montana,Midmarket,21570,"21570,5896320,5917890"
High,Mexico,Montana,Channel Partners,9795,"9795,5917890,5927685"
High,Mexico,Carretera,Government,269680,"269680,4786220,5055900"
High,Mexico,Carretera,Small Business,200250,"200250,5055900,5256150"
High,Mexico,Carretera,Enterprise,597240,"597240,4188980,4786220"
High,United States of America,Paseo,Government,866012.5,"866012.5,4762463,5628475.5"
High,United States of America,Paseo,Small Business,873750,"873750,3888713,4762463"
High,United States of America,Paseo,Midmarket,17670,"17670,5628475.5,5646145.5"
High,United States of America,Paseo,Channel Partners,12642,"12642,5646145.5,5658787.5"
High,United States of America,VTT,Government,996745,"996745,1461250,2457995"
High,United States of America,VTT,Small Business,1461250,"1461250,0,1461250"
High,United States of America,VTT,Enterprise,286440,"286440,2457995,2744435"
High,United States of America,VTT,Midmarket,25670,"25670,2744435,2770105"
High,United States of America,VTT,Channel Partners,5418,"5418,2770105,2775523"
High,United States of America,Velo,Government,262420,"262420,7974867.5,8237287.5"
High,United States of America,Velo,Small Business,1832000,"1832000,5658787.5,7490787.5"
High,United States of America,Velo,Enterprise,484080,"484080,7490787.5,7974867.5"
High,United States of America,Velo,Midmarket,7900,"7900,8237287.5,8245187.5"
High,United States of America,Velo,Channel Partners,2742,"2742,8245187.5,8247929.5"
High,United States of America,Amarilla,Government,70200,"70200,9406939.5,9477139.5"
High,United States of America,Amarilla,Small Business,748250,"748250,8247929.5,8996179.5"
High,United States of America,Amarilla,Enterprise,410760,"410760,8996179.5,9406939.5"
High,United States of America,Amarilla,Midmarket,57475,"57475,9477139.5,9534614.5"
High,United States of America,Amarilla,Channel Partners,14787,"14787,9534614.5,9549401.5"
High,United States of America,Montana,Government,889940,"889940,2775523,3665463"
High,United States of America,Montana,Enterprise,216480,"216480,3665463,3881943"
High,United States of America,Montana,Midmarket,6770,"6770,3881943,3888713"
High,United States of America,Carretera,Government,32410,"32410,10215361.5,10247771.5"
High,United States of America,Carretera,Small Business,252500,"252500,9962861.5,10215361.5"
High,United States of America,Carretera,Enterprise,413460,"413460,9549401.5,9962861.5"
High,United States of America,Carretera,Midmarket,25670,"25670,10247771.5,10273441.5"
High,United States of America,Carretera,Channel Partners,1158,"1158,10273441.5,10274599.5"
Low,Canada,Paseo,Government,783515,"783515,0,783515"
Low,Canada,Paseo,Small Business,479000,"479000,1564955,2043955"
Low,Canada,Paseo,Enterprise,781440,"781440,783515,1564955"
Low,Canada,Paseo,Midmarket,25810,"25810,2043955,2069765"
Low,Canada,Paseo,Channel Partners,3885,"3885,2069765,2073650"
Low,Canada,VTT,Government,251940,"251940,4675039,4926979"
Low,Canada,VTT,Small Business,468500,"468500,3879059,4347559"
Low,Canada,VTT,Enterprise,327480,"327480,4347559,4675039"
Low,Canada,Velo,Government,75425,"75425,5278819,5354244"
Low,Canada,Velo,Enterprise,351840,"351840,4926979,5278819"
Low,Canada,Amarilla,Government,462280,"462280,3416779,3879059"
Low,Canada,Amarilla,Small Business,479000,"479000,2937779,3416779"
Low,Canada,Montana,Government,23405,"23405,5354244,5377649"
Low,Canada,Montana,Midmarket,19670,"19670,5377649,5397319"
Low,Canada,Carretera,Government,764085,"764085,2073650,2837735"
Low,Canada,Carretera,Enterprise,89100,"89100,2837735,2926835"
Low,Canada,Carretera,Channel Partners,10944,"10944,2926835,2937779"
Low,France,Paseo,Government,585175,"585175,2056585,2641760"
Low,France,Paseo,Small Business,838125,"838125,611020,1449145"
Low,France,Paseo,Enterprise,607440,"607440,1449145,2056585"
Low,France,Paseo,Midmarket,45570,"45570,2641760,2687330"
Low,France,Paseo,Channel Partners,14223,"14223,2687330,2701553"
Low,France,VTT,Government,566020,"566020,3789811,4355831"
Low,France,VTT,Enterprise,303720,"303720,4355831,4659551"
Low,France,VTT,Channel Partners,2598,"2598,4659551,4662149"
Low,France,Velo,Government,607855,"607855,0,607855"
Low,France,Velo,Channel Partners,3165,"3165,607855,611020"
Low,France,Amarilla,Government,9410,"9410,4838767,4848177"
Low,France,Amarilla,Midmarket,3210,"3210,4848177,4851387"
Low,France,Montana,Government,16475,"16475,4816589,4833064"
Low,France,Montana,Enterprise,154440,"154440,4662149,4816589"
Low,France,Montana,Channel Partners,5703,"5703,4833064,4838767"
Low,France,Carretera,Government,571025,"571025,2701553,3272578"
Low,France,Carretera,Enterprise,509220,"509220,3272578,3781798"
Low,France,Carretera,Channel Partners,8013,"8013,3781798,3789811"
Low,Germany,Paseo,Small Business,957875,"957875,6896560,7854435"
Low,Germany,Paseo,Enterprise,585600,"585600,7854435,8440035"
Low,Germany,Paseo,Midmarket,26920,"26920,8440035,8466955"
Low,Germany,Paseo,Channel Partners,2298,"2298,8466955,8469253"
Low,Germany,VTT,Government,749335,"749335,3221110,3970445"
Low,Germany,VTT,Small Business,300000,"300000,3970445,4270445"
Low,Germany,VTT,Enterprise,188400,"188400,4270445,4458845"
Low,Germany,VTT,Midmarket,19450,"19450,4458845,4478295"
Low,Germany,VTT,Channel Partners,7437,"7437,4478295,4485732"
Low,Germany,Velo,Government,1519180,"1519180,0,1519180"
Low,Germany,Velo,Enterprise,97080,"97080,1519180,1616260"
Low,Germany,Amarilla,Government,1266980,"1266980,1616260,2883240"
Low,Germany,Amarilla,Small Business,64750,"64750,3156360,3221110"
Low,Germany,Amarilla,Enterprise,273120,"273120,2883240,3156360"
Low,Germany,Montana,Government,477010,"477010,5455732,5932742"
Low,Germany,Montana,Small Business,970000,"970000,4485732,5455732"
Low,Germany,Montana,Enterprise,204720,"204720,5932742,6137462"
Low,Germany,Carretera,Government,25800,"25800,6868462,6894262"
Low,Germany,Carretera,Small Business,731000,"731000,6137462,6868462"
Low,Germany,Carretera,Channel Partners,2298,"2298,6894262,6896560"
Low,Mexico,Paseo,Government,8800,"8800,3936328,3945128"
Low,Mexico,Paseo,Enterprise,692160,"692160,3208718,3900878"
Low,Mexico,Paseo,Midmarket,35450,"35450,3900878,3936328"
Low,Mexico,Paseo,Channel Partners,3252,"3252,3945128,3948380"
Low,Mexico,VTT,Government,1294540,"1294540,0,1294540"
Low,Mexico,VTT,Small Business,123500,"123500,1294540,1418040"
Low,Mexico,VTT,Enterprise,79440,"79440,1418040,1497480"
Low,Mexico,VTT,Midmarket,15140,"15140,1497480,1512620"
Low,Mexico,VTT,Channel Partners,5748,"5748,1512620,1518368"
Low,Mexico,Velo,Government,7250,"7250,4205780,4213030"
Low,Mexico,Velo,Enterprise,257400,"257400,3948380,4205780"
Low,Mexico,Velo,Channel Partners,3252,"3252,4213030,4216282"
Low,Mexico,Amarilla,Government,484900,"484900,2319688,2804588"
Low,Mexico,Amarilla,Small Business,275250,"275250,2804588,3079838"
Low,Mexico,Amarilla,Enterprise,128880,"128880,3079838,3208718"
Low,Mexico,Montana,Enterprise,335760,"335760,4216282,4552042"
Low,Mexico,Montana,Midmarket,42450,"42450,4552042,4594492"
Low,Mexico,Montana,Channel Partners,2070,"2070,4594492,4596562"
Low,Mexico,Carretera,Government,677820,"677820,1518368,2196188"
Low,Mexico,Carretera,Small Business,123500,"123500,2196188,2319688"
Low,United States of America,Paseo,Government,1011327.5,"1011327.5,1455750,2467077.5"
Low,United States of America,Paseo,Small Business,1455750,"1455750,0,1455750"
Low,United States of America,Paseo,Enterprise,87240,"87240,2467077.5,2554317.5"
Low,United States of America,Paseo,Midmarket,41100,"41100,2554317.5,2595417.5"
Low,United States of America,Paseo,Channel Partners,7534.5,"7534.5,2595417.5,2602952"
Low,United States of America,VTT,Government,159900,"159900,3313952,3473852"
Low,United States of America,VTT,Small Business,711000,"711000,2602952,3313952"
Low,United States of America,VTT,Enterprise,87240,"87240,3473852,3561092"
Low,United States of America,Velo,Government,23020,"23020,3775552,3798572"
Low,United States of America,Velo,Enterprise,79560,"79560,3695992,3775552"
Low,United States of America,Velo,Channel Partners,4395,"4395,3798572,3802967"
Low,United States of America,Amarilla,Government,12360,"12360,5101363,5113723"
Low,United States of America,Amarilla,Midmarket,6710,"6710,5113723,5120433"
Low,United States of America,Amarilla,Channel Partners,5967,"5967,5120433,5126400"
Low,United States of America,Montana,Government,15660,"15660,5082277,5097937"
Low,United States of America,Montana,Small Business,1199750,"1199750,3802967,5002717"
Low,United States of America,Montana,Enterprise,79560,"79560,5002717,5082277"
Low,United States of America,Montana,Channel Partners,3426,"3426,5097937,5101363"
Low,United States of America,Carretera,Government,83885,"83885,3561092,3644977"
Low,United States of America,Carretera,Enterprise,39600,"39600,3644977,3684577"
Low,United States of America,Carretera,Channel Partners,11415,"11415,3684577,3695992"
Medium,Canada,Paseo,Government,364220,"364220,2080380,2444600"
Medium,Canada,Paseo,Small Business,1050000,"1050000,1030380,2080380"
Medium,Canada,Paseo,Channel Partners,14190,"14190,2444600,2458790"
Medium,Canada,VTT,Government,21800,"21800,5125617,5147417"
Medium,Canada,VTT,Small Business,1142500,"1142500,3954677,5097177"
Medium,Canada,VTT,Midmarket,28440,"28440,5097177,5125617"
Medium,Canada,VTT,Channel Partners,9733.5,"9733.5,5147417,5157150.5"
Medium,Canada,Velo,Government,343525,"343525,3407165,3750690"
Medium,Canada,Velo,Small Business,948375,"948375,2458790,3407165"
Medium,Canada,Velo,Enterprise,182280,"182280,3750690,3932970"
Medium,Canada,Velo,Midmarket,12620,"12620,3932970,3945590"
Medium,Canada,Velo,Channel Partners,9087,"9087,3945590,3954677"
Medium,Canada,Amarilla,Government,816675,"816675,0,816675"
Medium,Canada,Amarilla,Enterprise,197400,"197400,816675,1014075"
Medium,Canada,Amarilla,Midmarket,16305,"16305,1014075,1030380"
Medium,Canada,Montana,Government,17575,"17575,6428525.5,6446100.5"
Medium,Canada,Montana,Small Business,1271375,"1271375,5157150.5,6428525.5"
Medium,Canada,Montana,Channel Partners,6963,"6963,6446100.5,6453063.5"
Medium,Canada,Carretera,Government,4095,"4095,6767552.5,6771647.5"
Medium,Canada,Carretera,Small Business,273500,"273500,6453063.5,6726563.5"
Medium,Canada,Carretera,Midmarket,28440,"28440,6726563.5,6755003.5"
Medium,Canada,Carretera,Channel Partners,12549,"12549,6755003.5,6767552.5"
Medium,France,Paseo,Government,450745,"450745,5524035,5974780"
Medium,France,Paseo,Small Business,443000,"443000,5974780,6417780"
Medium,France,Paseo,Enterprise,370680,"370680,6417780,6788460"
Medium,France,Paseo,Midmarket,97490,"97490,6788460,6885950"
Medium,France,VTT,Government,287685,"287685,7430950,7718635"
Medium,France,VTT,Small Business,545000,"545000,6885950,7430950"
Medium,France,VTT,Midmarket,12270,"12270,7718635,7730905"
Medium,France,VTT,Channel Partners,11917.5,"11917.5,7730905,7742822.5"
Medium,France,Velo,Government,974600,"974600,1533953,2508553"
Medium,France,Velo,Small Business,816500,"816500,2508553,3325053"
Medium,France,Velo,Enterprise,84480,"84480,3325053,3409533"
Medium,France,Velo,Channel Partners,5901,"5901,3409533,3415434"
Medium,France,Amarilla,Government,1294535,"1294535,0,1294535"
Medium,France,Amarilla,Enterprise,238500,"238500,1294535,1533035"
Medium,France,Amarilla,Channel Partners,918,"918,1533035,1533953"
Medium,France,Montana,Government,837475,"837475,4431684,5269159"
Medium,France,Montana,Small Business,1016250,"1016250,3415434,4431684"
Medium,France,Montana,Enterprise,222840,"222840,5269159,5491999"
Medium,France,Montana,Midmarket,25010,"25010,5491999,5517009"
Medium,France,Montana,Channel Partners,7026,"7026,5517009,5524035"
Medium,France,Carretera,Government,28065,"28065,8400072.5,8428137.5"
Medium,France,Carretera,Small Business,657250,"657250,7742822.5,8400072.5"
Medium,France,Carretera,Midmarket,4900,"4900,8433732.5,8438632.5"
Medium,France,Carretera,Channel Partners,5595,"5595,8428137.5,8433732.5"
Medium,Germany,Paseo,Government,642050,"642050,0,642050"
Medium,Germany,Paseo,Small Business,280750,"280750,1063610,1344360"
Medium,Germany,Paseo,Enterprise,421560,"421560,642050,1063610"
Medium,Germany,Paseo,Midmarket,38590,"38590,1344360,1382950"
Medium,Germany,Paseo,Channel Partners,5325,"5325,1382950,1388275"
Medium,Germany,VTT,Government,146180,"146180,4719231,4865411"
Medium,Germany,VTT,Small Business,664750,"664750,4054481,4719231"
Medium,Germany,VTT,Channel Partners,9285,"9285,4865411,4874696"
Medium,Germany,Velo,Government,367400,"367400,3012001,3379401"
Medium,Germany,Velo,Small Business,312500,"312500,3726681,4039181"
Medium,Germany,Velo,Enterprise,347280,"347280,3379401,3726681"
Medium,Germany,Velo,Midmarket,15300,"15300,4039181,4054481"
Medium,Germany,Amarilla,Government,385655,"385655,2177756,2563411"
Medium,Germany,Amarilla,Small Business,312500,"312500,2563411,2875911"
Medium,Germany,Amarilla,Enterprise,119280,"119280,2875911,2995191"
Medium,Germany,Amarilla,Midmarket,16810,"16810,2995191,3012001"
Medium,Germany,Montana,Government,391845,"391845,1388275,1780120"
Medium,Germany,Montana,Small Business,83500,"83500,2080120,2163620"
Medium,Germany,Montana,Enterprise,300000,"300000,1780120,2080120"
Medium,Germany,Montana,Midmarket,7110,"7110,2163620,2170730"
Medium,Germany,Montana,Channel Partners,7026,"7026,2170730,2177756"
Medium,Germany,Carretera,Government,11710,"11710,4981136,4992846"
Medium,Germany,Carretera,Enterprise,106440,"106440,4874696,4981136"
Medium,Germany,Carretera,Channel Partners,8088,"8088,4992846,5000934"
Medium,Mexico,Paseo,Government,1046025,"1046025,1658000,2704025"
Medium,Mexico,Paseo,Small Business,1658000,"1658000,0,1658000"
Medium,Mexico,Paseo,Enterprise,133680,"133680,2704025,2837705"
Medium,Mexico,Paseo,Channel Partners,9390,"9390,2837705,2847095"
Medium,Mexico,VTT,Government,34770,"34770,6209367,6244137"
Medium,Mexico,VTT,Small Business,686750,"686750,5417377,6104127"
Medium,Mexico,VTT,Enterprise,105240,"105240,6104127,6209367"
Medium,Mexico,Velo,Government,20245,"20245,6713427,6733672"
Medium,Mexico,Velo,Small Business,158750,"158750,6497337,6656087"
Medium,Mexico,Velo,Enterprise,253200,"253200,6244137,6497337"
Medium,Mexico,Velo,Midmarket,57340,"57340,6656087,6713427"
Medium,Mexico,Amarilla,Government,472275,"472275,3620845,4093120"
Medium,Mexico,Amarilla,Small Business,773750,"773750,2847095,3620845"
Medium,Mexico,Amarilla,Channel Partners,7494,"7494,4093120,4100614"
Medium,Mexico,Montana,Government,442000,"442000,4100614,4542614"
Medium,Mexico,Montana,Small Business,275000,"275000,4542614,4817614"
Medium,Mexico,Montana,Channel Partners,7020,"7020,4817614,4824634"
Medium,Mexico,Carretera,Government,375065,"375065,4824634,5199699"
Medium,Mexico,Carretera,Enterprise,184800,"184800,5199699,5384499"
Medium,Mexico,Carretera,Midmarket,27910,"27910,5384499,5412409"
Medium,Mexico,Carretera,Channel Partners,4968,"4968,5412409,5417377"
Medium,United States of America,Paseo,Government,396925,"396925,3721118,4118043"
Medium,United States of America,Paseo,Small Business,247750,"247750,4118043,4365793"
Medium,United States of America,Paseo,Enterprise,798000,"798000,2923118,3721118"
Medium,United States of America,Paseo,Midmarket,99570,"99570,4365793,4465363"
Medium,United States of America,VTT,Government,397885,"397885,2507835,2905720"
Medium,United States of America,VTT,Small Business,668750,"668750,1839085,2507835"
Medium,United States of America,VTT,Midmarket,11530,"11530,2905720,2917250"
Medium,United States of America,VTT,Channel Partners,5868,"5868,2917250,2923118"
Medium,United States of America,Velo,Government,216320,"216320,5242283,5458603"
Medium,United States of America,Velo,Small Business,343000,"343000,4899283,5242283"
Medium,United States of America,Velo,Enterprise,433920,"433920,4465363,4899283"
Medium,United States of America,Velo,Midmarket,5550,"5550,5458603,5464153"
Medium,United States of America,Amarilla,Government,754835,"754835,0,754835"
Medium,United States of America,Amarilla,Small Business,343000,"343000,754835,1097835"
Medium,United States of America,Montana,Government,12820,"12820,6235033,6247853"
Medium,United States of America,Montana,Enterprise,770880,"770880,5464153,6235033"
Medium,United States of America,Montana,Channel Partners,8169,"8169,6247853,6256022"
Medium,United States of America,Carretera,Government,473200,"473200,1097835,1571035"
Medium,United States of America,Carretera,Small Business,247750,"247750,1571035,1818785"
Medium,United States of America,Carretera,Midmarket,20300,"20300,1818785,1839085"
None,Canada,Paseo,Government,469590,"469590,0,469590"
None,Canada,Paseo,Midmarket,21520,"21520,469590,491110"
None,Canada,Paseo,Channel Partners,7554,"7554,491110,498664"
None,Canada,VTT,Government,18170,"18170,998914,1017084"
None,Canada,VTT,Small Business,500250,"500250,498664,998914"
None,Canada,Velo,Enterprise,41400,"41400,1033269,1074669"
None,Canada,Montana,Enterprise,361260,"361260,1074669,1435929"
None,Canada,Montana,Channel Partners,7554,"7554,1435929,1443483"
None,Canada,Carretera,Government,16185,"16185,1017084,1033269"
None,France,Paseo,Midmarket,5490,"5490,1709530,1715020"
None,France,VTT,Government,397020,"397020,1271740,1668760"
None,France,VTT,Small Business,537750,"537750,733990,1271740"
None,France,VTT,Midmarket,21780,"21780,1668760,1690540"
None,France,Velo,Enterprise,216480,"216480,1715020,1931500"
None,France,Amarilla,Government,733990,"733990,0,733990"
None,France,Montana,Government,18990,"18990,1690540,1709530"
None,France,Carretera,Midmarket,21780,"21780,1931500,1953280"
None,Germany,Paseo,Government,654940,"654940,0,654940"
None,Germany,Paseo,Channel Partners,1101,"1101,654940,656041"
None,Germany,VTT,Midmarket,8880,"8880,1883534,1892414"
None,Germany,VTT,Channel Partners,8514,"8514,1892414,1900928"
None,Germany,Velo,Government,261560,"261560,1071511,1333071"
None,Germany,Velo,Channel Partners,11118,"11118,1333071,1344189"
None,Germany,Amarilla,Government,8430,"8430,1875104,1883534"
None,Germany,Amarilla,Enterprise,506340,"506340,1368764,1875104"
None,Germany,Montana,Government,10730,"10730,1344189,1354919"
None,Germany,Montana,Midmarket,9210,"9210,1354919,1364129"
None,Germany,Montana,Channel Partners,4635,"4635,1364129,1368764"
None,Germany,Carretera,Government,406590,"406590,656041,1062631"
None,Germany,Carretera,Midmarket,8880,"8880,1062631,1071511"
None,Mexico,Paseo,Government,4415,"4415,238925,243340"
None,Mexico,Paseo,Small Business,197000,"197000,7465,204465"
None,Mexico,Paseo,Midmarket,34460,"34460,204465,238925"
None,Mexico,Velo,Government,7465,"7465,0,7465"
None,Mexico,Montana,Small Business,239500,"239500,243340,482840"
None,Mexico,Montana,Midmarket,24700,"24700,482840,507540"
None,Mexico,Carretera,Midmarket,24700,"24700,507540,532240"
None,United States of America,Paseo,Government,5715,"5715,0,5715"
None,United States of America,Paseo,Channel Partners,2736,"2736,5715,8451"
None,United States of America,Velo,Enterprise,338520,"338520,32598,371118"
None,United States of America,Amarilla,Government,5715,"5715,26883,32598"
None,United States of America,Amarilla,Midmarket,6150,"6150,20733,26883"
None,United States of America,Amarilla,Channel Partners,12282,"12282,8451,20733"
None,United States of America,Montana,Midmarket,6150,"6150,371118,377268"
