4000.Invoice/Item Number,Sum(4000.Sale (Dollars)),,Sum(4000.State Bottle Cost),Sum(4000.State Bottle Retail),CountNonNull(4000.Category Name),CountNonNull(4000.County)
S28456400012,388.8,NaN,7.2,10.8,1,1
S20307200044,387.36,NaN,7.17,10.76,1,1
S26070700013,384,NaN,5.33,8,1,1
S29049100001,384,NaN,6.4,9.6,,1
S23054700056,378.54,NaN,14.02,21.03,1,1
S05639200012,373.92,NaN,10.14,15.58,1,1
S12402100020,368.88,NaN,20.5,30.74,1,1
S07392800064,359.88,NaN,20,29.99,1,1
S24046700016,359.88,NaN,19.99,29.99,1,1
S25579300004,359.76,NaN,9.99,14.99,1,1
S16193400018,358.08,NaN,9.7,14.92,1,1
S05539300009,351.84,NaN,9.77,14.66,1,1
S18580700035,351.84,NaN,4.89,7.33,1,1
S19999100028,351.12,NaN,9.75,14.63,1,1
S14808900085,347.04,NaN,9.64,14.46,1,1
S22523900016,342,NaN,19,28.5,1,1
S22908300012,342,NaN,19,28.5,1,1
S26152300009,341.88,NaN,18.99,28.49,1,1
S09829600003,341.04,NaN,9.22,14.21,1,1
S12518800029,338.4,NaN,4.7,7.05,1,1
S26739200007,337.56,NaN,18.75,28.13,1,1
S21268300120,333.12,NaN,9.25,13.88,1,1
S23248800043,333,NaN,18.5,27.75,1,1
S23480500007,333,NaN,18.5,27.75,1,1
S25925400005,333,NaN,18.5,27.75,1,1
S20323800002,332.88,NaN,18.49,27.74,1,1
S21231500013,332.88,NaN,18.49,27.74,1,1
S23036700001,332.88,NaN,18.49,27.74,1,1
S23248800046,332.88,NaN,18.49,27.74,1,1
S24302900013,332.88,NaN,18.49,27.74,1,1
S15052200007,329.04,NaN,3.05,4.57,1,1
S17844500070,328.44,NaN,18.25,27.37,1,1
S16305100002,325.68,NaN,18.09,27.14,1,1
S29195400002,325.68,NaN,18.09,27.14,,1
S29195500002,325.68,NaN,18.09,27.14,,1
S29195900002,325.68,NaN,18.09,27.14,,1
S29197200002,325.68,NaN,18.09,27.14,,1
S29197600002,325.68,NaN,18.09,27.14,,1
S29199300001,325.68,NaN,18.09,27.14,,1
S09123000035,325.56,NaN,18.08,27.13,1,1
S11360200006,325.56,NaN,18.08,27.13,1,1
S19206900017,324,NaN,9,13.5,1,1
S20507300004,324,NaN,18,27,1,1
S23383700003,324,NaN,9,13.5,1,1
S26501000001,324,NaN,18,27,1,1
S04846600029,323.52,NaN,17.97,26.96,1,1
S06534000002,323.52,NaN,17.97,26.96,1,1
S20315600007,323.28,NaN,8.98,13.47,1,1
S24400500005,323.28,NaN,8.98,13.47,1,1
S24892500005,323.28,NaN,8.98,13.47,1,1
S28577000022,323.28,NaN,8.98,13.47,1,1
S19555000013,322.8,NaN,7.17,10.76,1,1
S21820400003,320.88,NaN,17.49,26.74,1,1
S06081300050,319.8,NaN,17.76,26.65,1,1
S06409000011,319.8,NaN,17.76,26.65,1,1
S11530500012,319.8,NaN,17.76,26.65,1,1
S10976800108,316.8,NaN,17.6,26.4,1,1
S27492200023,315,NaN,17.5,26.25,1,1
S08169800010,314.88,NaN,17.5,26.24,1,1
S09196400014,314.88,NaN,17.5,26.24,1,1
S10057400019,314.88,NaN,17.5,26.24,1,1
S10893900001,314.88,NaN,17.5,26.24,1,1
S14382000120,314.88,NaN,8.75,13.12,1,1
S03466800009,314.28,NaN,17.46,26.19,1,1
S12523700003,313.32,NaN,17.4,26.11,1,1
S12744100005,313.32,NaN,17.4,26.11,1,1
S12558300003,311.76,NaN,11.55,17.32,1,1
S23188500055,311.52,NaN,4.72,7.08,1,1
S06123100028,310.56,NaN,17.25,25.88,1,1
S06789300028,310.56,NaN,17.25,25.88,1,1
S12003300029,310.56,NaN,17.25,25.88,1,1
S18737000016,310.56,NaN,17.25,25.88,1,1
S07192700034,310.44,NaN,17.25,25.87,1,1
S17870700026,310.44,NaN,17.25,25.87,1,1
S06682600011,305.88,NaN,17,25.49,1,1
S14780800011,305.88,NaN,17,25.49,1,1
S04746400011,305.76,NaN,16.99,25.48,1,1
S06305800043,305.76,NaN,8.5,12.74,1,1
S07987200011,305.76,NaN,8.5,12.74,1,1
S11725700004,305.76,NaN,8.5,12.74,1,1
S11089200007,305.28,NaN,8.48,12.72,1,1
S09708000011,304.44,NaN,16.92,25.37,1,1
S19619400033,304.14,NaN,33.79,50.69,1,1
S19201600003,303.72,NaN,16.87,25.31,1,1
S21804500058,303.72,NaN,16.87,25.31,1,1
S13029900003,302.88,NaN,8.25,12.62,1,1
S16288500014,302.28,NaN,16.8,25.19,1,1
S16405100057,302.28,NaN,16.79,25.19,1,1
S15431000148,299.84,NaN,99.95,149.92,1,1
S24908600061,297.12,NaN,8.25,12.38,1,1
S25943800014,297.12,NaN,8.25,12.38,1,1
S27656600038,297.12,NaN,8.25,12.38,1,1
S21558100023,297,NaN,16.5,24.75,1,1
S24813700075,297,NaN,16.5,24.75,1,1
S26082500045,297,NaN,16.5,24.75,1,1
S29216200002,297,NaN,99,148.5,1,1
S29249700269,297,NaN,99,148.5,1,1
S16648200019,296.88,NaN,8.25,12.37,1,1
S04199100045,296.4,NaN,16.47,24.7,1,1
S09696500015,296.4,NaN,16.47,24.7,1,1
S18395700001,294.48,NaN,8.18,12.27,1,1
S22740300001,294.12,NaN,16.34,24.51,1,1
S14055000066,294,NaN,16.33,24.5,1,1
S03907100002,292.08,NaN,8.11,12.17,1,1
S16114600064,288,NaN,4,6,1,1
S23430500041,288,NaN,8,12,1,1
S07675100007,287.88,NaN,16,23.99,1,1
S04561200016,286.56,NaN,7.96,11.94,1,1
S24693100092,286.08,NaN,3.97,5.96,1,1
S05954400023,283.44,NaN,31.5,47.24,1,1
S20073300022,283.44,NaN,31.5,47.24,1,1
S09132800007,283.32,NaN,15.74,23.61,1,1
S13610700068,283.32,NaN,15.74,23.61,1,1
S25352000026,282.24,NaN,10.45,15.68,1,1
S12629900014,282.06,NaN,10.45,15.67,1,1
S14289300033,282.06,NaN,10.45,15.67,1,1
S14349500001,282.06,NaN,10.45,15.67,1,1
S15902500004,279.72,NaN,15.54,23.31,1,1
S19096000040,279.72,NaN,15.54,23.31,1,1
S20570900026,279.72,NaN,15.54,23.31,1,1
S13208100054,279,NaN,15.5,23.25,1,1
S14639500070,279,NaN,15.5,23.25,1,1
S09577800016,278.94,NaN,31,46.49,1,1
S18058600013,277.2,NaN,7.7,11.55,1,1
S27052600065,276,NaN,15.33,23,1,1
S18933400004,275.52,NaN,7.65,11.48,1,1
S22317600039,274.56,NaN,15.25,22.88,1,1
S25453700072,274.56,NaN,15.25,22.88,1,1
S06942000019,274.44,NaN,15.25,22.87,1,1
S07051600017,274.44,NaN,15.25,22.87,1,1
S19245100115,274.32,NaN,7.62,11.43,1,1
S28368000192,274.32,NaN,7.62,11.43,1,1
S28388100003,271.32,NaN,15.07,22.61,1,1
S04350000018,271.2,NaN,7.53,11.3,1,1
S28305200182,270.72,NaN,7.52,11.28,1,1
S09865400028,270,NaN,10,15,1,1
S21339600007,270,NaN,15,22.5,1,1
S23647700049,270,NaN,15,22.5,1,1
S26111200008,270,NaN,15,22.5,1,1
S27309700006,270,NaN,15,22.5,1,1
S28237000025,270,NaN,15,22.5,1,1
S13408400029,269.88,NaN,15,22.49,1,1
S16427400033,269.88,NaN,15,22.49,1,1
S19073800005,269.88,NaN,15,22.49,1,1
S25363600022,269.88,NaN,14.99,22.49,1,1
S07658400005,269.76,NaN,7.5,11.24,1,1
S13095400056,269.76,NaN,14.99,22.48,1,1
S17201700034,269.76,NaN,14.99,22.48,1,1
S19959800026,269.76,NaN,14.99,22.48,1,1
S04958800091,269.64,NaN,14.98,22.47,1,1
S17244200008,268.56,NaN,9.7,14.92,1,1
S20346000006,268.56,NaN,9.7,14.92,1,1
S04374500007,268.08,NaN,14.89,22.34,1,1
S15791900012,267.84,NaN,4.83,7.44,1,1
S06922300086,267.48,NaN,29.72,44.58,1,1
S18118900081,267.48,NaN,29.72,44.58,1,1
S22101400030,267.48,NaN,29.72,44.58,1,1
S19687100088,266.76,NaN,4.94,7.41,1,1
S12024300003,265.56,NaN,14.75,22.13,1,1
S12620200001,265.56,NaN,14.75,22.13,1,1
S17110000005,265.56,NaN,14.75,22.13,1,1
S13344600034,265.44,NaN,14.75,22.12,1,1
S05073400006,264.48,NaN,7.35,11.02,1,1
S10265900017,264,NaN,14.67,22,1,1
S21645100008,261.6,NaN,14.53,21.8,1,1
S24880000024,261,NaN,14.5,21.75,1,1
S09094000005,260.88,NaN,14.5,21.74,1,1
S10635800004,260.88,NaN,14.49,21.74,1,1
S11163800001,260.88,NaN,14.5,21.74,1,1
S14927400008,260.88,NaN,14.49,21.74,1,1
S18535200026,258.24,NaN,7.17,10.76,1,1
S20167600022,258.24,NaN,28.69,43.04,1,1
S21049400056,258.24,NaN,28.69,43.04,1,1
S26770000026,258.24,NaN,7.17,10.76,1,1
S15334900137,256.92,NaN,14.17,21.41,1,1
S06394800076,256.68,NaN,4.75,7.13,1,1
S10222700014,256.68,NaN,4.75,7.13,1,1
S16619300004,254.88,NaN,7.08,10.62,1,1
S21574800010,254.88,NaN,7.08,10.62,1,1
S22778300043,254.88,NaN,9.44,14.16,1,1
S19356100011,253.8,NaN,14.1,21.15,1,1
S15417800005,253.56,NaN,13.75,21.13,1,1
S21143400018,252.72,NaN,14.04,21.06,1,1
S13639800031,252.6,NaN,14.04,21.05,1,1
S18051900008,252.6,NaN,14.04,21.05,1,1
S17360400099,252,NaN,3.5,5.25,1,1
S22671900112,252,NaN,14,21,1,1
S26056300007,252,NaN,7,10.5,1,1
S19203800006,251.88,NaN,14,20.99,1,1
S16443100208,251.76,NaN,7,10.49,1,1
S21789100015,249.75,NaN,18.5,27.75,1,1
S20624200074,249.48,NaN,13.86,20.79,1,1
S26347500007,249.48,NaN,13.86,20.79,1,1
S18077100007,249.3,NaN,27.7,41.55,1,1
S08127900002,249.24,NaN,27.69,41.54,1,1
S10489000006,249.24,NaN,27.69,41.54,1,1
S24518200007,248.76,NaN,13.82,20.73,1,1
S15719600005,248.4,NaN,6.9,10.35,1,1
S17001800097,248.4,NaN,6.9,10.35,1,1
S26005800013,247.86,NaN,9.18,13.77,1,1
S19475300007,247.44,NaN,27.49,41.24,1,1
S03617300045,245.4,NaN,13.63,20.45,1,1
S14871800069,245.4,NaN,13.63,20.45,1,1
S04053900011,244.8,NaN,3.4,5.1,1,1
S06793600021,244.5,NaN,27.17,40.75,1,1
S21347900065,243.84,NaN,6.77,10.16,1,1
S27333200051,243.84,NaN,27.09,40.64,1,1
S19452600014,243.12,NaN,6.75,10.13,1,1
S16498700048,243,NaN,13.5,20.25,1,1
S22914600118,243,NaN,13.5,20.25,1,1
S23225300003,243,NaN,13.5,20.25,1,1
S24673100035,243,NaN,9,13.5,1,1
S28789500014,243,NaN,13.5,20.25,1,1
S10761900013,242.88,NaN,6.75,10.12,1,1
S23217800007,242.64,NaN,6.74,10.11,1,1
S22095600014,240.84,NaN,8.92,13.38,1,1
S21814900008,240.78,NaN,26.75,40.13,1,1
S03707200007,240.06,NaN,26.67,40.01,1,1
S21995800050,240,NaN,3.33,5,1,1
S25028500002,240,NaN,3.33,5,1,1
S28594500122,239.96,NaN,39.99,59.99,1,1
S03850900017,239.88,NaN,13.33,19.99,1,1
S27728500002,238.8,NaN,6.63,9.95,1,1
S22125200003,238.56,NaN,13.25,19.88,1,1
S25875100023,238.56,NaN,13.25,19.88,1,1
S26756900089,238.56,NaN,13.25,19.88,1,1
S10564300004,235.8,NaN,13.1,19.65,1,1
S17392000009,235.44,NaN,6.54,9.81,1,1
S15310000005,235.2,NaN,6.53,9.8,1,1
S20253700012,234.72,NaN,6.52,9.78,1,1
S08158100005,234.48,NaN,6.51,9.77,1,1
S09735600074,234.48,NaN,26.05,39.08,1,1
S13025200026,234.48,NaN,6.51,9.77,1,1
S13129600006,234.48,NaN,6.51,9.77,1,1
S16850500002,234.48,NaN,26.05,39.08,1,1
S24809200098,234.48,NaN,26.05,39.08,1,1
S04281300008,234.24,NaN,3.25,4.88,1,1
S04107100007,234.12,NaN,13.01,19.51,1,1
S08118000002,234,NaN,6.5,9.75,1,1
S18142000006,234,NaN,13,19.5,1,1
S12605700002,233.88,NaN,13,19.49,1,1
S13073200029,233.88,NaN,13,19.49,1,1
S16748500088,233.88,NaN,13,19.49,1,1
S13507500005,232.2,NaN,12.9,19.35,1,1
S04167300033,231.18,NaN,25.69,38.53,1,1
S10732900021,230.28,NaN,12.8,19.19,1,1
S12384200058,229.56,NaN,12.75,19.13,1,1
S19803500002,227.76,NaN,6.25,9.49,1,1
S23179100034,226.8,NaN,6.3,9.45,1,1
S26486800001,225.72,NaN,12.54,18.81,1,1
S03981900019,225,NaN,12.5,18.75,1,1
S04873900062,225,NaN,12.5,18.75,1,1
S07153200063,225,NaN,12.5,18.75,1,1
S20803600017,225,NaN,12.5,18.75,1,1
S24688600001,225,NaN,12.5,18.75,1,1
S08188100009,224.88,NaN,12.5,18.74,1,1
S12746200010,224.88,NaN,12.5,18.74,1,1
S18740000069,224.88,NaN,12.5,18.74,1,1
S27042500066,224.88,NaN,12.49,18.74,1,1
S16792000010,224.64,NaN,12.48,18.72,1,1
S17181000003,224.64,NaN,12.48,18.72,1,1
S17594800005,224.64,NaN,12.48,18.72,1,1
S27300200008,224.64,NaN,12.48,18.72,1,1
S22434100001,223.44,NaN,12.41,18.62,1,1
S09356600021,222.06,NaN,24.67,37.01,1,1
S05694100030,220.8,NaN,3.07,4.6,1,1
S18921800003,220.8,NaN,3.07,4.6,1,1
S16583000020,220.56,NaN,12.25,18.38,1,1
S27488600003,220.56,NaN,12.25,18.38,1,1
S05585100041,220.44,NaN,12.24,18.37,1,1
S12223700005,220.32,NaN,12.24,18.36,1,1
S17635600002,219.84,NaN,12.21,18.32,1,1
S23699600001,217.44,NaN,12.08,18.12,1,1
S14683700029,217.32,NaN,12.07,18.11,1,1
S15087100016,217.32,NaN,12.07,18.11,1,1
S20840300025,216.96,NaN,12.05,18.08,1,1
S24253700058,216.96,NaN,12.05,18.08,1,1
S25977600047,216.96,NaN,12.05,18.08,1,1
S21721200051,216,NaN,3,4.5,1,1
S23593300006,216,NaN,4,6,1,1
S05525700119,215.88,NaN,12,17.99,1,1
S05590100008,215.88,NaN,12,17.99,1,1
S07253700021,215.88,NaN,12,17.99,1,1
S14255400037,215.88,NaN,11.99,17.99,1,1
S15143300016,215.88,NaN,12,17.99,1,1
S17669500007,215.88,NaN,12,17.99,1,1
S20386900061,215.88,NaN,12,17.99,1,1
S24712100102,215.88,NaN,11.99,17.99,1,1
S26122500016,215.88,NaN,11.99,17.99,1,1
S08736600003,215.52,NaN,3,4.49,1,1
S04184400060,215.16,NaN,11.95,17.93,1,1
S19137100007,214.56,NaN,11.92,17.88,1,1
S10347300038,214.2,NaN,11.9,17.85,1,1
S06276100048,212.88,NaN,11.82,17.74,1,1
S06847200026,212.88,NaN,11.82,17.74,1,1
S08436700068,212.88,NaN,11.82,17.74,1,1
S24497500063,212.04,NaN,11.78,17.67,1,1
S20875700002,211.56,NaN,11.75,17.63,1,1
S21147400058,211.56,NaN,11.75,17.63,1,1
S21215700008,211.56,NaN,11.75,17.63,1,1
S23115800011,211.56,NaN,11.75,17.63,1,1
S25581200005,211.56,NaN,11.75,17.63,1,1
S25959800020,211.56,NaN,11.75,17.63,1,1
S26775200012,211.56,NaN,11.75,17.63,1,1
S28813800127,211.56,NaN,11.75,17.63,1,1
S29141600008,211.56,NaN,11.75,17.63,1,1
S29323600006,211.56,NaN,11.75,17.63,1,1
S16043900004,211.44,NaN,11.75,17.62,1,1
S18792800003,211.44,NaN,11.75,17.62,1,1
S19028200005,211.44,NaN,11.75,17.62,1,1
S06222200009,211.2,NaN,5.87,8.8,1,1
S03868400054,209.76,NaN,23.31,34.96,1,1
S29137200001,209.16,NaN,11.62,17.43,1,1
S03645700025,208.44,NaN,11.58,17.37,1,1
S04414100075,208.44,NaN,11.58,17.37,1,1
S03525300018,207.84,NaN,11.55,17.32,1,1
S07991900071,207.84,NaN,11.55,17.32,1,1
S16342800032,207.84,NaN,11.55,17.32,1,1
S07403000016,207.72,NaN,11.54,17.31,1,1
S05505700029,207.24,NaN,10.76,17.27,1,1
S26536300154,207,NaN,11.5,17.25,1,1
S13247900057,206.88,NaN,11.5,17.24,1,1
S13807800033,206.88,NaN,11.49,17.24,1,1
S13994500068,206.88,NaN,11.49,17.24,1,1
S20429900028,206.88,NaN,11.49,17.24,1,1
S23877600066,206.88,NaN,11.49,17.24,1,1
S25728500004,206.88,NaN,11.49,17.24,1,1
S29326100028,206.88,NaN,11.49,17.24,1,1
S11189800007,206.16,NaN,11.45,17.18,1,1
S11581200038,206.16,NaN,11.45,17.18,1,1
S23948400010,205.92,NaN,11.44,17.16,1,1
S27840300200,205.92,NaN,11.44,17.16,1,1
S14271400030,205.2,NaN,7.6,11.4,1,1
S25940400007,205.2,NaN,5.7,8.55,1,1
S26665300043,205.2,NaN,5.7,8.55,1,1
S05535400077,204.66,NaN,7.58,11.37,1,1
S22088400005,204.12,NaN,11.34,17.01,1,1
S04689200003,204,NaN,22.67,34,1,1
S08983500008,204,NaN,11.33,17,1,1
S09497300002,203.28,NaN,11.3,16.94,1,1
S10012700032,203.28,NaN,11.3,16.94,1,1
S22877600010,203.28,NaN,11.29,16.94,1,1
S26387500008,202.5,NaN,22.5,33.75,1,1
S04368600019,202.44,NaN,11.24,16.87,1,1
S24057300076,202.44,NaN,22.49,33.74,1,1
S24509000023,201.78,NaN,7.47,11.21,1,1
S28076900010,201.78,NaN,7.47,11.21,1,1
S16172900077,201.12,NaN,11.17,16.76,1,1
S17003200042,201.12,NaN,11.17,16.76,1,1
S11473400014,200.88,NaN,11.16,16.74,1,1
S14898300012,198.6,NaN,11.03,16.55,1,1
S16185700014,198.6,NaN,11.03,16.55,1,1
S26569700008,198.24,NaN,2.75,4.13,1,1
S05296400028,198,NaN,11,16.5,1,1
S10164100080,198,NaN,11,16.5,1,1
S11577700018,198,NaN,11,16.5,1,1
S12033700005,198,NaN,5.5,8.25,1,1
S19547600019,198,NaN,11,16.5,1,1
S21679900036,198,NaN,11,16.5,1,1
S22356700079,198,NaN,5.5,8.25,1,1
S25135500055,198,NaN,11,16.5,1,1
S27065400059,198,NaN,11,16.5,1,1
S19077700001,197.94,NaN,21.99,32.99,1,1
S03494700006,197.88,NaN,10.99,16.49,1,1
S03810100008,197.88,NaN,10.99,16.49,1,1
S05219100034,197.88,NaN,10.99,16.49,1,1
S07322200131,197.88,NaN,10.5,16.49,1,1
S08727300001,197.88,NaN,11,16.49,1,1
S10910700032,197.88,NaN,11,16.49,1,1
S13604600007,197.88,NaN,11,16.49,1,1
S14937300133,197.88,NaN,10.99,16.49,1,1
S18776200003,197.88,NaN,10.74,16.49,1,1
S24216400028,197.88,NaN,10.99,16.49,1,1
S27467100025,197.88,NaN,10.99,16.49,1,1
S08192500005,197.76,NaN,5.49,8.24,1,1
S08317900064,197.76,NaN,10.98,16.48,1,1
S25961300033,195.12,NaN,5.42,8.13,1,1
S06762000049,195,NaN,10.83,16.25,1,1
