Orders.Ship Mode,Orders.Sub-Category,Sum(Orders.Profit),,Sum(Orders.Quantity),Min(Orders.Product Name)
Second Class,Appliances,4906.695699999998,"4534.501350000002,63553.629125,68088.130475",324,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
Second Class,Furnishings,1808.7125999999998,"3264.7858999999985,68934.3197,72199.1056",648,12-1/2 Diameter Round Wall Clock
Second Class,Envelopes,1280.4035000000006,"1741.0441749999998,75217.61585,76958.660025",186,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
Second Class,Art,1299.1289,"1631.9467499999996,73585.6691,75217.61585",585,4009 Highlighters by Sanford
Second Class,Labels,1466.7880999999993,"1386.5634999999997,72199.1056,73585.6691",252,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll"
Second Class,Machines,2157.029899999999,"846.1892249999995,68088.130475,68934.3197",43,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner"
Second Class,Fasteners,158.0298,"237.37954999999994,76958.660025,77196.039575",168,"Acco Banker's Clasps, 5 3/4""-Long"
Second Class,Supplies,-505.56239999999974,"-297.27487499999984,77196.039575,76898.7647",152,Acme Box Cutter Scissors
Second Class,Bookcases,-1028.0213000000006,"-868.1390000000004,76898.7647,76030.6257",175,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors"
Second Class,Tables,-3320.6798999999996,"-4431.370274999999,76030.6257,71599.25542500001",257,Anderson Hickey Conga Table Tops & Accessories
Standard Class,Copiers,31354.62040000001,"13904.456225000002,0,13904.456225000002",129,Brother DCP1000 Digital 3 in 1 Multifunction Machine
Standard Class,Phones,25953.350600000016,"11128.932650000006,13904.456225000002,25033.388875000008",1987,Aastra 57i VoIP phone
Standard Class,Accessories,23428.860799999988,"10484.158924999996,25033.388875000008,35517.5478",1720,AmazonBasics 3-Button USB Wired Mouse
Standard Class,Paper,19478.8185,"8513.392324999999,43072.988625,51586.38095",2984,"""While you Were Out"" Message Book, One Form per Page"
Standard Class,Binders,19491.996699999992,"7555.440825,35517.5478,43072.988625",3777,3M Organizer Strips
Standard Class,Chairs,16043.0579,"6647.541574999999,51586.38095,58233.922525",1372,Bevis Steel Folding Chairs
Standard Class,Storage,11852.0534,"5319.706599999999,58233.922525,63553.629125",1851,2300 Heavy-Duty Transfer File Systems by Perma
Standard Class,Appliances,8595.79090000001,"4534.501350000002,66818.415025,71352.916375",1075,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
Standard Class,Furnishings,8758.772699999994,"3264.7858999999985,63553.629125,66818.415025",2186,12-1/2 Diameter Round Wall Clock
Standard Class,Envelopes,4333.362299999999,"1741.0441749999998,71352.916375,73093.96055",548,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
Standard Class,Art,4074.864999999998,"1631.9467499999996,73093.96055,74725.9073",1868,12 Colored Short Pencils
Standard Class,Labels,3029.1865000000003,"1386.5634999999997,74725.9073,76112.47080000001",830,Alphabetical Labels for Top Tab Filing
Standard Class,Machines,2392.4552,"846.1892249999995,76112.47080000001,76958.660025",286,"3D Systems Cube Printer, 2nd Generation, Magenta"
Standard Class,Fasteners,618.2950999999997,"237.37954999999994,76958.660025,77196.039575",587,"Acco Banker's Clasps, 5 3/4""-Long"
Standard Class,Supplies,-875.5834999999996,"-297.27487499999984,77196.039575,76898.7647",387,Acco Side-Punched Conventional Columnar Pads
Standard Class,Bookcases,-2531.1028000000006,"-868.1390000000004,76898.7647,76030.6257",487,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors"
Standard Class,Tables,-11910.012199999997,"-4431.370274999999,76030.6257,71599.25542500001",723,Balt Solid Wood Rectangular Table
